# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.019349	0.018567	0.000000	0.000000
2	-0.019347	0.018565	0.000000	0.000000
3	-0.019345	0.018563	0.000000	0.000000
4	-0.019343	0.018561	0.000000	0.000000
5	-0.019341	0.018559	0.000000	0.000000
6	-0.019338	0.018557	0.000000	0.000000
7	-0.019336	0.018555	0.000000	0.000000
8	-0.019334	0.018553	0.000000	0.000000
9	-0.019332	0.018551	0.000000	0.000000
10	-0.019330	0.018549	0.000000	0.000000
11	-0.019327	0.018546	0.000000	0.000000
12	-0.019324	0.018543	0.000000	0.000000
13	-0.019321	0.018540	0.000000	0.000000
14	-0.019318	0.018537	0.000000	0.000000
15	-0.019315	0.018534	0.000000	0.000000
16	-0.019312	0.018531	0.000000	0.000000
17	-0.019308	0.018528	0.000000	0.000000
18	-0.019305	0.018525	0.000000	0.000000
19	-0.019302	0.018522	0.000000	0.000000
20	-0.019299	0.018519	0.000000	0.000000
21	-0.019293	0.018513	0.000000	0.000000
22	-0.019287	0.018507	0.000000	0.000000
23	-0.019280	0.018501	0.000000	0.000000
24	-0.019274	0.018495	0.000000	0.000000
25	-0.019267	0.018489	0.000000	0.000000
26	-0.019261	0.018482	0.000000	0.000000
27	-0.019254	0.018476	0.000000	0.000000
28	-0.019248	0.018470	0.000000	0.000000
29	-0.019241	0.018464	0.000000	0.000000
30	-0.019235	0.018458	0.000000	0.000000
31	-0.019228	0.018451	0.000000	0.000000
32	-0.019220	0.018443	0.000000	0.000000
33	-0.019212	0.018436	0.000000	0.000000
34	-0.019205	0.018429	0.000000	0.000000
35	-0.019197	0.018421	0.000000	0.000000
36	-0.019190	0.018414	0.000000	0.000000
37	-0.019182	0.018407	0.000000	0.000000
38	-0.019175	0.018400	0.000000	0.000000
39	-0.019167	0.018393	0.000000	0.000000
40	-0.019160	0.018385	0.000000	0.000000
41	-0.019151	0.018377	0.000000	0.000000
42	-0.019143	0.018369	0.000000	0.000000
43	-0.019134	0.018361	0.000000	0.000000
44	-0.019125	0.018352	0.000000	0.000000
45	-0.019117	0.018344	0.000000	0.000000
46	-0.019108	0.018336	0.000000	0.000000
47	-0.019099	0.018327	0.000000	0.000000
48	-0.019091	0.018319	0.000000	0.000000
49	-0.019082	0.018311	0.000000	0.000000
50	-0.019073	0.018303	0.000000	0.000000
51	-0.019062	0.018292	0.000000	0.000000
52	-0.019050	0.018280	0.000000	0.000000
53	-0.019038	0.018269	0.000000	0.000000
54	-0.019026	0.018257	0.000000	0.000000
55	-0.019014	0.018246	0.000000	0.000000
56	-0.019003	0.018235	0.000000	0.000000
57	-0.018991	0.018223	0.000000	0.000000
58	-0.018979	0.018212	0.000000	0.000000
59	-0.018967	0.018200	0.000000	0.000000
60	-0.018955	0.018189	0.000000	0.000000
61	-0.018942	0.018177	0.000000	0.000000
62	-0.018929	0.018164	0.000000	0.000000
63	-0.018916	0.018152	0.000000	0.000000
64	-0.018903	0.018139	0.000000	0.000000
65	-0.018890	0.018127	0.000000	0.000000
66	-0.018877	0.018114	0.000000	0.000000
67	-0.018864	0.018102	0.000000	0.000000
68	-0.018851	0.018089	0.000000	0.000000
69	-0.018838	0.018077	0.000000	0.000000
70	-0.018825	0.018065	0.000000	0.000000
71	-0.018810	0.018050	0.000000	0.000000
72	-0.018795	0.018036	0.000000	0.000000
73	-0.018780	0.018021	0.000000	0.000000
74	-0.018765	0.018007	0.000000	0.000000
75	-0.018750	0.017992	0.000000	0.000000
76	-0.018734	0.017978	0.000000	0.000000
77	-0.018719	0.017963	0.000000	0.000000
78	-0.018704	0.017949	0.000000	0.000000
79	-0.018689	0.017934	0.000000	0.000000
80	-0.018674	0.017920	0.000000	0.000000
81	-0.018658	0.017904	0.000000	0.000000
82	-0.018642	0.017889	0.000000	0.000000
83	-0.018625	0.017873	0.000000	0.000000
84	-0.018609	0.017858	0.000000	0.000000
85	-0.018593	0.017842	0.000000	0.000000
86	-0.018577	0.017827	0.000000	0.000000
87	-0.018560	0.017811	0.000000	0.000000
88	-0.018544	0.017795	0.000000	0.000000
89	-0.018528	0.017780	0.000000	0.000000
90	-0.018512	0.017764	0.000000	0.000000
91	-0.018493	0.017746	0.000000	0.000000
92	-0.018473	0.017728	0.000000	0.000000
93	-0.018454	0.017709	0.000000	0.000000
94	-0.018434	0.017690	0.000000	0.000000
95	-0.018415	0.017672	0.000000	0.000000
96	-0.018395	0.017653	0.000000	0.000000
97	-0.018376	0.017634	0.000000	0.000000
98	-0.018356	0.017616	0.000000	0.000000
99	-0.018337	0.017597	0.000000	0.000000
100	-0.018317	0.017578	0.000000	0.000000
101	-0.018298	0.017560	0.000000	0.000000
102	-0.018278	0.017541	0.000000	0.000000
103	-0.018259	0.017522	0.000000	0.000000
104	-0.018240	0.017504	0.000000	0.000000
105	-0.018220	0.017485	0.000000	0.000000
106	-0.018201	0.017466	0.000000	0.000000
107	-0.018181	0.017448	0.000000	0.000000
108	-0.018162	0.017429	0.000000	0.000000
109	-0.018142	0.017411	0.000000	0.000000
110	-0.018123	0.017392	0.000000	0.000000
111	-0.018101	0.017371	0.000000	0.000000
112	-0.018078	0.017349	0.000000	0.000000
113	-0.018055	0.017327	0.000000	0.000000
114	-0.018033	0.017305	0.000000	0.000000
115	-0.018010	0.017284	0.000000	0.000000
116	-0.017987	0.017262	0.000000	0.000000
117	-0.017965	0.017240	0.000000	0.000000
118	-0.017942	0.017219	0.000000	0.000000
119	-0.017919	0.017197	0.000000	0.000000
120	-0.017897	0.017175	0.000000	0.000000
121	-0.017873	0.017153	0.000000	0.000000
122	-0.017849	0.017130	0.000000	0.000000
123	-0.017825	0.017107	0.000000	0.000000
124	-0.017802	0.017084	0.000000	0.000000
125	-0.017778	0.017062	0.000000	0.000000
126	-0.017754	0.017039	0.000000	0.000000
127	-0.017730	0.017016	0.000000	0.000000
128	-0.017707	0.016993	0.000000	0.000000
129	-0.017683	0.016971	0.000000	0.000000
130	-0.017659	0.016948	0.000000	0.000000
131	-0.017635	0.016924	0.000000	0.000000
132	-0.017610	0.016901	0.000000	0.000000
133	-0.017585	0.016877	0.000000	0.000000
134	-0.017560	0.016853	0.000000	0.000000
135	-0.017535	0.016829	0.000000	0.000000
136	-0.017511	0.016806	0.000000	0.000000
137	-0.017486	0.016782	0.000000	0.000000
138	-0.017461	0.016758	0.000000	0.000000
139	-0.017436	0.016734	0.000000	0.000000
140	-0.017411	0.016711	0.000000	0.000000
141	-0.017384	0.016684	0.000000	0.000000
142	-0.017356	0.016657	0.000000	0.000000
143	-0.017328	0.016630	0.000000	0.000000
144	-0.017300	0.016604	0.000000	0.000000
145	-0.017272	0.016577	0.000000	0.000000
146	-0.017244	0.016550	0.000000	0.000000
147	-0.017216	0.016523	0.000000	0.000000
148	-0.017188	0.016496	0.000000	0.000000
149	-0.017160	0.016469	0.000000	0.000000
150	-0.017132	0.016443	0.000000	0.000000
151	-0.017104	0.016416	0.000000	0.000000
152	-0.017076	0.016389	0.000000	0.000000
153	-0.017048	0.016362	0.000000	0.000000
154	-0.017020	0.016335	0.000000	0.000000
155	-0.016992	0.016309	0.000000	0.000000
156	-0.016964	0.016282	0.000000	0.000000
157	-0.016936	0.016255	0.000000	0.000000
158	-0.016908	0.016228	0.000000	0.000000
159	-0.016880	0.016201	0.000000	0.000000
160	-0.016852	0.016175	0.000000	0.000000
161	-0.016821	0.016145	0.000000	0.000000
162	-0.016790	0.016115	0.000000	0.000000
163	-0.016758	0.016085	0.000000	0.000000
164	-0.016727	0.016055	0.000000	0.000000
165	-0.016696	0.016026	0.000000	0.000000
166	-0.016665	0.015996	0.000000	0.000000
167	-0.016634	0.015966	0.000000	0.000000
168	-0.016602	0.015936	0.000000	0.000000
169	-0.016571	0.015906	0.000000	0.000000
170	-0.016540	0.015876	0.000000	0.000000
171	-0.016509	0.015846	0.000000	0.000000
172	-0.016478	0.015816	0.000000	0.000000
173	-0.016446	0.015787	0.000000	0.000000
174	-0.016415	0.015757	0.000000	0.000000
175	-0.016384	0.015727	0.000000	0.000000
176	-0.016353	0.015697	0.000000	0.000000
177	-0.016322	0.015667	0.000000	0.000000
178	-0.016291	0.015637	0.000000	0.000000
179	-0.016259	0.015607	0.000000	0.000000
180	-0.016228	0.015578	0.000000	0.000000
181	-0.016195	0.015546	0.000000	0.000000
182	-0.016162	0.015514	0.000000	0.000000
183	-0.016128	0.015482	0.000000	0.000000
184	-0.016095	0.015450	0.000000	0.000000
185	-0.016062	0.015418	0.000000	0.000000
186	-0.016029	0.015386	0.000000	0.000000
187	-0.015995	0.015355	0.000000	0.000000
188	-0.015962	0.015323	0.000000	0.000000
189	-0.015929	0.015291	0.000000	0.000000
190	-0.015895	0.015259	0.000000	0.000000
191	-0.015860	0.015225	0.000000	0.000000
192	-0.015825	0.015191	0.000000	0.000000
193	-0.015789	0.015157	0.000000	0.000000
194	-0.015754	0.015123	0.000000	0.000000
195	-0.015718	0.015089	0.000000	0.000000
196	-0.015683	0.015055	0.000000	0.000000
197	-0.015647	0.015022	0.000000	0.000000
198	-0.015612	0.014988	0.000000	0.000000
199	-0.015577	0.014954	0.000000	0.000000
200	-0.015541	0.014920	0.000000	0.000000
201	-0.015505	0.014885	0.000000	0.000000
202	-0.015468	0.014850	0.000000	0.000000
203	-0.015432	0.014815	0.000000	0.000000
204	-0.015395	0.014780	0.000000	0.000000
205	-0.015359	0.014745	0.000000	0.000000
206	-0.015322	0.014710	0.000000	0.000000
207	-0.015286	0.014675	0.000000	0.000000
208	-0.015249	0.014640	0.000000	0.000000
209	-0.015213	0.014605	0.000000	0.000000
210	-0.015176	0.014570	0.000000	0.000000
211	-0.015139	0.014534	0.000000	0.000000
212	-0.015101	0.014498	0.000000	0.000000
213	-0.015064	0.014462	0.000000	0.000000
214	-0.015026	0.014427	0.000000	0.000000
215	-0.014989	0.014391	0.000000	0.000000
216	-0.014951	0.014355	0.000000	0.000000
217	-0.014914	0.014319	0.000000	0.000000
218	-0.014876	0.014283	0.000000	0.000000
219	-0.014839	0.014247	0.000000	0.000000
220	-0.014801	0.014211	0.000000	0.000000
221	-0.014762	0.014173	0.000000	0.000000
222	-0.014722	0.014135	0.000000	0.000000
223	-0.014682	0.014097	0.000000	0.000000
224	-0.014642	0.014059	0.000000	0.000000
225	-0.014603	0.014021	0.000000	0.000000
226	-0.014563	0.013983	0.000000	0.000000
227	-0.014523	0.013945	0.000000	0.000000
228	-0.014484	0.013907	0.000000	0.000000
229	-0.014444	0.013869	0.000000	0.000000
230	-0.014404	0.013831	0.000000	0.000000
231	-0.014364	0.013792	0.000000	0.000000
232	-0.014323	0.013753	0.000000	0.000000
233	-0.014282	0.013714	0.000000	0.000000
234	-0.014241	0.013675	0.000000	0.000000
235	-0.014201	0.013636	0.000000	0.000000
236	-0.014160	0.013597	0.000000	0.000000
237	-0.014119	0.013558	0.000000	0.000000
238	-0.014078	0.013519	0.000000	0.000000
239	-0.014038	0.013480	0.000000	0.000000
240	-0.013997	0.013441	0.000000	0.000000
241	-0.013955	0.013401	0.000000	0.000000
242	-0.013914	0.013361	0.000000	0.000000
243	-0.013872	0.013321	0.000000	0.000000
244	-0.013830	0.013281	0.000000	0.000000
245	-0.013788	0.013241	0.000000	0.000000
246	-0.013746	0.013201	0.000000	0.000000
247	-0.013705	0.013160	0.000000	0.000000
248	-0.013663	0.013120	0.000000	0.000000
249	-0.013621	0.013080	0.000000	0.000000
250	-0.013579	0.013040	0.000000	0.000000
251	-0.013535	0.012998	0.000000	0.000000
252	-0.013491	0.012956	0.000000	0.000000
253	-0.013448	0.012914	0.000000	0.000000
254	-0.013404	0.012872	0.000000	0.000000
255	-0.013360	0.012830	0.000000	0.000000
256	-0.013316	0.012788	0.000000	0.000000
257	-0.013272	0.012746	0.000000	0.000000
258	-0.013228	0.012704	0.000000	0.000000
259	-0.013184	0.012662	0.000000	0.000000
260	-0.013140	0.012619	0.000000	0.000000
261	-0.013096	0.012577	0.000000	0.000000
262	-0.013052	0.012535	0.000000	0.000000
263	-0.013008	0.012493	0.000000	0.000000
264	-0.012964	0.012451	0.000000	0.000000
265	-0.012920	0.012409	0.000000	0.000000
266	-0.012876	0.012367	0.000000	0.000000
267	-0.012832	0.012325	0.000000	0.000000
268	-0.012789	0.012283	0.000000	0.000000
269	-0.012745	0.012241	0.000000	0.000000
270	-0.012701	0.012199	0.000000	0.000000
271	-0.012655	0.012155	0.000000	0.000000
272	-0.012609	0.012110	0.000000	0.000000
273	-0.012563	0.012066	0.000000	0.000000
274	-0.012517	0.012022	0.000000	0.000000
275	-0.012470	0.011978	0.000000	0.000000
276	-0.012424	0.011934	0.000000	0.000000
277	-0.012378	0.011890	0.000000	0.000000
278	-0.012332	0.011845	0.000000	0.000000
279	-0.012286	0.011801	0.000000	0.000000
280	-0.012240	0.011757	0.000000	0.000000
281	-0.012193	0.011712	0.000000	0.000000
282	-0.012146	0.011667	0.000000	0.000000
283	-0.012099	0.011622	0.000000	0.000000
284	-0.012052	0.011576	0.000000	0.000000
285	-0.012004	0.011531	0.000000	0.000000
286	-0.011957	0.011486	0.000000	0.000000
287	-0.011910	0.011441	0.000000	0.000000
288	-0.011863	0.011396	0.000000	0.000000
289	-0.011816	0.011350	0.000000	0.000000
290	-0.011769	0.011305	0.000000	0.000000
291	-0.011721	0.011259	0.000000	0.000000
292	-0.011672	0.011213	0.000000	0.000000
293	-0.011624	0.011167	0.000000	0.000000
294	-0.011576	0.011120	0.000000	0.000000
295	-0.011528	0.011074	0.000000	0.000000
296	-0.011479	0.011028	0.000000	0.000000
297	-0.011431	0.010982	0.000000	0.000000
298	-0.011383	0.010936	0.000000	0.000000
299	-0.011335	0.010889	0.000000	0.000000
300	-0.011287	0.010843	0.000000	0.000000
301	-0.011237	0.010796	0.000000	0.000000
302	-0.011188	0.010749	0.000000	0.000000
303	-0.011139	0.010701	0.000000	0.000000
304	-0.011089	0.010654	0.000000	0.000000
305	-0.011040	0.010607	0.000000	0.000000
306	-0.010991	0.010559	0.000000	0.000000
307	-0.010942	0.010512	0.000000	0.000000
308	-0.010892	0.010465	0.000000	0.000000
309	-0.010843	0.010418	0.000000	0.000000
310	-0.010794	0.010370	0.000000	0.000000
311	-0.010743	0.010322	0.000000	0.000000
312	-0.010693	0.010274	0.000000	0.000000
313	-0.010643	0.010226	0.000000	0.000000
314	-0.010592	0.010177	0.000000	0.000000
315	-0.010542	0.010129	0.000000	0.000000
316	-0.010491	0.010081	0.000000	0.000000
317	-0.010441	0.010032	0.000000	0.000000
318	-0.010391	0.009984	0.000000	0.000000
319	-0.010340	0.009936	0.000000	0.000000
320	-0.010290	0.009887	0.000000	0.000000
321	-0.010238	0.009838	0.000000	0.000000
322	-0.010187	0.009789	0.000000	0.000000
323	-0.010135	0.009739	0.000000	0.000000
324	-0.010084	0.009690	0.000000	0.000000
325	-0.010032	0.009640	0.000000	0.000000
326	-0.009981	0.009591	0.000000	0.000000
327	-0.009930	0.009542	0.000000	0.000000
328	-0.009878	0.009492	0.000000	0.000000
329	-0.009827	0.009443	0.000000	0.000000
330	-0.009775	0.009394	0.000000	0.000000
331	-0.009724	0.009344	0.000000	0.000000
332	-0.009672	0.009295	0.000000	0.000000
333	-0.009621	0.009245	0.000000	0.000000
334	-0.009569	0.009196	0.000000	0.000000
335	-0.009518	0.009147	0.000000	0.000000
336	-0.009466	0.009097	0.000000	0.000000
337	-0.009415	0.009048	0.000000	0.000000
338	-0.009363	0.008999	0.000000	0.000000
339	-0.009312	0.008949	0.000000	0.000000
340	-0.009260	0.008900	0.000000	0.000000
341	-0.009207	0.008848	0.000000	0.000000
342	-0.009153	0.008797	0.000000	0.000000
343	-0.009099	0.008745	0.000000	0.000000
344	-0.009046	0.008694	0.000000	0.000000
345	-0.008992	0.008642	0.000000	0.000000
346	-0.008938	0.008591	0.000000	0.000000
347	-0.008885	0.008539	0.000000	0.000000
