# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.726166	25.863589	0.003471	-0.016153	2.614538	0.000000	0.001263	0.000000	-0.000029	0.000033	0.000000	0.000000
0.601250	11.731813	25.876831	-0.022219	-0.027804	2.614908	0.000000	0.001263	0.000000	-0.000019	0.000033	0.000000	0.000000
0.898573	11.752565	25.896783	-0.018752	-0.102802	2.615274	0.000000	-0.005151	0.000000	-0.000009	0.000033	0.000000	0.000000
1.339533	11.920082	25.699746	-0.362570	0.547939	2.629266	0.000000	0.068740	0.000000	0.000005	0.000033	0.000000	0.000000
1.780493	12.396950	24.937649	-0.722953	1.173750	2.675983	0.000000	0.143413	0.000000	0.000020	0.000033	0.000000	0.000000
2.221453	13.204956	23.645169	-1.116366	1.746156	2.755957	0.000000	0.219719	0.000000	0.000034	0.000034	0.000000	0.000000
2.662413	14.381017	21.881110	-1.560783	2.239114	2.870097	0.000000	0.298528	0.000000	0.000049	0.000035	0.000000	0.000000
3.108373	15.999245	19.699929	-2.080739	2.631351	3.021570	0.000000	0.381226	0.000000	0.000065	0.000036	0.000000	0.000000
3.657433	18.074474	17.248963	-1.676470	1.858924	3.205598	0.000000	0.288192	0.000000	0.000085	0.000034	0.000000	0.000000
4.206493	19.637717	15.568964	-1.153782	1.218905	3.337066	0.000000	0.190047	0.000000	0.000103	0.000031	0.000000	0.000000
4.755553	20.578553	14.540270	-0.549595	0.665706	3.413642	0.000000	0.088532	0.000000	0.000119	0.000027	0.000000	0.000000
5.304613	20.830525	14.089610	0.093413	0.159924	3.433968	0.000000	-0.014553	0.000000	0.000133	0.000023	0.000000	0.000000
5.603185	20.811495	13.978728	0.024692	0.174681	3.432291	0.000000	-0.005591	0.000000	0.000140	0.000024	0.000000	0.000000
5.936519	20.800376	13.870465	0.008665	0.150107	3.430420	0.000000	-0.005591	0.000000	0.000147	0.000024	0.000000	0.000000
6.269852	20.799941	13.778585	-0.007362	0.125534	3.428548	0.000000	-0.005591	0.000000	0.000155	0.000024	0.000000	0.000000
6.604435	20.810250	13.702835	-0.023448	0.100868	3.426670	0.000000	-0.005591	0.000000	0.000163	0.000024	0.000000	0.000000
6.901758	20.828443	13.649370	-0.092087	0.114567	3.425000	0.000000	0.003345	0.000000	0.000170	0.000024	0.000000	0.000000
7.450818	20.575082	13.787636	0.550813	-0.367876	3.398594	0.000000	-0.099351	0.000000	0.000182	0.000018	0.000000	0.000000
7.999878	19.633021	14.466877	1.154806	-0.876521	3.316205	0.000000	-0.200285	0.000000	0.000190	0.000012	0.000000	0.000000
8.548938	18.068803	15.735475	1.677228	-1.447600	3.179295	0.000000	-0.297666	0.000000	0.000195	0.000006	0.000000	0.000000
9.097998	15.992918	17.683789	2.081179	-2.121789	2.990294	0.000000	-0.389768	0.000000	0.000197	-0.000000	0.000000	0.000000
9.543958	14.374278	19.419208	1.561284	-1.753154	2.834807	0.000000	-0.307932	0.000000	0.000198	0.000005	0.000000	0.000000
9.984918	13.197743	20.773349	1.116953	-1.306043	2.716293	0.000000	-0.230089	0.000000	0.000201	0.000010	0.000000	0.000000
10.425878	12.389176	21.705362	0.723654	-0.799508	2.631493	0.000000	-0.154867	0.000000	0.000207	0.000015	0.000000	0.000000
10.866838	11.911635	22.172842	0.363417	-0.256596	2.579441	0.000000	-0.081409	0.000000	0.000215	0.000021	0.000000	0.000000
11.309048	11.743179	22.153909	0.048413	0.243710	2.559524	0.000000	-0.015142	0.000000	0.000225	0.000026	0.000000	0.000000
11.606371	11.721937	22.013216	0.023034	0.229492	2.555014	0.000000	-0.015142	0.000000	0.000233	0.000026	0.000000	0.000000
12.086371	11.719490	21.803921	-0.017936	0.206539	2.547734	0.000000	-0.015142	0.000000	0.000245	0.000026	0.000000	0.000000
12.566371	11.756374	21.616662	-0.058907	0.183585	2.540454	0.000000	-0.015142	0.000000	0.000258	0.000026	0.000000	0.000000
13.046371	11.832591	21.451438	-0.099877	0.160632	2.533173	0.000000	-0.015142	0.000000	0.000270	0.000026	0.000000	0.000000
13.526371	11.948139	21.308249	-0.140848	0.137678	2.525893	0.000000	-0.015142	0.000000	0.000283	0.000026	0.000000	0.000000
14.007621	12.103473	21.186809	-0.181925	0.114665	2.518593	0.000000	-0.015142	0.000000	0.000295	0.000026	0.000000	0.000000
14.304943	12.219200	21.122852	-0.177424	0.048803	2.514083	0.000000	-0.021289	0.000000	0.000303	0.000025	0.000000	0.000000
14.745903	12.532911	20.849060	-0.536690	0.569731	2.520372	0.000000	0.049894	0.000000	0.000315	0.000033	0.000000	0.000000
15.186863	13.173044	20.125569	-0.920477	1.064736	2.558141	0.000000	0.121645	0.000000	0.000332	0.000041	0.000000	0.000000
15.627823	14.168845	18.985298	-1.346318	1.511296	2.627822	0.000000	0.194782	0.000000	0.000352	0.000050	0.000000	0.000000
16.068783	15.565810	17.480127	-1.833670	1.889092	2.730207	0.000000	0.270136	0.000000	0.000376	0.000060	0.000000	0.000000
16.514743	17.451398	15.657124	-2.409555	2.181622	2.868170	0.000000	0.349033	0.000000	0.000405	0.000070	0.000000	0.000000
17.063803	19.874865	13.623434	-1.978105	1.544168	3.035920	0.000000	0.261232	0.000000	0.000440	0.000056	0.000000	0.000000
17.612863	21.744547	12.225604	-1.406927	1.016703	3.154126	0.000000	0.168799	0.000000	0.000466	0.000041	0.000000	0.000000
18.161923	22.928373	11.364070	-0.736369	0.561657	3.220690	0.000000	0.073372	0.000000	0.000485	0.000026	0.000000	0.000000
18.710983	23.342720	10.977465	-0.013795	0.146616	3.234431	0.000000	-0.023356	0.000000	0.000495	0.000010	0.000000	0.000000
19.009556	23.391066	10.881229	-0.087394	0.147144	3.229967	0.000000	-0.014940	0.000000	0.000498	0.000011	0.000000	0.000000
19.342889	23.454115	10.793565	-0.101753	0.115847	3.224983	0.000000	-0.014940	0.000000	0.000502	0.000011	0.000000	0.000000
19.676223	23.526737	10.726766	-0.116112	0.084550	3.220000	0.000000	-0.014940	0.000000	0.000506	0.000011	0.000000	0.000000
20.010806	23.609550	10.680567	-0.247500	0.106053	3.215017	0.000000	0.000989	0.000000	0.000510	0.000014	0.000000	0.000000
20.308129	23.760699	10.625872	-0.322680	0.105549	3.215307	0.000000	0.009354	0.000000	0.000514	0.000015	0.000000	0.000000
20.857189	23.705193	10.726668	0.423178	-0.290210	3.194056	0.000000	-0.086633	0.000000	0.000518	-0.000001	0.000000	0.000000
21.406249	22.842267	11.270792	1.139143	-0.706641	3.120457	0.000000	-0.181083	0.000000	0.000512	-0.000018	0.000000	0.000000
21.955309	21.232875	12.296999	1.774643	-1.173404	2.995813	0.000000	-0.272321	0.000000	0.000498	-0.000035	0.000000	0.000000
22.504369	18.990702	13.878386	2.284788	-1.723748	2.822337	0.000000	-0.358730	0.000000	0.000474	-0.000050	0.000000	0.000000
22.950329	17.222633	15.300494	1.693789	-1.451651	2.679767	0.000000	-0.281082	0.000000	0.000455	-0.000038	0.000000	0.000000
23.391289	15.958042	16.436311	1.184871	-1.114314	2.572250	0.000000	-0.207093	0.000000	0.000440	-0.000027	0.000000	0.000000
23.832249	15.116805	17.251042	0.730086	-0.726275	2.496803	0.000000	-0.135464	0.000000	0.000431	-0.000015	0.000000	0.000000
24.273209	14.660486	17.707618	0.308658	-0.305191	2.452568	0.000000	-0.065377	0.000000	0.000427	-0.000004	0.000000	0.000000
24.715418	14.568396	17.785047	-0.063172	0.086269	2.439038	0.000000	-0.001992	0.000000	0.000427	0.000006	0.000000	0.000000
25.012741	14.612054	17.738755	-0.083663	0.069427	2.438444	0.000000	-0.001992	0.000000	0.000429	0.000006	0.000000	0.000000
25.346075	14.675486	17.698764	-0.106634	0.050545	2.437778	0.000000	-0.001992	0.000000	0.000431	0.000006	0.000000	0.000000
25.679408	14.754233	17.671362	-0.129606	0.031663	2.437112	0.000000	-0.001992	0.000000	0.000433	0.000006	0.000000	0.000000
26.013991	14.848375	17.656873	-0.032205	-0.130531	2.436419	0.000000	-0.021757	0.000000	0.000435	0.000002	0.000000	0.000000
26.311314	14.873485	17.739584	-0.015925	-0.190980	2.429950	0.000000	-0.027692	0.000000	0.000435	0.000001	0.000000	0.000000
26.752274	15.070649	17.716265	-0.432891	0.243660	2.432940	0.000000	0.041280	0.000000	0.000438	0.000012	0.000000	0.000000
27.193234	15.642847	17.313069	-0.869634	0.667214	2.466415	0.000000	0.110723	0.000000	0.000446	0.000024	0.000000	0.000000
27.634194	16.616220	16.548342	-1.346109	1.060410	2.530754	0.000000	0.181426	0.000000	0.000459	0.000035	0.000000	0.000000
28.075154	18.035242	15.456877	-1.884086	1.405357	2.626692	0.000000	0.254195	0.000000	0.000477	0.000047	0.000000	0.000000
28.521114	19.989348	14.071822	-2.513190	1.687265	2.756935	0.000000	0.330307	0.000000	0.000501	0.000060	0.000000	0.000000
29.070174	22.473269	12.530542	-1.983916	1.136409	2.915427	0.000000	0.246260	0.000000	0.000530	0.000043	0.000000	0.000000
29.619234	24.295111	11.546439	-1.314505	0.666499	3.026512	0.000000	0.157846	0.000000	0.000549	0.000026	0.000000	0.000000
30.168294	25.326185	11.049416	-0.552240	0.244063	3.088221	0.000000	0.066633	0.000000	0.000558	0.000008	0.000000	0.000000
30.717354	25.493656	11.004071	0.249033	-0.160989	3.099458	0.000000	-0.025763	0.000000	0.000557	-0.000010	0.000000	0.000000
31.015927	25.388150	11.091358	0.170632	-0.159979	3.094175	0.000000	-0.017702	0.000000	0.000555	-0.000009	0.000000	0.000000
31.349260	25.278900	11.208285	0.157120	-0.190802	3.088277	0.000000	-0.017702	0.000000	0.000552	-0.000009	0.000000	0.000000
31.682593	25.178657	11.345760	0.143608	-0.221624	3.082379	0.000000	-0.017702	0.000000	0.000549	-0.000009	0.000000	0.000000
32.017177	25.087097	11.504415	0.130046	-0.252562	3.076459	0.000000	-0.017702	0.000000	0.000546	-0.000009	0.000000	0.000000
32.314499	25.013350	11.662774	0.052936	-0.249723	3.071199	0.000000	-0.009714	0.000000	0.000543	-0.000007	0.000000	0.000000
32.863559	24.526199	12.175552	0.829038	-0.689702	3.040800	0.000000	-0.100883	0.000000	0.000535	-0.000025	0.000000	0.000000
33.412619	23.214053	13.195463	1.546579	-1.178807	2.960770	0.000000	-0.190264	0.000000	0.000516	-0.000042	0.000000	0.000000
33.961679	21.169599	14.795153	2.154873	-1.751878	2.832529	0.000000	-0.276269	0.000000	0.000489	-0.000058	0.000000	0.000000
34.510739	18.537253	17.088567	2.610954	-2.449732	2.658352	0.000000	-0.357376	0.000000	0.000453	-0.000073	0.000000	0.000000
34.956699	16.489561	19.140630	1.997090	-2.132504	2.515450	0.000000	-0.283986	0.000000	0.000423	-0.000062	0.000000	0.000000
35.397659	14.962272	20.845468	1.479560	-1.718957	2.405724	0.000000	-0.214263	0.000000	0.000398	-0.000051	0.000000	0.000000
35.838619	13.859987	22.149575	1.029628	-1.227198	2.326172	0.000000	-0.146979	0.000000	0.000377	-0.000041	0.000000	0.000000
36.279579	13.132347	22.993614	0.626738	-0.679602	2.275889	0.000000	-0.081369	0.000000	0.000361	-0.000032	0.000000	0.000000
36.721789	12.745395	23.339578	0.283531	-0.158177	2.254274	0.000000	-0.022196	0.000000	0.000349	-0.000024	0.000000	0.000000
37.019112	12.584289	23.437520	0.258327	-0.171235	2.247682	0.000000	-0.022196	0.000000	0.000342	-0.000024	0.000000	0.000000
37.352445	12.421489	23.556556	0.230072	-0.185874	2.240291	0.000000	-0.022196	0.000000	0.000334	-0.000024	0.000000	0.000000
37.685779	12.277526	23.685352	0.201816	-0.200514	2.232900	0.000000	-0.022196	0.000000	0.000327	-0.000024	0.000000	0.000000
38.020362	12.151967	23.824446	0.173454	-0.215208	2.225482	0.000000	-0.022196	0.000000	0.000319	-0.000024	0.000000	0.000000
38.317684	12.056317	23.956300	0.177730	-0.286848	2.218889	0.000000	-0.027621	0.000000	0.000312	-0.000024	0.000000	0.000000
38.758644	12.052786	23.943607	-0.169699	0.315524	2.220720	0.000000	0.035895	0.000000	0.000303	-0.000016	0.000000	0.000000
39.199604	12.357909	23.403993	-0.524880	0.903540	2.250620	0.000000	0.099820	0.000000	0.000297	-0.000009	0.000000	0.000000
39.640564	12.985627	22.362009	-0.904042	1.450446	2.308928	0.000000	0.164882	0.000000	0.000295	-0.000001	0.000000	0.000000
40.081524	13.964620	20.865067	-1.324508	1.931357	2.396309	0.000000	0.231821	0.000000	0.000296	0.000007	0.000000	0.000000
40.527484	15.357301	18.958504	-1.809347	2.325756	2.515235	0.000000	0.301810	0.000000	0.000301	0.000014	0.000000	0.000000
41.076544	17.132932	16.814421	-1.405438	1.602284	2.660292	0.000000	0.225813	0.000000	0.000306	0.000005	0.000000	0.000000
