# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.858964	24.949019	-0.011569	-0.028871	2.614361	0.000000	-0.001518	0.000000	-0.000586	0.000501	0.000000	0.000000
0.601250	11.873588	24.970054	-0.036976	-0.040956	2.613753	0.000000	-0.001518	0.000000	-0.000435	0.000501	0.000000	0.000000
0.898573	11.903031	24.997955	-0.032782	-0.114172	2.613152	0.000000	-0.007944	0.000000	-0.000286	0.000502	0.000000	0.000000
1.339533	12.084605	24.821384	-0.380381	0.513072	2.625701	0.000000	0.065873	0.000000	-0.000066	0.000497	0.000000	0.000000
1.780493	12.579214	24.099853	-0.745362	1.116974	2.670934	0.000000	0.140436	0.000000	0.000154	0.000498	0.000000	0.000000
2.221453	13.409459	22.866185	-1.144401	1.670055	2.749364	0.000000	0.216592	0.000000	0.000375	0.000505	0.000000	0.000000
2.662413	14.613279	21.176508	-1.595729	2.147151	2.861884	0.000000	0.295210	0.000000	0.000600	0.000518	0.000000	0.000000
3.108373	16.266492	19.082907	-2.124286	2.527705	3.011618	0.000000	0.377675	0.000000	0.000835	0.000536	0.000000	0.000000
3.657433	18.386143	16.731537	-1.713056	1.780050	3.193538	0.000000	0.284994	0.000000	0.001121	0.000505	0.000000	0.000000
4.206493	19.984687	15.127163	-1.180809	1.159184	3.323127	0.000000	0.187266	0.000000	0.001388	0.000464	0.000000	0.000000
4.755553	20.949190	14.155512	-0.565141	0.620886	3.398090	0.000000	0.086224	0.000000	0.001630	0.000415	0.000000	0.000000
5.304613	21.211508	13.747379	0.090457	0.126813	3.417101	0.000000	-0.016341	0.000000	0.001842	0.000359	0.000000	0.000000
5.603185	21.194280	13.657235	0.021800	0.139815	3.414737	0.000000	-0.007551	0.000000	0.001951	0.000364	0.000000	0.000000
5.936519	21.184991	13.572320	0.006065	0.114931	3.412099	0.000000	-0.007551	0.000000	0.002072	0.000364	0.000000	0.000000
6.269852	21.186193	13.503994	-0.009670	0.090047	3.409461	0.000000	-0.007551	0.000000	0.002194	0.000364	0.000000	0.000000
