# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.019359	0.018578	0.000000	0.000000
2	-0.019358	0.018577	0.000000	0.000000
3	-0.019357	0.018575	0.000000	0.000000
4	-0.019356	0.018574	0.000000	0.000000
5	-0.019355	0.018573	0.000000	0.000000
6	-0.019354	0.018572	0.000000	0.000000
7	-0.019353	0.018571	0.000000	0.000000
8	-0.019352	0.018570	0.000000	0.000000
9	-0.019351	0.018569	0.000000	0.000000
10	-0.019350	0.018568	0.000000	0.000000
11	-0.019348	0.018567	0.000000	0.000000
12	-0.019346	0.018564	0.000000	0.000000
13	-0.019343	0.018562	0.000000	0.000000
14	-0.019341	0.018560	0.000000	0.000000
15	-0.019339	0.018558	0.000000	0.000000
16	-0.019337	0.018556	0.000000	0.000000
17	-0.019335	0.018554	0.000000	0.000000
18	-0.019333	0.018552	0.000000	0.000000
19	-0.019330	0.018550	0.000000	0.000000
20	-0.019328	0.018548	0.000000	0.000000
21	-0.019325	0.018545	0.000000	0.000000
22	-0.019319	0.018539	0.000000	0.000000
23	-0.019314	0.018534	0.000000	0.000000
24	-0.019309	0.018529	0.000000	0.000000
25	-0.019303	0.018524	0.000000	0.000000
26	-0.019298	0.018519	0.000000	0.000000
27	-0.019292	0.018513	0.000000	0.000000
28	-0.019287	0.018508	0.000000	0.000000
29	-0.019281	0.018503	0.000000	0.000000
30	-0.019276	0.018498	0.000000	0.000000
31	-0.019270	0.018492	0.000000	0.000000
32	-0.019264	0.018486	0.000000	0.000000
33	-0.019257	0.018480	0.000000	0.000000
34	-0.019251	0.018474	0.000000	0.000000
35	-0.019244	0.018468	0.000000	0.000000
36	-0.019238	0.018461	0.000000	0.000000
37	-0.019231	0.018455	0.000000	0.000000
38	-0.019225	0.018449	0.000000	0.000000
39	-0.019218	0.018443	0.000000	0.000000
40	-0.019212	0.018436	0.000000	0.000000
41	-0.019205	0.018430	0.000000	0.000000
42	-0.019198	0.018423	0.000000	0.000000
43	-0.019190	0.018416	0.000000	0.000000
44	-0.019182	0.018408	0.000000	0.000000
45	-0.019175	0.018401	0.000000	0.000000
46	-0.019167	0.018394	0.000000	0.000000
47	-0.019160	0.018386	0.000000	0.000000
48	-0.019152	0.018379	0.000000	0.000000
49	-0.019144	0.018372	0.000000	0.000000
50	-0.019137	0.018365	0.000000	0.000000
51	-0.019129	0.018357	0.000000	0.000000
52	-0.019119	0.018348	0.000000	0.000000
53	-0.019108	0.018337	0.000000	0.000000
54	-0.019097	0.018327	0.000000	0.000000
55	-0.019086	0.018317	0.000000	0.000000
56	-0.019076	0.018306	0.000000	0.000000
57	-0.019065	0.018296	0.000000	0.000000
58	-0.019054	0.018285	0.000000	0.000000
59	-0.019043	0.018275	0.000000	0.000000
60	-0.019032	0.018265	0.000000	0.000000
61	-0.019021	0.018254	0.000000	0.000000
62	-0.019010	0.018243	0.000000	0.000000
63	-0.018998	0.018232	0.000000	0.000000
64	-0.018986	0.018220	0.000000	0.000000
65	-0.018974	0.018209	0.000000	0.000000
66	-0.018962	0.018197	0.000000	0.000000
67	-0.018950	0.018186	0.000000	0.000000
68	-0.018938	0.018175	0.000000	0.000000
69	-0.018926	0.018163	0.000000	0.000000
70	-0.018914	0.018152	0.000000	0.000000
71	-0.018902	0.018140	0.000000	0.000000
72	-0.018889	0.018128	0.000000	0.000000
73	-0.018875	0.018115	0.000000	0.000000
74	-0.018861	0.018101	0.000000	0.000000
75	-0.018847	0.018088	0.000000	0.000000
76	-0.018833	0.018074	0.000000	0.000000
77	-0.018819	0.018061	0.000000	0.000000
78	-0.018805	0.018047	0.000000	0.000000
79	-0.018791	0.018034	0.000000	0.000000
80	-0.018776	0.018020	0.000000	0.000000
