# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.813900	25.011849	-0.011428	-0.027186	2.618427	0.000000	-0.000107	0.000000	-0.000000	0.000001	0.000000	0.000000
0.601250	11.828468	25.031859	-0.036931	-0.039239	2.618394	0.000000	-0.000107	0.000000	0.000000	0.000001	0.000000	0.000000
0.898573	11.857913	25.058730	-0.033022	-0.112586	2.618363	0.000000	-0.006528	0.000000	0.000000	0.000001	0.000000	0.000000
1.339533	12.039174	24.880057	-0.379597	0.516234	2.631778	0.000000	0.067435	0.000000	0.000001	0.000001	0.000000	0.000000
1.780493	12.532549	24.155094	-0.743514	1.121566	2.677947	0.000000	0.142167	0.000000	0.000001	0.000001	0.000000	0.000000
2.221453	13.360580	22.916825	-1.141401	1.675868	2.757395	0.000000	0.218517	0.000000	0.000001	0.000001	0.000000	0.000000
2.662413	14.561097	21.221591	-1.591435	2.153919	2.871026	0.000000	0.297356	0.000000	0.000002	0.000001	0.000000	0.000000
3.108373	16.209701	19.121663	-2.118468	2.535101	3.021996	0.000000	0.380071	0.000000	0.000002	0.000001	0.000000	0.000000
3.657433	18.323777	16.763149	-1.709095	1.785802	3.205406	0.000000	0.287034	0.000000	0.000002	0.000001	0.000000	0.000000
4.206493	19.918958	15.153198	-1.179000	1.163702	3.336258	0.000000	0.188906	0.000000	0.000003	0.000001	0.000000	0.000000
4.755553	20.882567	14.177135	-0.565626	0.624489	3.412231	0.000000	0.087426	0.000000	0.000003	0.000001	0.000000	0.000000
5.304613	21.146540	13.765438	0.087700	0.129758	3.431977	0.000000	-0.015603	0.000000	0.000004	0.000000	0.000000	0.000000
5.603185	21.131383	13.673131	0.018316	0.143438	3.429995	0.000000	-0.006637	0.000000	0.000004	0.000000	0.000000	0.000000
5.936519	21.124432	13.585799	0.002536	0.118558	3.427783	0.000000	-0.006637	0.000000	0.000004	0.000000	0.000000	0.000000
6.269852	21.128001	13.515054	-0.013244	0.093677	3.425571	0.000000	-0.006637	0.000000	0.000004	0.000000	0.000000	0.000000
6.604435	21.142163	13.460724	-0.029082	0.068704	3.423350	0.000000	-0.006637	0.000000	0.000004	0.000000	0.000000	0.000000
6.901758	21.163641	13.426469	-0.098452	0.081591	3.421377	0.000000	0.002303	0.000000	0.000004	0.000000	0.000000	0.000000
7.450818	20.911051	13.597632	0.555771	-0.395170	3.394442	0.000000	-0.100267	0.000000	0.000005	0.000000	0.000000	0.000000
7.999878	19.957450	14.304628	1.170736	-0.900078	3.311597	0.000000	-0.201059	0.000000	0.000005	0.000000	0.000000	0.000000
8.548938	18.370196	15.597813	1.703007	-1.469097	3.174311	0.000000	-0.298284	0.000000	0.000005	0.000000	0.000000	0.000000
9.097998	16.261405	17.569300	2.114986	-2.142756	2.985017	0.000000	-0.390218	0.000000	0.000005	-0.000000	0.000000	0.000000
9.543958	14.616134	19.326006	1.587410	-1.779751	2.829300	0.000000	-0.308524	0.000000	0.000005	0.000000	0.000000	0.000000
9.984918	13.419473	20.705619	1.136648	-1.337002	2.710496	0.000000	-0.230827	0.000000	0.000005	0.000000	0.000000	0.000000
10.425878	12.596033	21.666344	0.737817	-0.833420	2.625343	0.000000	-0.155760	0.000000	0.000005	0.000000	0.000000	0.000000
10.866838	12.108193	22.164469	0.372693	-0.291918	2.572869	0.000000	-0.082466	0.000000	0.000005	0.000000	0.000000	0.000000
11.309048	11.933531	22.176808	0.053756	0.208424	2.552456	0.000000	-0.016371	0.000000	0.000005	0.000001	0.000000	0.000000
11.606371	11.908994	22.057029	0.028769	0.194435	2.547588	0.000000	-0.016371	0.000000	0.000005	0.000001	0.000000	0.000000
12.086371	11.900739	21.881212	-0.011570	0.171850	2.539730	0.000000	-0.016371	0.000000	0.000006	0.000001	0.000000	0.000000
