# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.814677	25.008310	-0.011562	-0.027198	2.618466	0.000000	-0.000122	0.000000	-0.000000	0.000001	0.000000	0.000000
0.601250	11.829326	25.028329	-0.037063	-0.039253	2.618429	0.000000	-0.000122	0.000000	0.000000	0.000001	0.000000	0.000000
0.898573	11.858848	25.055208	-0.033150	-0.112593	2.618392	0.000000	-0.006543	0.000000	0.000000	0.000001	0.000000	0.000000
1.339533	12.040233	24.876583	-0.379750	0.516134	2.631801	0.000000	0.067420	0.000000	0.000001	0.000001	0.000000	0.000000
1.780493	12.533756	24.151747	-0.743699	1.121378	2.677963	0.000000	0.142152	0.000000	0.000001	0.000001	0.000000	0.000000
2.221453	13.361967	22.913680	-1.141626	1.675600	2.757404	0.000000	0.218502	0.000000	0.000001	0.000001	0.000000	0.000000
2.662413	14.562704	21.218714	-1.591710	2.153584	2.871029	0.000000	0.297342	0.000000	0.000001	0.000001	0.000000	0.000000
3.108373	16.211580	19.119109	-2.118806	2.534713	3.021993	0.000000	0.380057	0.000000	0.000002	0.000001	0.000000	0.000000
3.657433	18.326005	16.760967	-1.709388	1.785512	3.205395	0.000000	0.287020	0.000000	0.000002	0.000001	0.000000	0.000000
4.206493	19.921473	15.151290	-1.179227	1.163489	3.336239	0.000000	0.188892	0.000000	0.000003	0.000001	0.000000	0.000000
4.755553	20.885287	14.175426	-0.565771	0.624338	3.412205	0.000000	0.087414	0.000000	0.000003	0.000001	0.000000	0.000000
5.304613	21.149369	13.763866	0.087648	0.129658	3.431945	0.000000	-0.015615	0.000000	0.000003	0.000000	0.000000	0.000000
5.603185	21.134247	13.671622	0.018257	0.143332	3.429959	0.000000	-0.006649	0.000000	0.000003	0.000000	0.000000	0.000000
5.936519	21.127335	13.584361	0.002480	0.118450	3.427743	0.000000	-0.006649	0.000000	0.000004	0.000000	0.000000	0.000000
6.269852	21.130941	13.513689	-0.013297	0.093567	3.425527	0.000000	-0.006649	0.000000	0.000004	0.000000	0.000000	0.000000
6.604435	21.145138	13.459433	-0.029134	0.068592	3.423302	0.000000	-0.006649	0.000000	0.000004	0.000000	0.000000	0.000000
6.901758	21.166646	13.425244	-0.098510	0.081474	3.421325	0.000000	0.002290	0.000000	0.000004	0.000000	0.000000	0.000000
7.450818	20.914063	13.596517	0.555814	-0.395254	3.394385	0.000000	-0.100278	0.000000	0.000004	0.000000	0.000000	0.000000
7.999878	19.960360	14.303589	1.170879	-0.900135	3.311535	0.000000	-0.201067	0.000000	0.000004	0.000000	0.000000	0.000000
