# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.007475	0.005819	0.000000	0.000000
2	-0.007475	0.005818	0.000000	0.000000
3	-0.007475	0.005818	0.000000	0.000000
4	-0.007475	0.005817	0.000000	0.000000
5	-0.007475	0.005817	0.000000	0.000000
6	-0.007474	0.005816	0.000000	0.000000
7	-0.007474	0.005816	0.000000	0.000000
8	-0.007474	0.005815	0.000000	0.000000
9	-0.007474	0.005815	0.000000	0.000000
10	-0.007474	0.005815	0.000000	0.000000
11	-0.007473	0.005814	0.000000	0.000000
12	-0.007472	0.005813	0.000000	0.000000
13	-0.007470	0.005812	0.000000	0.000000
14	-0.007469	0.005812	0.000000	0.000000
15	-0.007468	0.005811	0.000000	0.000000
16	-0.007467	0.005810	0.000000	0.000000
17	-0.007466	0.005809	0.000000	0.000000
18	-0.007464	0.005808	0.000000	0.000000
19	-0.007463	0.005808	0.000000	0.000000
20	-0.007462	0.005807	0.000000	0.000000
21	-0.007460	0.005806	0.000000	0.000000
22	-0.007459	0.005804	0.000000	0.000000
23	-0.007457	0.005802	0.000000	0.000000
24	-0.007455	0.005801	0.000000	0.000000
25	-0.007453	0.005799	0.000000	0.000000
26	-0.007452	0.005798	0.000000	0.000000
27	-0.007450	0.005796	0.000000	0.000000
28	-0.007448	0.005795	0.000000	0.000000
29	-0.007446	0.005793	0.000000	0.000000
30	-0.007445	0.005792	0.000000	0.000000
31	-0.007442	0.005790	0.000000	0.000000
32	-0.007439	0.005788	0.000000	0.000000
33	-0.007437	0.005786	0.000000	0.000000
34	-0.007434	0.005784	0.000000	0.000000
35	-0.007431	0.005783	0.000000	0.000000
36	-0.007428	0.005781	0.000000	0.000000
37	-0.007426	0.005779	0.000000	0.000000
38	-0.007423	0.005777	0.000000	0.000000
39	-0.007420	0.005775	0.000000	0.000000
40	-0.007417	0.005773	0.000000	0.000000
41	-0.007414	0.005771	0.000000	0.000000
42	-0.007411	0.005768	0.000000	0.000000
43	-0.007408	0.005765	0.000000	0.000000
44	-0.007405	0.005762	0.000000	0.000000
45	-0.007402	0.005760	0.000000	0.000000
46	-0.007399	0.005757	0.000000	0.000000
47	-0.007396	0.005754	0.000000	0.000000
48	-0.007393	0.005751	0.000000	0.000000
49	-0.007390	0.005749	0.000000	0.000000
50	-0.007387	0.005746	0.000000	0.000000
51	-0.007382	0.005743	0.000000	0.000000
52	-0.007378	0.005740	0.000000	0.000000
53	-0.007373	0.005737	0.000000	0.000000
54	-0.007369	0.005735	0.000000	0.000000
55	-0.007364	0.005732	0.000000	0.000000
56	-0.007360	0.005729	0.000000	0.000000
57	-0.007356	0.005726	0.000000	0.000000
58	-0.007351	0.005723	0.000000	0.000000
59	-0.007347	0.005721	0.000000	0.000000
60	-0.007342	0.005718	0.000000	0.000000
61	-0.007338	0.005714	0.000000	0.000000
62	-0.007333	0.005710	0.000000	0.000000
63	-0.007328	0.005706	0.000000	0.000000
64	-0.007324	0.005703	0.000000	0.000000
65	-0.007319	0.005699	0.000000	0.000000
66	-0.007314	0.005695	0.000000	0.000000
67	-0.007310	0.005691	0.000000	0.000000
68	-0.007305	0.005687	0.000000	0.000000
69	-0.007300	0.005683	0.000000	0.000000
70	-0.007296	0.005680	0.000000	0.000000
71	-0.007290	0.005675	0.000000	0.000000
72	-0.007285	0.005671	0.000000	0.000000
73	-0.007279	0.005667	0.000000	0.000000
74	-0.007274	0.005663	0.000000	0.000000
75	-0.007268	0.005659	0.000000	0.000000
76	-0.007263	0.005654	0.000000	0.000000
77	-0.007257	0.005650	0.000000	0.000000
78	-0.007252	0.005646	0.000000	0.000000
79	-0.007246	0.005642	0.000000	0.000000
80	-0.007241	0.005638	0.000000	0.000000
81	-0.007234	0.005633	0.000000	0.000000
82	-0.007228	0.005628	0.000000	0.000000
83	-0.007222	0.005623	0.000000	0.000000
84	-0.007216	0.005619	0.000000	0.000000
85	-0.007209	0.005614	0.000000	0.000000
86	-0.007203	0.005609	0.000000	0.000000
87	-0.007197	0.005604	0.000000	0.000000
88	-0.007190	0.005600	0.000000	0.000000
89	-0.007184	0.005595	0.000000	0.000000
90	-0.007178	0.005590	0.000000	0.000000
91	-0.007171	0.005585	0.000000	0.000000
92	-0.007164	0.005580	0.000000	0.000000
93	-0.007157	0.005574	0.000000	0.000000
94	-0.007150	0.005569	0.000000	0.000000
95	-0.007144	0.005563	0.000000	0.000000
96	-0.007137	0.005558	0.000000	0.000000
97	-0.007130	0.005553	0.000000	0.000000
98	-0.007123	0.005547	0.000000	0.000000
99	-0.007116	0.005542	0.000000	0.000000
100	-0.007109	0.005536	0.000000	0.000000
101	-0.007102	0.005530	0.000000	0.000000
102	-0.007095	0.005524	0.000000	0.000000
103	-0.007087	0.005518	0.000000	0.000000
104	-0.007080	0.005512	0.000000	0.000000
105	-0.007073	0.005506	0.000000	0.000000
106	-0.007065	0.005500	0.000000	0.000000
107	-0.007058	0.005493	0.000000	0.000000
108	-0.007050	0.005487	0.000000	0.000000
109	-0.007043	0.005481	0.000000	0.000000
110	-0.007036	0.005475	0.000000	0.000000
111	-0.007027	0.005469	0.000000	0.000000
112	-0.007019	0.005462	0.000000	0.000000
113	-0.007010	0.005456	0.000000	0.000000
114	-0.007002	0.005450	0.000000	0.000000
115	-0.006993	0.005444	0.000000	0.000000
116	-0.006985	0.005437	0.000000	0.000000
117	-0.006976	0.005431	0.000000	0.000000
118	-0.006968	0.005425	0.000000	0.000000
119	-0.006959	0.005418	0.000000	0.000000
120	-0.006951	0.005412	0.000000	0.000000
121	-0.006942	0.005405	0.000000	0.000000
122	-0.006933	0.005398	0.000000	0.000000
123	-0.006924	0.005391	0.000000	0.000000
124	-0.006915	0.005384	0.000000	0.000000
125	-0.006906	0.005377	0.000000	0.000000
126	-0.006897	0.005370	0.000000	0.000000
127	-0.006888	0.005363	0.000000	0.000000
128	-0.006879	0.005356	0.000000	0.000000
129	-0.006870	0.005349	0.000000	0.000000
130	-0.006861	0.005342	0.000000	0.000000
131	-0.006851	0.005335	0.000000	0.000000
132	-0.006841	0.005328	0.000000	0.000000
133	-0.006831	0.005320	0.000000	0.000000
134	-0.006821	0.005313	0.000000	0.000000
135	-0.006812	0.005306	0.000000	0.000000
136	-0.006802	0.005298	0.000000	0.000000
137	-0.006792	0.005291	0.000000	0.000000
138	-0.006782	0.005283	0.000000	0.000000
139	-0.006772	0.005276	0.000000	0.000000
140	-0.006762	0.005269	0.000000	0.000000
141	-0.006752	0.005261	0.000000	0.000000
142	-0.006742	0.005253	0.000000	0.000000
143	-0.006731	0.005245	0.000000	0.000000
144	-0.006721	0.005237	0.000000	0.000000
145	-0.006710	0.005229	0.000000	0.000000
146	-0.006700	0.005221	0.000000	0.000000
147	-0.006690	0.005213	0.000000	0.000000
148	-0.006679	0.005205	0.000000	0.000000
149	-0.006669	0.005197	0.000000	0.000000
150	-0.006658	0.005189	0.000000	0.000000
151	-0.006648	0.005181	0.000000	0.000000
152	-0.006637	0.005172	0.000000	0.000000
153	-0.006626	0.005163	0.000000	0.000000
154	-0.006616	0.005154	0.000000	0.000000
155	-0.006605	0.005145	0.000000	0.000000
156	-0.006594	0.005137	0.000000	0.000000
157	-0.006583	0.005128	0.000000	0.000000
158	-0.006573	0.005119	0.000000	0.000000
159	-0.006562	0.005110	0.000000	0.000000
160	-0.006551	0.005101	0.000000	0.000000
161	-0.006540	0.005092	0.000000	0.000000
162	-0.006528	0.005084	0.000000	0.000000
163	-0.006516	0.005075	0.000000	0.000000
164	-0.006504	0.005066	0.000000	0.000000
165	-0.006492	0.005057	0.000000	0.000000
