# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.734837	25.598243	0.000101	-0.019934	2.616620	0.000000	0.000541	0.000000	-0.000021	0.000020	0.000000	0.000000
0.601250	11.742510	25.613800	-0.025571	-0.031707	2.616776	0.000000	0.000541	0.000000	-0.000014	0.000020	0.000000	0.000000
0.898573	11.765249	25.636109	-0.022053	-0.106191	2.616931	0.000000	-0.005877	0.000000	-0.000008	0.000021	0.000000	0.000000
1.339533	11.935827	25.445085	-0.366241	0.537743	2.630618	0.000000	0.068052	0.000000	0.000001	0.000020	0.000000	0.000000
1.780493	12.416154	24.694824	-0.727161	1.157210	2.677044	0.000000	0.142757	0.000000	0.000010	0.000021	0.000000	0.000000
2.221453	13.228176	23.419460	-1.121303	1.724025	2.756739	0.000000	0.219087	0.000000	0.000019	0.000021	0.000000	0.000000
2.662413	14.408991	21.677023	-1.566675	2.212399	2.870609	0.000000	0.297912	0.000000	0.000028	0.000022	0.000000	0.000000
3.108373	16.033000	19.521280	-2.087865	2.601260	3.021816	0.000000	0.380620	0.000000	0.000038	0.000022	0.000000	0.000000
3.657433	18.115707	17.099239	-1.682890	1.836026	3.205517	0.000000	0.287584	0.000000	0.000050	0.000021	0.000000	0.000000
4.206493	19.685398	15.441202	-1.159044	1.201569	3.336659	0.000000	0.189447	0.000000	0.000061	0.000019	0.000000	0.000000
4.755553	20.631198	14.429073	-0.553327	0.652696	3.412915	0.000000	0.087950	0.000000	0.000071	0.000017	0.000000	0.000000
5.304613	20.886299	13.990759	0.091474	0.150314	3.432934	0.000000	-0.015107	0.000000	0.000080	0.000015	0.000000	0.000000
5.603185	20.868515	13.885781	0.022624	0.164756	3.431095	0.000000	-0.006143	0.000000	0.000084	0.000015	0.000000	0.000000
5.936519	20.858760	13.784162	0.006642	0.140099	3.429043	0.000000	-0.006143	0.000000	0.000089	0.000015	0.000000	0.000000
6.269852	20.859659	13.698982	-0.009339	0.115442	3.426990	0.000000	-0.006143	0.000000	0.000094	0.000015	0.000000	0.000000
6.604435	20.871275	13.630012	-0.025380	0.090693	3.424929	0.000000	-0.006143	0.000000	0.000099	0.000015	0.000000	0.000000
6.901758	20.890605	13.582621	-0.094171	0.104161	3.423098	0.000000	0.002793	0.000000	0.000103	0.000015	0.000000	0.000000
7.450818	20.638368	13.731320	0.550856	-0.376584	3.396411	0.000000	-0.099837	0.000000	0.000110	0.000012	0.000000	0.000000
7.999878	19.695085	14.419479	1.156974	-0.884152	3.313778	0.000000	-0.200696	0.000000	0.000116	0.000008	0.000000	0.000000
8.548938	18.127383	15.696113	1.681368	-1.454696	3.176667	0.000000	-0.297995	0.000000	0.000119	0.000004	0.000000	0.000000
9.097998	16.046000	17.652155	2.086999	-2.128856	2.987510	0.000000	-0.390008	0.000000	0.000120	0.000000	0.000000	0.000000
9.543958	14.422826	19.394641	1.565668	-1.761877	2.831899	0.000000	-0.308247	0.000000	0.000121	0.000003	0.000000	0.000000
9.984918	13.242979	20.757052	1.120112	-1.316008	2.713231	0.000000	-0.230482	0.000000	0.000123	0.000007	0.000000	0.000000
10.425878	12.432112	21.698235	0.725731	-0.810261	2.628242	0.000000	-0.155341	0.000000	0.000127	0.000010	0.000000	0.000000
10.866838	11.953179	22.175367	0.364506	-0.267648	2.575965	0.000000	-0.081970	0.000000	0.000132	0.000013	0.000000	0.000000
