# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.813822	25.011404	-0.011471	-0.027166	2.618451	0.000000	-0.000123	0.000000	0.000004	0.000001	0.000000	0.000000
0.601250	11.828416	25.031403	-0.036974	-0.039219	2.618414	0.000000	-0.000123	0.000000	0.000005	0.000001	0.000000	0.000000
0.898573	11.857886	25.058261	-0.033067	-0.112563	2.618377	0.000000	-0.006544	0.000000	0.000005	0.000001	0.000000	0.000000
1.339533	12.039186	24.879574	-0.379642	0.516245	2.631786	0.000000	0.067419	0.000000	0.000005	0.000001	0.000000	0.000000
1.780493	12.532603	24.154607	-0.743562	1.121564	2.677947	0.000000	0.142150	0.000000	0.000006	0.000001	0.000000	0.000000
2.221453	13.360678	22.916346	-1.141454	1.675853	2.757387	0.000000	0.218501	0.000000	0.000006	0.000001	0.000000	0.000000
2.662413	14.561245	21.221131	-1.591495	2.153891	2.871011	0.000000	0.297339	0.000000	0.000007	0.000001	0.000000	0.000000
3.108373	16.209908	19.121233	-2.118538	2.535062	3.021973	0.000000	0.380054	0.000000	0.000007	0.000002	0.000000	0.000000
3.657433	18.324061	16.762755	-1.709164	1.785776	3.205374	0.000000	0.287018	0.000000	0.000008	0.000001	0.000000	0.000000
4.206493	19.919314	15.152825	-1.179062	1.163688	3.336217	0.000000	0.188891	0.000000	0.000009	0.000001	0.000000	0.000000
4.755553	20.882987	14.176772	-0.565678	0.624486	3.412182	0.000000	0.087413	0.000000	0.000009	0.000001	0.000000	0.000000
5.304613	21.147009	13.765072	0.087663	0.129765	3.431921	0.000000	-0.015615	0.000000	0.000010	0.000000	0.000000	0.000000
5.603185	21.131872	13.672763	0.018281	0.143442	3.429936	0.000000	-0.006649	0.000000	0.000010	0.000000	0.000000	0.000000
5.936519	21.124945	13.585429	0.002501	0.118561	3.427719	0.000000	-0.006649	0.000000	0.000010	0.000000	0.000000	0.000000
6.269852	21.128537	13.514682	-0.013278	0.093680	3.425503	0.000000	-0.006649	0.000000	0.000010	0.000000	0.000000	0.000000
6.604435	21.142722	13.460351	-0.029116	0.068705	3.423278	0.000000	-0.006649	0.000000	0.000010	0.000000	0.000000	0.000000
6.901758	21.164220	13.426094	-0.098484	0.081589	3.421301	0.000000	0.002289	0.000000	0.000010	0.000000	0.000000	0.000000
7.450818	20.911654	13.597253	0.555759	-0.395161	3.394360	0.000000	-0.100278	0.000000	0.000010	0.000000	0.000000	0.000000
7.999878	19.958055	14.304233	1.170746	-0.900057	3.311510	0.000000	-0.201067	0.000000	0.000010	-0.000000	0.000000	0.000000
8.548938	18.370779	15.597389	1.703037	-1.469063	3.174220	0.000000	-0.298289	0.000000	0.000010	-0.000001	0.000000	0.000000
9.097998	16.261945	17.568830	2.115034	-2.142706	2.984925	0.000000	-0.390220	0.000000	0.000010	-0.000001	0.000000	0.000000
9.543958	14.616637	19.325497	1.587445	-1.779713	2.829207	0.000000	-0.308528	0.000000	0.000010	-0.000001	0.000000	0.000000
9.984918	13.419951	20.705083	1.136671	-1.336977	2.710401	0.000000	-0.230834	0.000000	0.000009	-0.000000	0.000000	0.000000
10.425878	12.596496	21.665792	0.737828	-0.833410	2.625244	0.000000	-0.155769	0.000000	0.000009	-0.000000	0.000000	0.000000
10.866838	12.108651	22.163915	0.372694	-0.291923	2.572765	0.000000	-0.082478	0.000000	0.000009	0.000000	0.000000	0.000000
11.309048	11.933993	22.176265	0.053747	0.208408	2.552347	0.000000	-0.016385	0.000000	0.000009	0.000000	0.000000	0.000000
11.606371	11.909462	22.056495	0.028761	0.194418	2.547475	0.000000	-0.016385	0.000000	0.000009	0.000000	0.000000	0.000000
12.086371	11.901213	21.880694	-0.011577	0.171833	2.539611	0.000000	-0.016385	0.000000	0.000010	0.000000	0.000000	0.000000
12.566371	11.931689	21.726575	-0.051914	0.149248	2.531746	0.000000	-0.016385	0.000000	0.000010	0.000000	0.000000	0.000000
13.046371	12.000888	21.594137	-0.092252	0.126664	2.523881	0.000000	-0.016385	0.000000	0.000010	0.000000	0.000000	0.000000
13.526371	12.108812	21.483381	-0.132589	0.104079	2.516016	0.000000	-0.016385	0.000000	0.000010	0.000000	0.000000	0.000000
14.007621	12.255892	21.394103	-0.173032	0.081435	2.508131	0.000000	-0.016385	0.000000	0.000010	0.000000	0.000000	0.000000
14.304943	12.366213	21.349837	-0.167695	0.015094	2.503259	0.000000	-0.022523	0.000000	0.000010	0.000000	0.000000	0.000000
14.745903	12.672702	21.102851	-0.529991	0.542884	2.508953	0.000000	0.048373	0.000000	0.000010	0.000001	0.000000	0.000000
15.186863	13.308137	20.399552	-0.916502	1.045973	2.546001	0.000000	0.119820	0.000000	0.000011	0.000001	0.000000	0.000000
15.627823	14.301550	19.271939	-1.344885	1.501472	2.614825	0.000000	0.192632	0.000000	0.000011	0.000001	0.000000	0.000000
16.068783	15.698326	17.771319	-1.834712	1.888654	2.716208	0.000000	0.267638	0.000000	0.000012	0.000001	0.000000	0.000000
16.514743	17.585943	15.944469	-2.413120	2.190649	2.852999	0.000000	0.346154	0.000000	0.000012	0.000002	0.000000	0.000000
17.063803	20.010274	13.904616	-1.976161	1.546454	3.019340	0.000000	0.258869	0.000000	0.000013	0.000001	0.000000	0.000000
17.612863	21.874815	12.507891	-1.399615	1.012409	3.136424	0.000000	0.166992	0.000000	0.000014	0.000001	0.000000	0.000000
18.161923	23.047865	11.654809	-0.724208	0.550476	3.202173	0.000000	0.072154	0.000000	0.000014	0.000000	0.000000	0.000000
18.710983	23.446567	11.284606	0.002354	0.127752	3.215422	0.000000	-0.023965	0.000000	0.000014	-0.000000	0.000000	0.000000
19.009556	23.485554	11.198810	-0.071678	0.130120	3.210775	0.000000	-0.015564	0.000000	0.000014	-0.000000	0.000000	0.000000
19.342889	23.538095	11.122153	-0.085944	0.099851	3.205587	0.000000	-0.015564	0.000000	0.000014	-0.000000	0.000000	0.000000
19.676223	23.600146	11.065675	-0.100211	0.069582	3.200399	0.000000	-0.015564	0.000000	0.000014	-0.000000	0.000000	0.000000
20.010806	23.672288	11.029142	-0.231816	0.093845	3.195211	0.000000	0.000266	0.000000	0.000014	0.000000	0.000000	0.000000
20.308129	23.814071	10.981423	-0.307265	0.095339	3.195290	0.000000	0.008614	0.000000	0.000014	0.000000	0.000000	0.000000
20.857189	23.740746	11.098902	0.440021	-0.310565	3.173816	0.000000	-0.086719	0.000000	0.000014	-0.000000	0.000000	0.000000
21.406249	22.859090	11.671570	1.156227	-0.738589	3.100345	0.000000	-0.180514	0.000000	0.000014	-0.000001	0.000000	0.000000
21.955309	21.231381	12.740218	1.790762	-1.219222	2.976180	0.000000	-0.271106	0.000000	0.000013	-0.000001	0.000000	0.000000
22.504369	18.972590	14.380964	2.298807	-1.786697	2.803522	0.000000	-0.356891	0.000000	0.000012	-0.000002	0.000000	0.000000
22.950329	17.192461	15.854044	1.706962	-1.502535	2.661648	0.000000	-0.279724	0.000000	0.000012	-0.000001	0.000000	0.000000
23.391289	15.916417	17.028556	1.197801	-1.150863	2.554614	0.000000	-0.206198	0.000000	0.000011	-0.000001	0.000000	0.000000
23.832249	15.063675	17.868559	0.743364	-0.746828	2.479454	0.000000	-0.135020	0.000000	0.000011	-0.000001	0.000000	0.000000
24.273209	14.595276	18.335833	0.322890	-0.308813	2.435312	0.000000	-0.065380	0.000000	0.000011	-0.000001	0.000000	0.000000
24.715418	14.489939	18.408872	-0.047389	0.098044	2.421683	0.000000	-0.002422	0.000000	0.000010	-0.000000	0.000000	0.000000
25.012741	14.524233	18.355418	-0.067955	0.081738	2.420963	0.000000	-0.002422	0.000000	0.000010	-0.000000	0.000000	0.000000
25.346075	14.577222	18.307020	-0.091011	0.063457	2.420155	0.000000	-0.002422	0.000000	0.000010	-0.000000	0.000000	0.000000
25.679408	14.645581	18.270809	-0.114067	0.045176	2.419348	0.000000	-0.002422	0.000000	0.000010	-0.000000	0.000000	0.000000
26.013991	14.729355	18.247088	-0.017715	-0.121204	2.418513	0.000000	-0.022043	0.000000	0.000010	-0.000000	0.000000	0.000000
26.311314	14.745893	18.324077	-0.001749	-0.182669	2.411959	0.000000	-0.027957	0.000000	0.000010	-0.000000	0.000000	0.000000
26.752274	14.929108	18.286444	-0.415319	0.267689	2.414733	0.000000	0.040548	0.000000	0.000010	-0.000000	0.000000	0.000000
27.193234	15.484017	17.855504	-0.847864	0.705867	2.447787	0.000000	0.109514	0.000000	0.000010	0.000000	0.000000	0.000000
27.634194	16.435970	17.050867	-1.319145	1.111929	2.511498	0.000000	0.179728	0.000000	0.000010	0.000000	0.000000	0.000000
28.075154	17.828459	15.909141	-1.850694	1.467399	2.606593	0.000000	0.251989	0.000000	0.000010	0.000001	0.000000	0.000000
28.521114	19.749298	14.465076	-2.471762	1.757017	2.735755	0.000000	0.327563	0.000000	0.000011	0.000001	0.000000	0.000000
29.070174	22.190672	12.856088	-1.948376	1.190722	2.892959	0.000000	0.244225	0.000000	0.000011	0.000001	0.000000	0.000000
29.619234	23.977869	11.819017	-1.287367	0.709239	3.003147	0.000000	0.156555	0.000000	0.000011	0.000000	0.000000	0.000000
30.168294	24.984651	11.279994	-0.535424	0.278275	3.064365	0.000000	0.066108	0.000000	0.000011	-0.000000	0.000000	0.000000
30.717354	25.139903	11.200626	0.254338	-0.132869	3.075527	0.000000	-0.025511	0.000000	0.000011	-0.000001	0.000000	0.000000
31.015927	25.030919	11.270538	0.176359	-0.130549	3.070309	0.000000	-0.017476	0.000000	0.000011	-0.000000	0.000000	0.000000
31.349260	24.917923	11.367598	0.162628	-0.160629	3.064484	0.000000	-0.017476	0.000000	0.000011	-0.000000	0.000000	0.000000
31.682593	24.814082	11.484711	0.148897	-0.190709	3.058658	0.000000	-0.017476	0.000000	0.000011	-0.000000	0.000000	0.000000
32.017177	24.719056	11.622428	0.135114	-0.220901	3.052811	0.000000	-0.017476	0.000000	0.000010	-0.000000	0.000000	0.000000
32.314499	24.642353	11.761764	0.058486	-0.217003	3.047615	0.000000	-0.009514	0.000000	0.000010	-0.000000	0.000000	0.000000
32.863559	24.155936	12.239316	0.822178	-0.657895	3.017528	0.000000	-0.099923	0.000000	0.000010	-0.000001	0.000000	0.000000
33.412619	22.857976	13.223759	1.527795	-1.145648	2.938214	0.000000	-0.188559	0.000000	0.000009	-0.000001	0.000000	0.000000
33.961679	20.840154	14.785211	2.125496	-1.715003	2.811083	0.000000	-0.273851	0.000000	0.000009	-0.000001	0.000000	0.000000
34.510739	18.245000	17.034892	2.573063	-2.406514	2.638387	0.000000	-0.354285	0.000000	0.000008	-0.000002	0.000000	0.000000
34.956699	16.227194	19.047135	1.967783	-2.086806	2.496723	0.000000	-0.281399	0.000000	0.000007	-0.000001	0.000000	0.000000
35.397659	14.722525	20.711347	1.457418	-1.672897	2.388010	0.000000	-0.212146	0.000000	0.000007	-0.000001	0.000000	0.000000
35.838619	13.637005	21.975437	1.013639	-1.182872	2.309274	0.000000	-0.145309	0.000000	0.000006	-0.000001	0.000000	0.000000
36.279579	12.921041	22.781890	0.616169	-0.639027	2.259617	0.000000	-0.080128	0.000000	0.000006	-0.000001	0.000000	0.000000
36.721789	12.541228	23.094321	0.277499	-0.122792	2.238448	0.000000	-0.021347	0.000000	0.000005	-0.000001	0.000000	0.000000
37.019112	12.383806	23.171224	0.251966	-0.135861	2.232101	0.000000	-0.021347	0.000000	0.000005	-0.000001	0.000000	0.000000
37.352445	12.225371	23.266682	0.223340	-0.150512	2.224985	0.000000	-0.021347	0.000000	0.000005	-0.000001	0.000000	0.000000
37.685779	12.086019	23.371907	0.194714	-0.165163	2.217870	0.000000	-0.021347	0.000000	0.000004	-0.000001	0.000000	0.000000
