# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.037775	0.028746	0.000000	0.000000
2	-0.037774	0.028744	0.000000	0.000000
3	-0.037773	0.028742	0.000000	0.000000
4	-0.037772	0.028740	0.000000	0.000000
5	-0.037772	0.028738	0.000000	0.000000
6	-0.037771	0.028735	0.000000	0.000000
7	-0.037770	0.028733	0.000000	0.000000
8	-0.037769	0.028731	0.000000	0.000000
9	-0.037769	0.028729	0.000000	0.000000
10	-0.037768	0.028727	0.000000	0.000000
11	-0.037763	0.028723	0.000000	0.000000
12	-0.037757	0.028719	0.000000	0.000000
13	-0.037751	0.028716	0.000000	0.000000
14	-0.037744	0.028712	0.000000	0.000000
15	-0.037738	0.028708	0.000000	0.000000
16	-0.037732	0.028704	0.000000	0.000000
17	-0.037726	0.028700	0.000000	0.000000
18	-0.037720	0.028697	0.000000	0.000000
19	-0.037714	0.028693	0.000000	0.000000
20	-0.037708	0.028689	0.000000	0.000000
21	-0.037699	0.028682	0.000000	0.000000
22	-0.037690	0.028675	0.000000	0.000000
23	-0.037681	0.028667	0.000000	0.000000
24	-0.037673	0.028660	0.000000	0.000000
25	-0.037664	0.028653	0.000000	0.000000
26	-0.037655	0.028645	0.000000	0.000000
27	-0.037646	0.028638	0.000000	0.000000
28	-0.037637	0.028630	0.000000	0.000000
29	-0.037628	0.028623	0.000000	0.000000
30	-0.037619	0.028615	0.000000	0.000000
31	-0.037606	0.028607	0.000000	0.000000
32	-0.037592	0.028597	0.000000	0.000000
33	-0.037578	0.028588	0.000000	0.000000
34	-0.037564	0.028579	0.000000	0.000000
35	-0.037550	0.028570	0.000000	0.000000
36	-0.037536	0.028561	0.000000	0.000000
37	-0.037522	0.028552	0.000000	0.000000
38	-0.037508	0.028543	0.000000	0.000000
39	-0.037494	0.028533	0.000000	0.000000
40	-0.037480	0.028524	0.000000	0.000000
41	-0.037465	0.028512	0.000000	0.000000
42	-0.037449	0.028498	0.000000	0.000000
43	-0.037433	0.028485	0.000000	0.000000
44	-0.037417	0.028471	0.000000	0.000000
45	-0.037401	0.028458	0.000000	0.000000
46	-0.037386	0.028444	0.000000	0.000000
47	-0.037370	0.028431	0.000000	0.000000
48	-0.037354	0.028418	0.000000	0.000000
49	-0.037338	0.028404	0.000000	0.000000
50	-0.037322	0.028391	0.000000	0.000000
51	-0.037301	0.028377	0.000000	0.000000
52	-0.037278	0.028363	0.000000	0.000000
53	-0.037255	0.028350	0.000000	0.000000
54	-0.037233	0.028336	0.000000	0.000000
55	-0.037210	0.028322	0.000000	0.000000
56	-0.037187	0.028309	0.000000	0.000000
57	-0.037164	0.028295	0.000000	0.000000
58	-0.037142	0.028281	0.000000	0.000000
59	-0.037119	0.028268	0.000000	0.000000
60	-0.037096	0.028254	0.000000	0.000000
61	-0.037073	0.028236	0.000000	0.000000
62	-0.037049	0.028218	0.000000	0.000000
63	-0.037025	0.028199	0.000000	0.000000
64	-0.037002	0.028180	0.000000	0.000000
65	-0.036978	0.028161	0.000000	0.000000
66	-0.036954	0.028142	0.000000	0.000000
67	-0.036931	0.028123	0.000000	0.000000
68	-0.036907	0.028105	0.000000	0.000000
69	-0.036883	0.028086	0.000000	0.000000
70	-0.036860	0.028067	0.000000	0.000000
71	-0.036832	0.028047	0.000000	0.000000
72	-0.036804	0.028026	0.000000	0.000000
73	-0.036776	0.028006	0.000000	0.000000
74	-0.036747	0.027985	0.000000	0.000000
75	-0.036719	0.027965	0.000000	0.000000
76	-0.036691	0.027944	0.000000	0.000000
77	-0.036663	0.027924	0.000000	0.000000
78	-0.036635	0.027903	0.000000	0.000000
79	-0.036606	0.027883	0.000000	0.000000
80	-0.036578	0.027862	0.000000	0.000000
81	-0.036547	0.027840	0.000000	0.000000
82	-0.036514	0.027816	0.000000	0.000000
83	-0.036482	0.027793	0.000000	0.000000
84	-0.036450	0.027770	0.000000	0.000000
85	-0.036418	0.027747	0.000000	0.000000
86	-0.036386	0.027724	0.000000	0.000000
87	-0.036354	0.027700	0.000000	0.000000
88	-0.036321	0.027677	0.000000	0.000000
89	-0.036289	0.027654	0.000000	0.000000
90	-0.036257	0.027631	0.000000	0.000000
91	-0.036223	0.027605	0.000000	0.000000
92	-0.036188	0.027579	0.000000	0.000000
93	-0.036153	0.027552	0.000000	0.000000
94	-0.036118	0.027526	0.000000	0.000000
95	-0.036083	0.027499	0.000000	0.000000
96	-0.036048	0.027473	0.000000	0.000000
97	-0.036014	0.027447	0.000000	0.000000
98	-0.035979	0.027420	0.000000	0.000000
99	-0.035944	0.027394	0.000000	0.000000
100	-0.035909	0.027367	0.000000	0.000000
101	-0.035872	0.027338	0.000000	0.000000
102	-0.035834	0.027308	0.000000	0.000000
103	-0.035796	0.027278	0.000000	0.000000
104	-0.035759	0.027248	0.000000	0.000000
105	-0.035721	0.027218	0.000000	0.000000
106	-0.035683	0.027188	0.000000	0.000000
107	-0.035646	0.027158	0.000000	0.000000
108	-0.035608	0.027127	0.000000	0.000000
109	-0.035571	0.027097	0.000000	0.000000
110	-0.035533	0.027067	0.000000	0.000000
111	-0.035490	0.027037	0.000000	0.000000
112	-0.035447	0.027006	0.000000	0.000000
113	-0.035404	0.026975	0.000000	0.000000
114	-0.035360	0.026944	0.000000	0.000000
115	-0.035317	0.026913	0.000000	0.000000
116	-0.035274	0.026883	0.000000	0.000000
117	-0.035230	0.026852	0.000000	0.000000
118	-0.035187	0.026821	0.000000	0.000000
119	-0.035144	0.026790	0.000000	0.000000
120	-0.035100	0.026759	0.000000	0.000000
121	-0.035055	0.026726	0.000000	0.000000
122	-0.035009	0.026692	0.000000	0.000000
123	-0.034963	0.026658	0.000000	0.000000
124	-0.034917	0.026624	0.000000	0.000000
125	-0.034871	0.026590	0.000000	0.000000
126	-0.034825	0.026556	0.000000	0.000000
127	-0.034779	0.026522	0.000000	0.000000
128	-0.034732	0.026488	0.000000	0.000000
129	-0.034686	0.026453	0.000000	0.000000
130	-0.034640	0.026419	0.000000	0.000000
131	-0.034591	0.026384	0.000000	0.000000
132	-0.034541	0.026347	0.000000	0.000000
133	-0.034491	0.026311	0.000000	0.000000
134	-0.034440	0.026275	0.000000	0.000000
135	-0.034390	0.026239	0.000000	0.000000
136	-0.034340	0.026203	0.000000	0.000000
137	-0.034290	0.026166	0.000000	0.000000
