# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.830522	24.951840	-0.013316	-0.027682	2.618389	0.000000	-0.000094	0.000000	0.000000	0.000000	0.000000	0.000000
0.601250	11.846217	24.972159	-0.038784	-0.039765	2.618361	0.000000	-0.000094	0.000000	0.000000	0.000000	0.000000	0.000000
0.898573	11.876754	24.999350	-0.034795	-0.112995	2.618333	0.000000	-0.006514	0.000000	0.000000	0.000000	0.000000	0.000000
1.339533	12.059781	24.821731	-0.381845	0.514265	2.631755	0.000000	0.067448	0.000000	0.000000	0.000000	0.000000	0.000000
1.780493	12.555386	24.099162	-0.746341	1.118126	2.677929	0.000000	0.142178	0.000000	0.000000	0.000000	0.000000	0.000000
2.221453	13.386211	22.864520	-1.144935	1.671114	2.757382	0.000000	0.218528	0.000000	0.000000	0.000000	0.000000	0.000000
2.662413	14.590214	21.173981	-1.595837	2.148067	2.871018	0.000000	0.297367	0.000000	0.000000	0.000000	0.000000	0.000000
3.108373	16.243210	19.079667	-2.123949	2.528415	3.021993	0.000000	0.380082	0.000000	0.000000	0.000000	0.000000	0.000000
3.657433	18.362862	16.727556	-1.713709	1.780759	3.205410	0.000000	0.287045	0.000000	0.000000	0.000000	0.000000	0.000000
4.206493	19.962480	15.122410	-1.182421	1.159942	3.336268	0.000000	0.188916	0.000000	0.000001	0.000000	0.000000	0.000000
4.755553	20.929076	14.149896	-0.567613	0.621746	3.412247	0.000000	0.087437	0.000000	0.000001	0.000000	0.000000	0.000000
5.304613	21.194373	13.740747	0.087289	0.127835	3.431999	0.000000	-0.015594	0.000000	0.000001	0.000000	0.000000	0.000000
5.603185	21.179528	13.649634	0.017810	0.141425	3.430021	0.000000	-0.006626	0.000000	0.000001	0.000000	0.000000	0.000000
5.936519	21.172902	13.563654	0.002067	0.116516	3.427812	0.000000	-0.006626	0.000000	0.000001	0.000000	0.000000	0.000000
6.269852	21.176772	13.494279	-0.013677	0.091607	3.425603	0.000000	-0.006626	0.000000	0.000001	0.000000	0.000000	0.000000
6.604435	21.191211	13.441345	-0.029479	0.066604	3.423386	0.000000	-0.006626	0.000000	0.000001	0.000000	0.000000	0.000000
6.901758	21.212916	13.408345	-0.098947	0.079419	3.421416	0.000000	0.002313	0.000000	0.000001	0.000000	0.000000	0.000000
7.450818	20.959961	13.581621	0.556926	-0.396869	3.394487	0.000000	-0.100258	0.000000	0.000001	0.000000	0.000000	0.000000
7.999878	20.004217	14.290280	1.173461	-0.901426	3.311647	0.000000	-0.201051	0.000000	0.000001	0.000000	0.000000	0.000000
8.548938	18.413194	15.584798	1.707108	-1.470190	3.174364	0.000000	-0.298278	0.000000	0.000001	0.000000	0.000000	0.000000
9.097998	16.299273	17.557382	2.120174	-2.143672	2.985073	0.000000	-0.390214	0.000000	0.000001	-0.000000	0.000000	0.000000
9.543958	14.649892	19.315123	1.591473	-1.781148	2.829358	0.000000	-0.308518	0.000000	0.000001	-0.000000	0.000000	0.000000
9.984918	13.450069	20.696156	1.139781	-1.338813	2.710557	0.000000	-0.230820	0.000000	0.000001	0.000000	0.000000	0.000000
10.425878	12.624222	21.658632	0.740163	-0.835563	2.625407	0.000000	-0.155751	0.000000	0.000001	0.000000	0.000000	0.000000
10.866838	12.134620	22.158757	0.374360	-0.294295	2.572938	0.000000	-0.082455	0.000000	0.000001	0.000000	0.000000	0.000000
11.309048	11.958756	22.173262	0.054882	0.205928	2.552530	0.000000	-0.016359	0.000000	0.000001	0.000000	0.000000	0.000000
11.606371	11.933535	22.054963	0.029945	0.191950	2.547666	0.000000	-0.016359	0.000000	0.000001	0.000000	0.000000	0.000000
12.086371	11.924112	21.881523	-0.010314	0.169385	2.539814	0.000000	-0.016359	0.000000	0.000001	0.000000	0.000000	0.000000
12.566371	11.953338	21.729745	-0.050573	0.146819	2.531962	0.000000	-0.016359	0.000000	0.000001	0.000000	0.000000	0.000000
13.046371	12.021212	21.599630	-0.090832	0.124253	2.524110	0.000000	-0.016359	0.000000	0.000001	0.000000	0.000000	0.000000
