# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.829730	24.954431	-0.013226	-0.027664	2.618390	0.000000	-0.000094	0.000000	0.000000	0.000000	0.000000	0.000000
0.601250	11.845372	24.974738	-0.038696	-0.039745	2.618362	0.000000	-0.000094	0.000000	0.000000	0.000000	0.000000	0.000000
0.898573	11.875857	25.001918	-0.034711	-0.112981	2.618334	0.000000	-0.006515	0.000000	0.000000	0.000000	0.000000	0.000000
1.339533	12.058800	24.824256	-0.381739	0.514347	2.631755	0.000000	0.067447	0.000000	0.000000	0.000000	0.000000	0.000000
1.780493	12.554299	24.101586	-0.746207	1.118272	2.677930	0.000000	0.142178	0.000000	0.000000	0.000000	0.000000	0.000000
2.221453	13.384992	22.866790	-1.144767	1.671317	2.757382	0.000000	0.218528	0.000000	0.000000	0.000000	0.000000	0.000000
2.662413	14.588830	21.176050	-1.595628	2.148318	2.871019	0.000000	0.297367	0.000000	0.000000	0.000000	0.000000	0.000000
3.108373	16.241617	19.081495	-2.123689	2.528703	3.021994	0.000000	0.380082	0.000000	0.000001	0.000000	0.000000	0.000000
3.657433	18.361004	16.729108	-1.713490	1.780975	3.205410	0.000000	0.287045	0.000000	0.000001	0.000000	0.000000	0.000000
4.206493	19.960412	15.123756	-1.182259	1.160103	3.336268	0.000000	0.188916	0.000000	0.000001	0.000000	0.000000	0.000000
4.755553	20.926866	14.151091	-0.567519	0.621862	3.412247	0.000000	0.087436	0.000000	0.000001	0.000000	0.000000	0.000000
5.304613	21.192100	13.741834	0.087308	0.127915	3.431999	0.000000	-0.015594	0.000000	0.000001	0.000000	0.000000	0.000000
5.603185	21.177240	13.650671	0.017834	0.141510	3.430020	0.000000	-0.006627	0.000000	0.000001	0.000000	0.000000	0.000000
5.936519	21.170599	13.564634	0.002089	0.116602	3.427811	0.000000	-0.006627	0.000000	0.000001	0.000000	0.000000	0.000000
6.269852	21.174455	13.495202	-0.013656	0.091694	3.425602	0.000000	-0.006627	0.000000	0.000001	0.000000	0.000000	0.000000
6.604435	21.188881	13.442208	-0.029461	0.066693	3.423385	0.000000	-0.006627	0.000000	0.000001	0.000000	0.000000	0.000000
6.901758	21.210576	13.409156	-0.098924	0.079511	3.421414	0.000000	0.002313	0.000000	0.000001	0.000000	0.000000	0.000000
7.450818	20.957638	13.582343	0.556871	-0.396799	3.394486	0.000000	-0.100259	0.000000	0.000001	0.000000	0.000000	0.000000
7.999878	20.001996	14.290934	1.173331	-0.901372	3.311645	0.000000	-0.201051	0.000000	0.000001	0.000000	0.000000	0.000000
8.548938	18.411152	15.585400	1.706913	-1.470148	3.174362	0.000000	-0.298278	0.000000	0.000001	-0.000000	0.000000	0.000000
9.097998	16.297475	17.557943	2.119927	-2.143639	2.985071	0.000000	-0.390214	0.000000	0.000001	-0.000000	0.000000	0.000000
9.543958	14.648289	19.315645	1.591280	-1.781094	2.829356	0.000000	-0.308519	0.000000	0.000001	-0.000000	0.000000	0.000000
