# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.001492	0.001167	0.000000	0.000000
2	-0.001492	0.001166	0.000000	0.000000
3	-0.001492	0.001166	0.000000	0.000000
4	-0.001492	0.001166	0.000000	0.000000
5	-0.001492	0.001166	0.000000	0.000000
6	-0.001492	0.001166	0.000000	0.000000
7	-0.001492	0.001166	0.000000	0.000000
8	-0.001492	0.001166	0.000000	0.000000
9	-0.001492	0.001166	0.000000	0.000000
10	-0.001491	0.001166	0.000000	0.000000
11	-0.001491	0.001166	0.000000	0.000000
12	-0.001491	0.001165	0.000000	0.000000
13	-0.001491	0.001165	0.000000	0.000000
14	-0.001491	0.001165	0.000000	0.000000
15	-0.001490	0.001165	0.000000	0.000000
16	-0.001490	0.001165	0.000000	0.000000
17	-0.001490	0.001165	0.000000	0.000000
18	-0.001490	0.001165	0.000000	0.000000
19	-0.001489	0.001164	0.000000	0.000000
20	-0.001489	0.001164	0.000000	0.000000
21	-0.001489	0.001164	0.000000	0.000000
22	-0.001488	0.001164	0.000000	0.000000
23	-0.001488	0.001163	0.000000	0.000000
24	-0.001488	0.001163	0.000000	0.000000
25	-0.001487	0.001163	0.000000	0.000000
26	-0.001487	0.001162	0.000000	0.000000
27	-0.001487	0.001162	0.000000	0.000000
28	-0.001486	0.001162	0.000000	0.000000
29	-0.001486	0.001162	0.000000	0.000000
30	-0.001486	0.001161	0.000000	0.000000
31	-0.001485	0.001161	0.000000	0.000000
32	-0.001485	0.001160	0.000000	0.000000
33	-0.001484	0.001160	0.000000	0.000000
34	-0.001484	0.001160	0.000000	0.000000
35	-0.001483	0.001159	0.000000	0.000000
36	-0.001482	0.001159	0.000000	0.000000
37	-0.001482	0.001159	0.000000	0.000000
38	-0.001481	0.001158	0.000000	0.000000
39	-0.001481	0.001158	0.000000	0.000000
40	-0.001480	0.001157	0.000000	0.000000
41	-0.001480	0.001157	0.000000	0.000000
42	-0.001479	0.001156	0.000000	0.000000
43	-0.001478	0.001156	0.000000	0.000000
44	-0.001478	0.001155	0.000000	0.000000
45	-0.001477	0.001155	0.000000	0.000000
46	-0.001477	0.001154	0.000000	0.000000
47	-0.001476	0.001154	0.000000	0.000000
48	-0.001475	0.001153	0.000000	0.000000
49	-0.001475	0.001153	0.000000	0.000000
50	-0.001474	0.001152	0.000000	0.000000
51	-0.001473	0.001151	0.000000	0.000000
52	-0.001472	0.001151	0.000000	0.000000
53	-0.001471	0.001150	0.000000	0.000000
54	-0.001471	0.001150	0.000000	0.000000
55	-0.001470	0.001149	0.000000	0.000000
