# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	1279901783456557039616.000000	2219794189861789892608.000000	-8696974635504607232.000000	-3823311181782722048.000000	22759457248.797016	0.000000	61742409.098603	0.000000	2239929.063223	78269026.353192	0.000000	0.000000
0.601250	127990178345655733603104672055251506823168.000000	221979418986179011227559076430585618497536.000000	-869697463550460650655490744904446902272.000000	-382331118178272244953057873901761069056.000000	227594572487970160640.000000	0.000000	617424090986034944.000000	0.000000	22399290632225676.000000	782690263531924352.000000	0.000000	0.000000
0.898573	12799017834565572260754176267009089998773752203679660752502784.000000	22197941898617901811926770558422713848028220938052875698831360.000000	-86969746355046063891192726128938065365496942376372290977792.000000	-38233111817827224346785504486277777535165872967249838473216.000000	2275945724879701474234830159872.000000	0.000000	6174240909860349865940221952.000000	0.000000	223992906322256772126998528.000000	7826902635319242984517533696.000000	0.000000	0.000000
1.339533	1279901783456557102162082353720695942111186538649003100736575283964933898487463936.000000	2219794189861790002414924734194224180096626767409884774385664637003283603365298176.000000	-8696974635504606635307306961974251818662814564963195685609717968690404160176128.000000	-3823311181782722337671136891107514839448785939952725255744146698955621025185792.000000	22759457248797013966234691190648062607360.000000	0.000000	61742409098603495563118928907628183552.000000	0.000000	2239929063222567633763496407819354112.000000	78269026353192431438957586789865357312.000000	0.000000	0.000000
1.780493	127990178345655698364343490209341684527495870909514430882281055543463266892710145585370573016668307456.000000	221979418986179049561437638875802713871292779120610887217928493332034400570349786465764169370403078144.000000	-869697463550460520554709848694402028893238417999303283412019416006396680819512539634070660430430208.000000	-382331118178272236399872820195386688114353192853551220317919703871980487649965588236487349623586816.000000	227594572487970134375619987174964190173798474973184.000000	0.000000	617424090986034932161432254900806216909819215872.000000	0.000000	22399290632225675244268550171797347280225304576.000000	782690263531924330536608084691283520633136218112.000000	0.000000	0.000000
2.221453	12799017834565567503070126144624455982029351857912267238777739665523460917515554661465164263961436893470026936902054051840.000000	22197941898617904108568276082510690882141044528414132647138585187558165685467665845406358062063992772960807643192974376960.000000	-86969746355046052397194090732277947327802512655216401416213245420766410301526217720011279953494060410617935858407309312.000000	-38233111817827230958113653041499738855222145806141237993340041462840875677462734065204627925328871637605447678679842816.000000	2275945724879701271165591554228039535337395384827673204228096.000000	0.000000	6174240909860349141986355805872149295254360965673807511552.000000	0.000000	223992906322256759513643632717296829404767965329523474432.000000	7826902635319242854454726292787393472918700736339270172672.000000	0.000000	0.000000
2.662413	1279901783456556721751694540037344021755735397676407214784967209603879749428668025706933277982883606241062221386370634820601948775938265186304.000000	2219794189861790530572048418745569845695045250846403399979924532330851960984669077160217469330545328899216355710871303011835516208056484495360.000000	-8696974635504604207524823137784385046378340578092095339236367014191682384423862895284847982784166813889270741547910120309470616168068808704.000000	-3823311181782722720068777789802392013803174066595927399323078954994408921514824561071309251315338922583890024694241217031342420397356220416.000000	22759457248797013676949978468232485671461915845560057147650941917331456.000000	0.000000	61742409098603485638988743567899946329958629864448982293048278908928.000000	0.000000	2239929063222567501165199397681452010274205424517206656635627372544.000000	78269026353192423190358850529194389248084555282801051139393252753408.000000	0.000000	0.000000
3.108373	127990178345655693190398255118878107931674942907054960572790326778177527759792941769093373426075641958200482845083884272489830611066781057893789718203986232737792.000000	221979418986179049266328476935092422649820782197125870167034386969688614038789958485196567818166119034559102773893537691613441293423548890360788752607650062008320.000000	-869697463550460495409579985830725796472926128824958460115244732778050684677589709852986716774449946879607755928807263539129479942912137209302409940964474880000.000000	-382331118178272318683211970315097581590809549192082149042832410104816366800251472699180696900273713927455350328034062248186813401267388824583597184325926256640.000000	227594572487970141788707994907927115562299395988989883790449446699423340718718976.000000	0.000000	617424090986034833778283529132617171548181916328193892840055538659553957642240.000000	0.000000	22399290632225673809180517208050476808508828151952328371800335558418190303232.000000	782690263531924228361022773169047499056223097762486992646979373042555334688768.000000	0.000000	0.000000
3.657433	12799017834565568183607912953121066906526843911253605584364229281575579961650056943786121487384971745905870832071635679095589285315298327970183231611449354214448626354458245445189632.000000	22197941898617901190054369082710141559988822845265447132536819660232470417488199359086331580865396273027907951453593171381396416313402598415530255027805763408433536239850020545757184.000000	-86969746355046054664047196652107986940583416988724360666488217194866303940079574547482798759147262412250084692804610374769049749695219334137586677233784443819630064474642362400768.000000	-38233111817827233906087079078200324329703284336198050790109463468808750750127119798337130755610863470162735851471383656781487395537226015566006331383830518180963163783256709529600.000000	2275945724879701597731734815827763453645870205516234312279220215177687179285482942962335744.000000	0.000000	6174240909860348153984978572401713273139912577940861867364106712356194923167351790632960.000000	0.000000	223992906322256740877525911297179470618415949807973559417416419119506993931353977782272.000000	7826902635319241907447359366604430968002786254876126135254780371112193839839385558712320.000000	0.000000	0.000000
4.206493	1279901783456557079093689958248175939263233605183099367353388434292170828581807282741928501785709949503272586765848152614665777439536189369197162128286785340292792134069974237986214433553531293684203520.000000	2219794189861790238178739912628179395654168144599865805148614516406478199354531033277288071654177230632517493425232053192721845565099789147343136848045710907826013085624250391096354128521758370508570624.000000	-8696974635504606705091593336681560091529596955642681792905217283869324237189833040043275830007638050570734737744198523988251789177845344750429781650790670812214169468635115634368150418609959029702656.000000	-3823311181782723286615980543477075776021716308150898346349542089816318797601546728492322616938477928382872469001132313205069482317776146531639233957176950037386591055725053459338482533651636232912896.000000	22759457248797015031591480501137948856604707687924307502417972434360178309915063839361282588563996672.000000	0.000000	61742409098603484718835656293302457471749587602498993228558647301979604828858451917953701238538240.000000	0.000000	2239929063222567621450498952580734187379312998704777910847134659401573878894628498919259027537920.000000	78269026353192424749602196683915190625172501280622190740327894731326037430857743730581502385192960.000000	0.000000	0.000000
