# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	2239929.063223	inf	0.000000	0.000000
2	2239929.063223	inf	0.000000	0.000000
3	2239929.063223	inf	0.000000	0.000000
4	2239929.063223	inf	0.000000	0.000000
5	2239929.063223	inf	0.000000	0.000000
6	2239929.063223	inf	0.000000	0.000000
7	2239929.063223	inf	0.000000	0.000000
8	2239929.063223	inf	0.000000	0.000000
9	2239929.063223	inf	0.000000	0.000000
10	2239929.063223	inf	0.000000	0.000000
11	2239929.063223	inf	0.000000	0.000000
12	2239929.063223	inf	0.000000	0.000000
13	2239929.063223	inf	0.000000	0.000000
14	2239929.063223	inf	0.000000	0.000000
15	2239929.063223	inf	0.000000	0.000000
16	2239929.063223	inf	0.000000	0.000000
17	2239929.063223	inf	0.000000	0.000000
18	2239929.063223	inf	0.000000	0.000000
19	2239929.063223	inf	0.000000	0.000000
20	2239929.063223	inf	0.000000	0.000000
21	2239929.063223	inf	0.000000	0.000000
22	2239929.063223	inf	0.000000	0.000000
23	2239929.063223	inf	0.000000	0.000000
24	2239929.063223	inf	0.000000	0.000000
25	2239929.063223	inf	0.000000	0.000000
26	2239929.063223	inf	0.000000	0.000000
27	2239929.063223	inf	0.000000	0.000000
28	2239929.063223	inf	0.000000	0.000000
29	2239929.063223	inf	0.000000	0.000000
30	2239929.063223	inf	0.000000	0.000000
31	2239929.063223	inf	0.000000	0.000000
32	2239929.063223	inf	0.000000	0.000000
33	2239929.063223	inf	0.000000	0.000000
34	2239929.063223	inf	0.000000	0.000000
35	2239929.063223	inf	0.000000	0.000000
36	2239929.063223	inf	0.000000	0.000000
37	2239929.063223	inf	0.000000	0.000000
38	2239929.063223	inf	0.000000	0.000000
39	2239929.063223	inf	0.000000	0.000000
40	2239929.063223	inf	0.000000	0.000000
41	2239929.063223	inf	0.000000	0.000000
42	2239929.063223	inf	0.000000	0.000000
43	2239929.063223	inf	0.000000	0.000000
44	2239929.063223	inf	0.000000	0.000000
45	2239929.063223	inf	0.000000	0.000000
46	2239929.063223	inf	0.000000	0.000000
47	2239929.063223	inf	0.000000	0.000000
48	2239929.063223	inf	0.000000	0.000000
49	2239929.063223	inf	0.000000	0.000000
50	2239929.063223	inf	0.000000	0.000000
51	2239929.063223	inf	0.000000	0.000000
52	2239929.063223	inf	0.000000	0.000000
53	2239929.063223	inf	0.000000	0.000000
54	2239929.063223	inf	0.000000	0.000000
55	2239929.063223	inf	0.000000	0.000000
56	2239929.063223	inf	0.000000	0.000000
57	2239929.063223	inf	0.000000	0.000000
58	2239929.063223	inf	0.000000	0.000000
59	2239929.063223	inf	0.000000	0.000000
60	2239929.063223	inf	0.000000	0.000000
61	2239929.063223	inf	0.000000	0.000000
62	2239929.063223	inf	0.000000	0.000000
63	2239929.063223	inf	0.000000	0.000000
64	2239929.063223	inf	0.000000	0.000000
65	2239929.063223	inf	0.000000	0.000000
66	2239929.063223	inf	0.000000	0.000000
67	2239929.063223	inf	0.000000	0.000000
