# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.838259	24.938278	-0.013532	-0.027979	2.617794	0.000000	-0.000307	0.000000	-0.000089	0.000077	0.000000	0.000000
0.601250	11.854079	24.958777	-0.038984	-0.040068	2.617678	0.000000	-0.000307	0.000000	-0.000065	0.000077	0.000000	0.000000
0.898573	11.884729	24.986151	-0.034947	-0.113270	2.617564	0.000000	-0.006728	0.000000	-0.000042	0.000078	0.000000	0.000000
1.339533	12.067984	24.808927	-0.382184	0.513646	2.630854	0.000000	0.067213	0.000000	-0.000008	0.000077	0.000000	0.000000
1.780493	12.563987	24.087045	-0.746881	1.117193	2.676887	0.000000	0.141918	0.000000	0.000026	0.000077	0.000000	0.000000
2.221453	13.395399	22.853350	-1.145702	1.669908	2.756186	0.000000	0.218239	0.000000	0.000060	0.000078	0.000000	0.000000
2.662413	14.600208	21.163973	-1.596868	2.146644	2.869654	0.000000	0.297045	0.000000	0.000095	0.000080	0.000000	0.000000
3.108373	16.254278	19.070999	-2.125296	2.526842	3.020443	0.000000	0.379723	0.000000	0.000131	0.000083	0.000000	0.000000
3.657433	18.375258	16.720404	-1.714718	1.779545	3.203634	0.000000	0.286739	0.000000	0.000176	0.000078	0.000000	0.000000
4.206493	19.975790	15.116430	-1.183018	1.159001	3.334302	0.000000	0.188670	0.000000	0.000217	0.000072	0.000000	0.000000
4.755553	20.942818	14.144829	-0.567753	0.621010	3.410128	0.000000	0.087256	0.000000	0.000254	0.000064	0.000000	0.000000
5.304613	21.208033	13.736397	0.087617	0.127253	3.429769	0.000000	-0.015705	0.000000	0.000287	0.000055	0.000000	0.000000
5.603185	21.192931	13.645697	0.018244	0.140733	3.427732	0.000000	-0.006765	0.000000	0.000304	0.000056	0.000000	0.000000
5.936519	21.186012	13.560179	0.002511	0.115821	3.425458	0.000000	-0.006765	0.000000	0.000323	0.000056	0.000000	0.000000
6.269852	21.189583	13.491269	-0.013223	0.090910	3.423184	0.000000	-0.006765	0.000000	0.000341	0.000056	0.000000	0.000000
6.604435	21.203716	13.438801	-0.029016	0.065905	3.420902	0.000000	-0.006765	0.000000	0.000360	0.000056	0.000000	0.000000
6.901758	21.225143	13.406218	-0.098332	0.078613	3.418874	0.000000	0.002140	0.000000	0.000377	0.000057	0.000000	0.000000
7.450818	20.971305	13.580356	0.557936	-0.397640	3.391846	0.000000	-0.100349	0.000000	0.000405	0.000045	0.000000	0.000000
7.999878	20.014274	14.289870	1.174794	-0.902215	3.308959	0.000000	-0.201057	0.000000	0.000426	0.000031	0.000000	0.000000
8.548938	18.421649	15.585299	1.708670	-1.471055	3.171683	0.000000	-0.298198	0.000000	0.000439	0.000017	0.000000	0.000000
9.097998	16.305927	17.558915	2.121852	-2.144675	2.982453	0.000000	-0.390049	0.000000	0.000444	0.000003	0.000000	0.000000
9.543958	14.655173	19.317573	1.592869	-1.782172	2.826793	0.000000	-0.308418	0.000000	0.000448	0.000014	0.000000	0.000000
9.984918	13.454212	20.699513	1.140970	-1.339818	2.708013	0.000000	-0.230785	0.000000	0.000457	0.000026	0.000000	0.000000
10.425878	12.627387	21.662855	0.741200	-0.836502	2.622850	0.000000	-0.155780	0.000000	0.000471	0.000038	0.000000	0.000000
10.866838	12.136922	22.163767	0.375293	-0.295126	2.570334	0.000000	-0.082550	0.000000	0.000490	0.000050	0.000000	0.000000
11.309048	11.960271	22.178944	0.055615	0.205475	2.549845	0.000000	-0.016484	0.000000	0.000516	0.000062	0.000000	0.000000
11.606371	11.934614	22.060913	0.030679	0.191503	2.544926	0.000000	-0.016484	0.000000	0.000534	0.000062	0.000000	0.000000
12.086371	11.924485	21.887897	-0.009578	0.168948	2.536984	0.000000	-0.016484	0.000000	0.000564	0.000062	0.000000	0.000000
