# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.003863	0.003717	0.000000	0.000000
2	-0.003863	0.003717	0.000000	0.000000
3	-0.003863	0.003717	0.000000	0.000000
4	-0.003863	0.003716	0.000000	0.000000
5	-0.003862	0.003716	0.000000	0.000000
6	-0.003862	0.003716	0.000000	0.000000
7	-0.003862	0.003716	0.000000	0.000000
8	-0.003862	0.003716	0.000000	0.000000
9	-0.003861	0.003715	0.000000	0.000000
10	-0.003861	0.003715	0.000000	0.000000
11	-0.003861	0.003715	0.000000	0.000000
12	-0.003860	0.003714	0.000000	0.000000
13	-0.003860	0.003714	0.000000	0.000000
14	-0.003860	0.003714	0.000000	0.000000
15	-0.003859	0.003713	0.000000	0.000000
16	-0.003859	0.003713	0.000000	0.000000
17	-0.003858	0.003712	0.000000	0.000000
18	-0.003858	0.003712	0.000000	0.000000
19	-0.003857	0.003711	0.000000	0.000000
20	-0.003857	0.003711	0.000000	0.000000
21	-0.003856	0.003710	0.000000	0.000000
22	-0.003855	0.003709	0.000000	0.000000
23	-0.003854	0.003708	0.000000	0.000000
24	-0.003853	0.003707	0.000000	0.000000
25	-0.003852	0.003706	0.000000	0.000000
26	-0.003851	0.003705	0.000000	0.000000
27	-0.003850	0.003704	0.000000	0.000000
28	-0.003849	0.003703	0.000000	0.000000
29	-0.003848	0.003702	0.000000	0.000000
30	-0.003847	0.003701	0.000000	0.000000
31	-0.003845	0.003700	0.000000	0.000000
32	-0.003844	0.003699	0.000000	0.000000
33	-0.003843	0.003697	0.000000	0.000000
34	-0.003842	0.003696	0.000000	0.000000
35	-0.003840	0.003695	0.000000	0.000000
36	-0.003839	0.003694	0.000000	0.000000
37	-0.003838	0.003692	0.000000	0.000000
38	-0.003836	0.003691	0.000000	0.000000
39	-0.003835	0.003690	0.000000	0.000000
40	-0.003834	0.003689	0.000000	0.000000
41	-0.003832	0.003687	0.000000	0.000000
42	-0.003831	0.003686	0.000000	0.000000
43	-0.003829	0.003685	0.000000	0.000000
44	-0.003828	0.003683	0.000000	0.000000
45	-0.003826	0.003682	0.000000	0.000000
46	-0.003825	0.003680	0.000000	0.000000
47	-0.003823	0.003679	0.000000	0.000000
48	-0.003822	0.003677	0.000000	0.000000
49	-0.003820	0.003676	0.000000	0.000000
50	-0.003819	0.003674	0.000000	0.000000
51	-0.003817	0.003673	0.000000	0.000000
52	-0.003815	0.003671	0.000000	0.000000
53	-0.003813	0.003669	0.000000	0.000000
54	-0.003811	0.003667	0.000000	0.000000
55	-0.003809	0.003665	0.000000	0.000000
56	-0.003807	0.003663	0.000000	0.000000
57	-0.003804	0.003660	0.000000	0.000000
58	-0.003802	0.003658	0.000000	0.000000
59	-0.003800	0.003656	0.000000	0.000000
60	-0.003798	0.003654	0.000000	0.000000
61	-0.003796	0.003652	0.000000	0.000000
62	-0.003793	0.003650	0.000000	0.000000
63	-0.003791	0.003648	0.000000	0.000000
64	-0.003789	0.003645	0.000000	0.000000
65	-0.003786	0.003643	0.000000	0.000000
66	-0.003784	0.003641	0.000000	0.000000
67	-0.003782	0.003638	0.000000	0.000000
68	-0.003779	0.003636	0.000000	0.000000
69	-0.003777	0.003634	0.000000	0.000000
70	-0.003774	0.003632	0.000000	0.000000
71	-0.003772	0.003629	0.000000	0.000000
72	-0.003769	0.003627	0.000000	0.000000
73	-0.003767	0.003624	0.000000	0.000000
74	-0.003764	0.003621	0.000000	0.000000
75	-0.003761	0.003619	0.000000	0.000000
76	-0.003758	0.003616	0.000000	0.000000
77	-0.003755	0.003613	0.000000	0.000000
78	-0.003752	0.003611	0.000000	0.000000
79	-0.003750	0.003608	0.000000	0.000000
80	-0.003747	0.003605	0.000000	0.000000
81	-0.003744	0.003602	0.000000	0.000000
82	-0.003741	0.003600	0.000000	0.000000
83	-0.003738	0.003597	0.000000	0.000000
