# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.791667	25.181446	-0.006779	-0.025881	2.616568	0.000000	0.000582	0.000000	-0.000002	0.000007	0.000000	0.000000
0.601250	11.803447	25.200645	-0.032327	-0.037852	2.616741	0.000000	0.000582	0.000000	0.000000	0.000007	0.000000	0.000000
0.898573	11.830168	25.226667	-0.028533	-0.111527	2.616912	0.000000	-0.005836	0.000000	0.000002	0.000007	0.000000	0.000000
1.339533	12.007158	25.045103	-0.374361	0.521707	2.630623	0.000000	0.068094	0.000000	0.000005	0.000007	0.000000	0.000000
1.780493	12.495501	24.313451	-0.737293	1.131203	2.677073	0.000000	0.142799	0.000000	0.000008	0.000007	0.000000	0.000000
2.221453	13.317510	23.065001	-1.133910	1.689231	2.756792	0.000000	0.219130	0.000000	0.000011	0.000007	0.000000	0.000000
2.662413	14.510739	21.356557	-1.582332	2.170400	2.870688	0.000000	0.297957	0.000000	0.000015	0.000008	0.000000	0.000000
3.108373	16.150347	19.240804	-2.107320	2.553956	3.021922	0.000000	0.380667	0.000000	0.000018	0.000008	0.000000	0.000000
3.657433	18.252876	16.864245	-1.699331	1.800007	3.205655	0.000000	0.287627	0.000000	0.000022	0.000007	0.000000	0.000000
4.206493	19.838418	15.240771	-1.171309	1.174269	3.336826	0.000000	0.189485	0.000000	0.000026	0.000007	0.000000	0.000000
4.755553	20.794978	14.254747	-0.560552	0.632171	3.413109	0.000000	0.087983	0.000000	0.000030	0.000006	0.000000	0.000000
5.304613	21.054990	13.835940	0.089801	0.135102	3.433149	0.000000	-0.015081	0.000000	0.000032	0.000005	0.000000	0.000000
5.603185	21.038446	13.740315	0.020605	0.149030	3.431323	0.000000	-0.006113	0.000000	0.000034	0.000005	0.000000	0.000000
5.936519	21.029993	13.649229	0.004754	0.124231	3.429283	0.000000	-0.006113	0.000000	0.000035	0.000005	0.000000	0.000000
6.269852	21.032107	13.574674	-0.011096	0.099433	3.427244	0.000000	-0.006113	0.000000	0.000037	0.000005	0.000000	0.000000
6.604435	21.044856	13.516465	-0.027007	0.074542	3.425197	0.000000	-0.006113	0.000000	0.000039	0.000005	0.000000	0.000000
6.901758	21.065119	13.478716	-0.096166	0.087629	3.423379	0.000000	0.002829	0.000000	0.000040	0.000005	0.000000	0.000000
7.450818	20.811849	13.644036	0.554717	-0.390502	3.396713	0.000000	-0.099810	0.000000	0.000042	0.000003	0.000000	0.000000
7.999878	19.861215	14.346503	1.166418	-0.896448	3.314096	0.000000	-0.200679	0.000000	0.000044	0.000002	0.000000	0.000000
8.548938	18.280367	15.636152	1.695729	-1.466246	3.176994	0.000000	-0.297988	0.000000	0.000045	0.000001	0.000000	0.000000
9.097998	16.180966	17.604843	2.105261	-2.140482	2.987839	0.000000	-0.390012	0.000000	0.000044	-0.000001	0.000000	0.000000
9.543958	14.543331	19.358890	1.579951	-1.776080	2.832230	0.000000	-0.308243	0.000000	0.000044	0.000000	0.000000	0.000000
9.984918	13.352385	20.734716	1.131097	-1.332114	2.713567	0.000000	-0.230469	0.000000	0.000045	0.000002	0.000000	0.000000
10.425878	12.533095	21.690674	0.733920	-0.827538	2.628588	0.000000	-0.155320	0.000000	0.000046	0.000003	0.000000	0.000000
10.866838	12.048030	22.183270	0.370274	-0.285309	2.576326	0.000000	-0.081939	0.000000	0.000047	0.000004	0.000000	0.000000
11.309048	11.874897	22.189551	0.052546	0.215450	2.556164	0.000000	-0.015758	0.000000	0.000049	0.000005	0.000000	0.000000
11.606371	11.851116	22.065604	0.027439	0.201428	2.551478	0.000000	-0.015758	0.000000	0.000051	0.000005	0.000000	0.000000
12.086371	11.844231	21.883098	-0.013094	0.178792	2.543911	0.000000	-0.015758	0.000000	0.000053	0.000005	0.000000	0.000000
12.566371	11.876257	21.722322	-0.053627	0.156157	2.536345	0.000000	-0.015758	0.000000	0.000056	0.000005	0.000000	0.000000
13.046371	11.947195	21.583277	-0.094160	0.133521	2.528779	0.000000	-0.015758	0.000000	0.000058	0.000005	0.000000	0.000000
13.526371	12.057044	21.465962	-0.134693	0.110885	2.521212	0.000000	-0.015758	0.000000	0.000060	0.000005	0.000000	0.000000
14.007621	12.206244	21.370158	-0.175332	0.088190	2.513626	0.000000	-0.015758	0.000000	0.000063	0.000005	0.000000	0.000000
14.304943	12.317969	21.321885	-0.170250	0.021914	2.508940	0.000000	-0.021907	0.000000	0.000064	0.000005	0.000000	0.000000
14.745903	12.626256	21.069262	-0.531527	0.548799	2.514936	0.000000	0.049140	0.000000	0.000067	0.000007	0.000000	0.000000
15.186863	13.262624	20.361245	-0.917088	1.050714	2.552353	0.000000	0.120746	0.000000	0.000070	0.000008	0.000000	0.000000
15.627823	14.256149	19.230050	-1.344548	1.504822	2.621618	0.000000	0.193727	0.000000	0.000074	0.000010	0.000000	0.000000
16.068783	15.652221	17.727145	-1.833438	1.890462	2.723520	0.000000	0.268915	0.000000	0.000079	0.000012	0.000000	0.000000
16.514743	17.538265	15.899409	-2.410847	2.190821	2.860920	0.000000	0.347629	0.000000	0.000085	0.000014	0.000000	0.000000
17.063803	19.961104	13.858887	-1.975724	1.547502	3.027992	0.000000	0.260075	0.000000	0.000092	0.000011	0.000000	0.000000
17.612863	21.826199	12.460497	-1.401045	1.014409	3.145654	0.000000	0.167909	0.000000	0.000097	0.000008	0.000000	0.000000
18.161923	23.001808	11.604633	-0.727402	0.553570	3.211820	0.000000	0.072764	0.000000	0.000101	0.000005	0.000000	0.000000
18.710983	23.404890	11.230335	-0.002380	0.132160	3.225316	0.000000	-0.023672	0.000000	0.000103	0.000002	0.000000	0.000000
19.009556	23.446620	11.142055	-0.076288	0.134198	3.220761	0.000000	-0.015252	0.000000	0.000104	0.000002	0.000000	0.000000
19.342889	23.502245	11.062741	-0.090587	0.103742	3.215677	0.000000	-0.015252	0.000000	0.000104	0.000002	0.000000	0.000000
19.676223	23.567403	11.003732	-0.104887	0.073287	3.210592	0.000000	-0.015252	0.000000	0.000105	0.000002	0.000000	0.000000
20.010806	23.642685	10.964783	-0.236379	0.097044	3.205508	0.000000	0.000630	0.000000	0.000106	0.000003	0.000000	0.000000
20.308129	23.787194	10.915214	-0.311753	0.098167	3.205695	0.000000	0.008999	0.000000	0.000107	0.000003	0.000000	0.000000
20.857189	23.719264	11.028557	0.434743	-0.305814	3.184339	0.000000	-0.086674	0.000000	0.000107	-0.000001	0.000000	0.000000
21.406249	22.843668	11.594806	1.150531	-0.731578	3.110800	0.000000	-0.180808	0.000000	0.000106	-0.000004	0.000000	0.000000
21.955309	21.222255	12.654295	1.785050	-1.209450	2.986382	0.000000	-0.271736	0.000000	0.000103	-0.000007	0.000000	0.000000
22.504369	18.969555	14.282488	2.293482	-1.773470	2.813293	0.000000	-0.357844	0.000000	0.000098	-0.000011	0.000000	0.000000
22.950329	17.193928	15.744744	1.702145	-1.491588	2.671052	0.000000	-0.280429	0.000000	0.000094	-0.000008	0.000000	0.000000
23.391289	15.921988	16.910793	1.193268	-1.142687	2.563763	0.000000	-0.206663	0.000000	0.000091	-0.000006	0.000000	0.000000
23.832249	15.073194	17.744949	0.738909	-0.741794	2.488452	0.000000	-0.135251	0.000000	0.000088	-0.000003	0.000000	0.000000
24.273209	14.608764	18.209259	0.318308	-0.307150	2.444260	0.000000	-0.065379	0.000000	0.000087	-0.000001	0.000000	0.000000
24.715418	14.507613	18.282355	-0.052290	0.096602	2.430681	0.000000	-0.002208	0.000000	0.000087	0.000001	0.000000	0.000000
25.012741	14.544817	18.229792	-0.072840	0.080187	2.430024	0.000000	-0.002208	0.000000	0.000088	0.000001	0.000000	0.000000
25.346075	14.601057	18.182468	-0.095879	0.061785	2.429288	0.000000	-0.002208	0.000000	0.000088	0.000001	0.000000	0.000000
25.679408	14.672656	18.147412	-0.118919	0.043382	2.428552	0.000000	-0.002208	0.000000	0.000088	0.000001	0.000000	0.000000
26.013991	14.759671	18.124930	-0.022304	-0.122128	2.427788	0.000000	-0.021904	0.000000	0.000088	0.000000	0.000000	0.000000
26.311314	14.778926	18.202503	-0.006247	-0.183377	2.421275	0.000000	-0.027837	0.000000	0.000088	-0.000000	0.000000	0.000000
26.752274	14.966487	18.166947	-0.420713	0.263702	2.424154	0.000000	0.040910	0.000000	0.000089	0.000002	0.000000	0.000000
27.193234	15.526637	17.740908	-0.854400	0.698783	2.457421	0.000000	0.110122	0.000000	0.000090	0.000004	0.000000	0.000000
27.634194	16.484968	16.943769	-1.327123	1.102070	2.521453	0.000000	0.180589	0.000000	0.000093	0.000007	0.000000	0.000000
28.075154	17.885264	15.811800	-1.860478	1.455214	2.616981	0.000000	0.253112	0.000000	0.000096	0.000009	0.000000	0.000000
28.521114	19.815813	14.379442	-2.483822	1.743055	2.746702	0.000000	0.328963	0.000000	0.000101	0.000012	0.000000	0.000000
29.070174	22.269646	12.783920	-1.958863	1.180009	2.904571	0.000000	0.245259	0.000000	0.000107	0.000008	0.000000	0.000000
