# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.037751	0.028793	0.000000	0.000000
2	-0.037750	0.028791	0.000000	0.000000
3	-0.037749	0.028789	0.000000	0.000000
4	-0.037748	0.028787	0.000000	0.000000
5	-0.037747	0.028785	0.000000	0.000000
6	-0.037746	0.028783	0.000000	0.000000
7	-0.037745	0.028781	0.000000	0.000000
8	-0.037745	0.028779	0.000000	0.000000
9	-0.037744	0.028777	0.000000	0.000000
10	-0.037743	0.028775	0.000000	0.000000
11	-0.037738	0.028772	0.000000	0.000000
12	-0.037731	0.028768	0.000000	0.000000
13	-0.037725	0.028764	0.000000	0.000000
14	-0.037719	0.028761	0.000000	0.000000
15	-0.037713	0.028757	0.000000	0.000000
16	-0.037706	0.028753	0.000000	0.000000
17	-0.037700	0.028750	0.000000	0.000000
18	-0.037694	0.028746	0.000000	0.000000
19	-0.037688	0.028742	0.000000	0.000000
20	-0.037682	0.028739	0.000000	0.000000
21	-0.037673	0.028732	0.000000	0.000000
22	-0.037664	0.028725	0.000000	0.000000
23	-0.037655	0.028717	0.000000	0.000000
24	-0.037646	0.028710	0.000000	0.000000
25	-0.037637	0.028703	0.000000	0.000000
26	-0.037628	0.028695	0.000000	0.000000
27	-0.037619	0.028688	0.000000	0.000000
28	-0.037610	0.028681	0.000000	0.000000
29	-0.037601	0.028673	0.000000	0.000000
30	-0.037592	0.028666	0.000000	0.000000
31	-0.037579	0.028657	0.000000	0.000000
32	-0.037565	0.028648	0.000000	0.000000
33	-0.037551	0.028639	0.000000	0.000000
34	-0.037536	0.028630	0.000000	0.000000
35	-0.037522	0.028621	0.000000	0.000000
36	-0.037508	0.028612	0.000000	0.000000
37	-0.037494	0.028603	0.000000	0.000000
38	-0.037480	0.028594	0.000000	0.000000
39	-0.037466	0.028585	0.000000	0.000000
40	-0.037452	0.028576	0.000000	0.000000
41	-0.037436	0.028563	0.000000	0.000000
42	-0.037420	0.028550	0.000000	0.000000
43	-0.037405	0.028537	0.000000	0.000000
44	-0.037389	0.028523	0.000000	0.000000
45	-0.037373	0.028510	0.000000	0.000000
46	-0.037357	0.028497	0.000000	0.000000
47	-0.037341	0.028483	0.000000	0.000000
48	-0.037325	0.028470	0.000000	0.000000
49	-0.037309	0.028457	0.000000	0.000000
50	-0.037293	0.028443	0.000000	0.000000
51	-0.037272	0.028430	0.000000	0.000000
52	-0.037249	0.028416	0.000000	0.000000
53	-0.037226	0.028402	0.000000	0.000000
54	-0.037203	0.028389	0.000000	0.000000
55	-0.037181	0.028375	0.000000	0.000000
56	-0.037158	0.028362	0.000000	0.000000
57	-0.037135	0.028348	0.000000	0.000000
58	-0.037112	0.028334	0.000000	0.000000
59	-0.037089	0.028321	0.000000	0.000000
60	-0.037067	0.028307	0.000000	0.000000
61	-0.037043	0.028289	0.000000	0.000000
62	-0.037019	0.028271	0.000000	0.000000
63	-0.036996	0.028252	0.000000	0.000000
64	-0.036972	0.028233	0.000000	0.000000
65	-0.036948	0.028214	0.000000	0.000000
66	-0.036924	0.028196	0.000000	0.000000
67	-0.036901	0.028177	0.000000	0.000000
68	-0.036877	0.028158	0.000000	0.000000
69	-0.036853	0.028139	0.000000	0.000000
70	-0.036830	0.028121	0.000000	0.000000
71	-0.036802	0.028100	0.000000	0.000000
72	-0.036774	0.028080	0.000000	0.000000
73	-0.036745	0.028059	0.000000	0.000000
74	-0.036717	0.028039	0.000000	0.000000
75	-0.036689	0.028018	0.000000	0.000000
76	-0.036661	0.027998	0.000000	0.000000
77	-0.036632	0.027978	0.000000	0.000000
78	-0.036604	0.027957	0.000000	0.000000
79	-0.036576	0.027937	0.000000	0.000000
80	-0.036548	0.027916	0.000000	0.000000
81	-0.036516	0.027893	0.000000	0.000000
82	-0.036484	0.027870	0.000000	0.000000
83	-0.036452	0.027847	0.000000	0.000000
84	-0.036419	0.027824	0.000000	0.000000
85	-0.036387	0.027801	0.000000	0.000000
86	-0.036355	0.027777	0.000000	0.000000
87	-0.036323	0.027754	0.000000	0.000000
88	-0.036291	0.027731	0.000000	0.000000
89	-0.036258	0.027708	0.000000	0.000000
90	-0.036226	0.027685	0.000000	0.000000
91	-0.036192	0.027659	0.000000	0.000000
92	-0.036157	0.027632	0.000000	0.000000
