# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.771931	25.298590	-0.004716	-0.024223	2.616885	0.000000	0.000458	0.000000	-0.000015	0.000010	0.000000	0.000000
0.601250	11.782482	25.316774	-0.030308	-0.036138	2.617020	0.000000	0.000458	0.000000	-0.000012	0.000010	0.000000	0.000000
0.898573	11.808014	25.341759	-0.026606	-0.110045	2.617153	0.000000	-0.005961	0.000000	-0.000009	0.000010	0.000000	0.000000
1.339533	11.983068	25.157551	-0.371881	0.526198	2.630809	0.000000	0.067974	0.000000	-0.000005	0.000010	0.000000	0.000000
1.780493	12.468939	24.420682	-0.734146	1.138500	2.677206	0.000000	0.142683	0.000000	-0.000000	0.000010	0.000000	0.000000
2.221453	13.287827	23.164678	-1.129952	1.699000	2.756874	0.000000	0.219017	0.000000	0.000004	0.000010	0.000000	0.000000
2.662413	14.477143	21.446688	-1.577383	2.182198	2.870720	0.000000	0.297845	0.000000	0.000008	0.000010	0.000000	0.000000
3.108373	16.111807	19.319700	-2.101143	2.567248	3.021902	0.000000	0.380556	0.000000	0.000013	0.000010	0.000000	0.000000
3.657433	18.208071	16.930360	-1.694165	1.810129	3.205574	0.000000	0.287517	0.000000	0.000018	0.000010	0.000000	0.000000
4.206493	19.788668	15.297175	-1.167520	1.181940	3.336684	0.000000	0.189379	0.000000	0.000023	0.000009	0.000000	0.000000
4.755553	20.741952	14.303815	-0.558407	0.637939	3.412908	0.000000	0.087882	0.000000	0.000028	0.000008	0.000000	0.000000
5.304613	21.000588	13.879526	0.090149	0.139377	3.432894	0.000000	-0.015174	0.000000	0.000032	0.000007	0.000000	0.000000
5.603185	20.983763	13.781270	0.021058	0.153455	3.431039	0.000000	-0.006207	0.000000	0.000034	0.000007	0.000000	0.000000
5.936519	20.975022	13.687219	0.005165	0.128698	3.428968	0.000000	-0.006207	0.000000	0.000036	0.000007	0.000000	0.000000
6.269852	20.976876	13.609672	-0.010727	0.103941	3.426897	0.000000	-0.006207	0.000000	0.000039	0.000007	0.000000	0.000000
6.604435	20.989391	13.548433	-0.026679	0.079091	3.424817	0.000000	-0.006207	0.000000	0.000041	0.000007	0.000000	0.000000
6.901758	21.009470	13.507967	-0.095728	0.092291	3.422970	0.000000	0.002734	0.000000	0.000043	0.000007	0.000000	0.000000
7.450818	20.756745	13.668597	0.553294	-0.386573	3.396254	0.000000	-0.099892	0.000000	0.000047	0.000006	0.000000	0.000000
7.999878	19.808657	14.367022	1.163234	-0.892972	3.313596	0.000000	-0.200745	0.000000	0.000050	0.000004	0.000000	0.000000
8.548938	18.232175	15.652988	1.691009	-1.462975	3.176462	0.000000	-0.298037	0.000000	0.000052	0.000003	0.000000	0.000000
9.097998	16.138653	17.618092	2.099339	-2.137183	2.987283	0.000000	-0.390044	0.000000	0.000053	0.000001	0.000000	0.000000
9.543958	14.505718	19.368861	1.575296	-1.772055	2.831656	0.000000	-0.308289	0.000000	0.000053	0.000002	0.000000	0.000000
9.984918	13.318403	20.740886	1.127486	-1.327553	2.712969	0.000000	-0.230530	0.000000	0.000055	0.000004	0.000000	0.000000
10.425878	12.501899	21.692661	0.731189	-0.822648	2.627959	0.000000	-0.155396	0.000000	0.000057	0.000005	0.000000	0.000000
10.866838	12.018903	22.180881	0.368297	-0.280313	2.575658	0.000000	-0.082033	0.000000	0.000059	0.000007	0.000000	0.000000
11.309048	11.847219	22.182782	0.051162	0.220346	2.555450	0.000000	-0.015867	0.000000	0.000063	0.000008	0.000000	0.000000
11.606371	11.824277	22.055933	0.026000	0.206292	2.550730	0.000000	-0.015867	0.000000	0.000065	0.000008	0.000000	0.000000
12.086371	11.818816	21.868784	-0.014622	0.183603	2.543110	0.000000	-0.015867	0.000000	0.000069	0.000008	0.000000	0.000000
12.566371	11.852351	21.703416	-0.055244	0.160914	2.535490	0.000000	-0.015867	0.000000	0.000073	0.000008	0.000000	0.000000
13.046371	11.924884	21.559829	-0.095866	0.138225	2.527870	0.000000	-0.015867	0.000000	0.000077	0.000008	0.000000	0.000000
13.526371	12.036414	21.438025	-0.136488	0.115536	2.520250	0.000000	-0.015867	0.000000	0.000080	0.000008	0.000000	0.000000
14.007621	12.187383	21.337769	-0.177215	0.092788	2.512610	0.000000	-0.015867	0.000000	0.000084	0.000008	0.000000	0.000000
14.304943	12.300245	21.286772	-0.172238	0.026577	2.507890	0.000000	-0.022012	0.000000	0.000087	0.000008	0.000000	0.000000
14.745903	12.610131	21.030484	-0.533178	0.552415	2.513832	0.000000	0.049007	0.000000	0.000091	0.000010	0.000000	0.000000
15.186863	13.247837	20.319802	-0.918478	1.053119	2.551184	0.000000	0.120584	0.000000	0.000096	0.000013	0.000000	0.000000
15.627823	14.242497	19.187062	-1.345740	1.505906	2.620369	0.000000	0.193534	0.000000	0.000102	0.000015	0.000000	0.000000
16.068783	15.639555	17.683803	-1.834486	1.890176	2.722176	0.000000	0.268688	0.000000	0.000109	0.000018	0.000000	0.000000
16.514743	17.526490	15.856935	-2.411801	2.189169	2.859464	0.000000	0.347366	0.000000	0.000118	0.000021	0.000000	0.000000
17.063803	19.950732	13.817650	-1.977305	1.546888	3.026402	0.000000	0.259862	0.000000	0.000128	0.000017	0.000000	0.000000
17.612863	21.817860	12.419387	-1.403140	1.014788	3.143960	0.000000	0.167748	0.000000	0.000136	0.000012	0.000000	0.000000
18.161923	22.995987	11.562553	-0.729864	0.554969	3.210051	0.000000	0.072660	0.000000	0.000142	0.000008	0.000000	0.000000
18.710983	23.401895	11.186115	-0.005033	0.134680	3.223504	0.000000	-0.023718	0.000000	0.000145	0.000003	0.000000	0.000000
19.009556	23.445194	11.096444	-0.078918	0.136463	3.218933	0.000000	-0.015306	0.000000	0.000146	0.000004	0.000000	0.000000
19.342889	23.502575	11.015668	-0.093224	0.105864	3.213830	0.000000	-0.015306	0.000000	0.000147	0.000004	0.000000	0.000000
19.676223	23.569493	10.955292	-0.107530	0.075265	3.208727	0.000000	-0.015306	0.000000	0.000148	0.000004	0.000000	0.000000
20.010806	23.646545	10.915068	-0.239048	0.098631	3.203624	0.000000	0.000567	0.000000	0.000150	0.000004	0.000000	0.000000
20.308129	23.792646	10.864596	-0.314427	0.099478	3.203791	0.000000	0.008927	0.000000	0.000151	0.000005	0.000000	0.000000
20.857189	23.727539	10.975717	0.432306	-0.303057	3.182412	0.000000	-0.086683	0.000000	0.000152	-0.000000	0.000000	0.000000
21.406249	22.854408	11.538061	1.148503	-0.727180	3.108885	0.000000	-0.180756	0.000000	0.000151	-0.000005	0.000000	0.000000
21.955309	21.234928	12.591682	1.783575	-1.203097	2.984514	0.000000	-0.271623	0.000000	0.000147	-0.000010	0.000000	0.000000
22.504369	18.983493	14.211627	2.292663	-1.764709	2.811506	0.000000	-0.357672	0.000000	0.000140	-0.000014	0.000000	0.000000
22.950329	17.208674	15.666802	1.701139	-1.484537	2.669333	0.000000	-0.280301	0.000000	0.000135	-0.000011	0.000000	0.000000
23.391289	15.937719	16.827504	1.192030	-1.137658	2.562091	0.000000	-0.206579	0.000000	0.000130	-0.000007	0.000000	0.000000
23.832249	15.090139	17.658206	0.737382	-0.739017	2.486808	0.000000	-0.135210	0.000000	0.000128	-0.000004	0.000000	0.000000
24.273209	14.627208	18.121110	0.316422	-0.306751	2.442625	0.000000	-0.065380	0.000000	0.000127	-0.000001	0.000000	0.000000
24.715418	14.527914	18.194919	-0.054583	0.094835	2.429036	0.000000	-0.002245	0.000000	0.000127	0.000002	0.000000	0.000000
25.012741	14.566475	18.143428	-0.075110	0.078347	2.428368	0.000000	-0.002245	0.000000	0.000128	0.000002	0.000000	0.000000
25.346075	14.624219	18.097358	-0.098123	0.059862	2.427619	0.000000	-0.002245	0.000000	0.000129	0.000002	0.000000	0.000000
25.679408	14.697305	18.063611	-0.121135	0.041378	2.426870	0.000000	-0.002245	0.000000	0.000129	0.000002	0.000000	0.000000
26.013991	14.785794	18.042496	-0.024282	-0.123546	2.426093	0.000000	-0.021927	0.000000	0.000130	0.000001	0.000000	0.000000
26.311314	14.806215	18.120937	-0.008138	-0.184660	2.419574	0.000000	-0.027853	0.000000	0.000130	0.000001	0.000000	0.000000
26.752274	14.995746	18.087486	-0.423303	0.260230	2.422435	0.000000	0.040849	0.000000	0.000131	0.000004	0.000000	0.000000
27.193234	15.558531	17.665420	-0.857808	0.693279	2.455664	0.000000	0.110017	0.000000	0.000134	0.000008	0.000000	0.000000
27.634194	16.520285	16.873942	-1.331503	1.094785	2.519639	0.000000	0.180437	0.000000	0.000138	0.000011	0.000000	0.000000
28.075154	17.924947	15.749063	-1.866032	1.446478	2.615088	0.000000	0.252913	0.000000	0.000144	0.000015	0.000000	0.000000
28.521114	19.861073	14.325001	-2.490816	1.733266	2.744706	0.000000	0.328714	0.000000	0.000151	0.000019	0.000000	0.000000
29.070174	22.321977	12.738989	-1.964664	1.172374	2.902453	0.000000	0.245077	0.000000	0.000160	0.000013	0.000000	0.000000
29.619234	24.125011	11.719709	-1.299738	0.694988	3.013018	0.000000	0.157093	0.000000	0.000166	0.000008	0.000000	0.000000
30.168294	25.142816	11.194562	-0.543003	0.267104	3.074439	0.000000	0.066322	0.000000	0.000169	0.000003	0.000000	0.000000
30.717354	25.303499	11.126141	0.252086	-0.141754	3.085628	0.000000	-0.025625	0.000000	0.000169	-0.000003	0.000000	0.000000
31.015927	25.196035	11.201567	0.173858	-0.139900	3.080382	0.000000	-0.017574	0.000000	0.000168	-0.000002	0.000000	0.000000
31.349260	25.084673	11.304948	0.160229	-0.170240	3.074525	0.000000	-0.017574	0.000000	0.000167	-0.000002	0.000000	0.000000
31.682593	24.982397	11.428555	0.146599	-0.200581	3.068667	0.000000	-0.017574	0.000000	0.000167	-0.000002	0.000000	0.000000
32.017177	24.888874	11.572966	0.132919	-0.231035	3.062788	0.000000	-0.017574	0.000000	0.000166	-0.000002	0.000000	0.000000
32.314499	24.813449	11.718396	0.056019	-0.227522	3.057564	0.000000	-0.009596	0.000000	0.000165	-0.000002	0.000000	0.000000
32.863559	24.326597	12.207087	0.825430	-0.667780	3.027345	0.000000	-0.100325	0.000000	0.000163	-0.000007	0.000000	0.000000
33.412619	23.022007	13.202360	1.536536	-1.155602	2.947728	0.000000	-0.189275	0.000000	0.000157	-0.000012	0.000000	0.000000
33.961679	20.991831	14.775108	2.139108	-1.725736	2.820127	0.000000	-0.274868	0.000000	0.000149	-0.000017	0.000000	0.000000
34.510739	18.379471	17.037353	2.590582	-2.418791	2.646803	0.000000	-0.355585	0.000000	0.000139	-0.000022	0.000000	0.000000
34.956699	16.347845	19.061112	1.981348	-2.100245	2.504615	0.000000	-0.282488	0.000000	0.000129	-0.000018	0.000000	0.000000
35.397659	14.832702	20.737462	1.467683	-1.686872	2.395472	0.000000	-0.213036	0.000000	0.000122	-0.000015	0.000000	0.000000
35.838619	13.739403	22.013881	1.021073	-1.196747	2.316390	0.000000	-0.146012	0.000000	0.000116	-0.000012	0.000000	0.000000
36.279579	13.017998	22.832296	0.621113	-0.652170	2.266468	0.000000	-0.080650	0.000000	0.000111	-0.000009	0.000000	0.000000
36.721789	12.634827	23.155803	0.280378	-0.134700	2.245110	0.000000	-0.021706	0.000000	0.000108	-0.000007	0.000000	0.000000
37.019112	12.475648	23.239789	0.254997	-0.147773	2.238658	0.000000	-0.021706	0.000000	0.000106	-0.000007	0.000000	0.000000
37.352445	12.315136	23.343189	0.226541	-0.162429	2.231425	0.000000	-0.021706	0.000000	0.000104	-0.000007	0.000000	0.000000
37.685779	12.173594	23.456361	0.198084	-0.177086	2.224192	0.000000	-0.021706	0.000000	0.000101	-0.000007	0.000000	0.000000
38.020362	12.050599	23.579783	0.169522	-0.191797	2.216932	0.000000	-0.021706	0.000000	0.000099	-0.000007	0.000000	0.000000
38.317684	11.957340	23.697721	0.173436	-0.262933	2.210480	0.000000	-0.027122	0.000000	0.000097	-0.000007	0.000000	0.000000
38.758644	11.956610	23.667026	-0.171774	0.332276	2.212477	0.000000	0.036179	0.000000	0.000095	-0.000004	0.000000	0.000000
39.199604	12.262624	23.116091	-0.524832	0.912367	2.242451	0.000000	0.099892	0.000000	0.000093	-0.000002	0.000000	0.000000
39.640564	12.889364	22.069983	-0.901868	1.450945	2.300743	0.000000	0.164743	0.000000	0.000093	0.000000	0.000000	0.000000
40.081524	13.865465	20.576299	-1.320108	1.923507	2.388016	0.000000	0.231470	0.000000	0.000094	0.000003	0.000000	0.000000
40.527484	15.253142	18.680381	-1.802499	2.309859	2.506739	0.000000	0.301240	0.000000	0.000095	0.000005	0.000000	0.000000
41.076544	17.023260	16.549344	-1.402317	1.594292	2.651562	0.000000	0.225522	0.000000	0.000097	0.000002	0.000000	0.000000
41.625604	18.296602	15.137492	-0.903082	0.992282	2.753652	0.000000	0.145805	0.000000	0.000098	-0.000001	0.000000	0.000000
42.174664	18.983224	14.344261	-0.340057	0.460951	2.811199	0.000000	0.063501	0.000000	0.000096	-0.000004	0.000000	0.000000
42.723724	19.034628	14.113151	0.246988	-0.037548	2.823182	0.000000	-0.019929	0.000000	0.000093	-0.000007	0.000000	0.000000
43.022297	18.921681	14.119886	0.180996	-0.021856	2.819434	0.000000	-0.012559	0.000000	0.000091	-0.000007	0.000000	0.000000
43.502297	18.760500	14.157193	0.154797	-0.055867	2.813409	0.000000	-0.012559	0.000000	0.000088	-0.000007	0.000000	0.000000
43.982297	18.624470	14.227150	0.128599	-0.089877	2.807385	0.000000	-0.012559	0.000000	0.000084	-0.000007	0.000000	0.000000
44.462297	18.513591	14.329757	0.102400	-0.123888	2.801360	0.000000	-0.012559	0.000000	0.000081	-0.000007	0.000000	0.000000
44.942297	18.427862	14.465015	0.076201	-0.157899	2.795335	0.000000	-0.012559	0.000000	0.000077	-0.000007	0.000000	0.000000
45.423547	18.367387	14.633222	-0.041068	-0.119497	2.789312	0.000000	0.001261	0.000000	0.000074	-0.000007	0.000000	0.000000
45.720870	18.396629	14.710408	-0.105321	-0.101694	2.789689	0.000000	0.008546	0.000000	0.000072	-0.000006	0.000000	0.000000
46.269930	18.202524	15.106177	0.456745	-0.623373	2.771779	0.000000	-0.073703	0.000000	0.000068	-0.000009	0.000000	0.000000
46.818990	17.405346	16.095688	0.986549	-1.189453	2.709003	0.000000	-0.154645	0.000000	0.000063	-0.000011	0.000000	0.000000
47.368050	16.061404	17.749419	1.446668	-1.840255	2.602475	0.000000	-0.232844	0.000000	0.000056	-0.000013	0.000000	0.000000
47.917110	14.265628	20.185163	1.804601	-2.622135	2.454085	0.000000	-0.306913	0.000000	0.000049	-0.000014	0.000000	0.000000
48.363070	12.868571	22.350198	1.339193	-2.212227	2.332527	0.000000	-0.238546	0.000000	0.000042	-0.000013	0.000000	0.000000
48.804030	11.867884	24.083234	0.938748	-1.702959	2.241816	0.000000	-0.173294	0.000000	0.000037	-0.000012	0.000000	0.000000
49.244990	11.200182	25.331123	0.581193	-1.116208	2.179417	0.000000	-0.110015	0.000000	0.000032	-0.000011	0.000000	0.000000
49.685950	10.834959	26.037087	0.250190	-0.478670	2.144618	0.000000	-0.047990	0.000000	0.000027	-0.000011	0.000000	0.000000
50.128160	10.755637	26.168715	-0.043128	0.116441	2.137033	0.000000	0.008250	0.000000	0.000022	-0.000010	0.000000	0.000000
50.425482	10.789517	26.102897	-0.070822	0.104925	2.139489	0.000000	0.008250	0.000000	0.000019	-0.000010	0.000000	0.000000
50.758816	10.847082	26.037251	-0.101872	0.092015	2.142243	0.000000	0.008250	0.000000	0.000016	-0.000010	0.000000	0.000000
51.092149	10.925346	25.980211	-0.132921	0.079104	2.144996	0.000000	0.008250	0.000000	0.000012	-0.000010	0.000000	0.000000
51.426732	11.024496	25.932139	-0.074648	-0.144229	2.147738	0.000000	-0.009174	0.000000	0.000009	-0.000010	0.000000	0.000000
51.724055	11.076948	26.021384	-0.074606	-0.219745	2.145013	0.000000	-0.014434	0.000000	0.000006	-0.000010	0.000000	0.000000
52.165015	11.287481	25.925524	-0.404649	0.436306	2.152245	0.000000	0.047247	0.000000	0.000002	-0.000010	0.000000	0.000000
52.605975	11.796106	25.257657	-0.753180	1.072506	2.186769	0.000000	0.109466	0.000000	-0.000003	-0.000010	0.000000	0.000000
53.046935	12.626062	24.048170	-1.136121	1.659907	2.248977	0.000000	0.172931	0.000000	-0.000007	-0.000010	0.000000	0.000000
53.487895	13.815266	22.352093	-1.570968	2.171784	2.339578	0.000000	0.238367	0.000000	-0.000012	-0.000010	0.000000	0.000000
53.933855	15.438457	20.221255	-2.081790	2.586196	2.461107	0.000000	0.306916	0.000000	-0.000017	-0.000011	0.000000	0.000000
54.482915	17.528427	17.823070	-1.702133	1.807389	2.609449	0.000000	0.232620	0.000000	-0.000022	-0.000010	0.000000	0.000000
55.031975	19.132598	16.204820	-1.202246	1.157318	2.715804	0.000000	0.154198	0.000000	-0.000028	-0.000009	0.000000	0.000000
55.581035	20.137660	15.251242	-0.617439	0.589681	2.778285	0.000000	0.073041	0.000000	-0.000033	-0.000008	0.000000	0.000000
56.130095	20.472622	14.894413	0.010981	0.064045	2.795783	0.000000	-0.009412	0.000000	-0.000037	-0.000007	0.000000	0.000000
56.428668	20.502379	14.838971	-0.057137	0.082717	2.795157	0.000000	-0.002104	0.000000	-0.000039	-0.000007	0.000000	0.000000
56.762001	20.545907	14.791365	-0.073448	0.060100	2.794458	0.000000	-0.002104	0.000000	-0.000042	-0.000007	0.000000	0.000000
