# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.037775	0.028747	0.000000	0.000000
2	-0.037774	0.028745	0.000000	0.000000
3	-0.037773	0.028742	0.000000	0.000000
4	-0.037772	0.028740	0.000000	0.000000
5	-0.037771	0.028738	0.000000	0.000000
6	-0.037770	0.028736	0.000000	0.000000
7	-0.037769	0.028734	0.000000	0.000000
8	-0.037768	0.028732	0.000000	0.000000
9	-0.037768	0.028730	0.000000	0.000000
10	-0.037767	0.028728	0.000000	0.000000
11	-0.037762	0.028725	0.000000	0.000000
12	-0.037755	0.028721	0.000000	0.000000
13	-0.037749	0.028718	0.000000	0.000000
14	-0.037743	0.028714	0.000000	0.000000
15	-0.037737	0.028710	0.000000	0.000000
16	-0.037730	0.028707	0.000000	0.000000
17	-0.037724	0.028703	0.000000	0.000000
18	-0.037718	0.028699	0.000000	0.000000
19	-0.037712	0.028696	0.000000	0.000000
20	-0.037705	0.028692	0.000000	0.000000
21	-0.037697	0.028686	0.000000	0.000000
22	-0.037688	0.028678	0.000000	0.000000
23	-0.037679	0.028671	0.000000	0.000000
24	-0.037670	0.028664	0.000000	0.000000
25	-0.037661	0.028656	0.000000	0.000000
26	-0.037652	0.028649	0.000000	0.000000
27	-0.037643	0.028642	0.000000	0.000000
28	-0.037633	0.028635	0.000000	0.000000
29	-0.037624	0.028627	0.000000	0.000000
30	-0.037615	0.028620	0.000000	0.000000
31	-0.037602	0.028611	0.000000	0.000000
32	-0.037588	0.028602	0.000000	0.000000
33	-0.037574	0.028593	0.000000	0.000000
34	-0.037560	0.028584	0.000000	0.000000
35	-0.037546	0.028575	0.000000	0.000000
36	-0.037532	0.028566	0.000000	0.000000
37	-0.037518	0.028557	0.000000	0.000000
38	-0.037503	0.028548	0.000000	0.000000
39	-0.037489	0.028539	0.000000	0.000000
40	-0.037475	0.028530	0.000000	0.000000
41	-0.037460	0.028518	0.000000	0.000000
42	-0.037444	0.028504	0.000000	0.000000
43	-0.037428	0.028491	0.000000	0.000000
44	-0.037412	0.028478	0.000000	0.000000
45	-0.037396	0.028465	0.000000	0.000000
46	-0.037380	0.028451	0.000000	0.000000
47	-0.037364	0.028438	0.000000	0.000000
48	-0.037348	0.028425	0.000000	0.000000
49	-0.037332	0.028411	0.000000	0.000000
50	-0.037316	0.028398	0.000000	0.000000
51	-0.037295	0.028385	0.000000	0.000000
52	-0.037272	0.028371	0.000000	0.000000
53	-0.037249	0.028358	0.000000	0.000000
54	-0.037226	0.028344	0.000000	0.000000
55	-0.037203	0.028331	0.000000	0.000000
56	-0.037181	0.028317	0.000000	0.000000
57	-0.037158	0.028304	0.000000	0.000000
58	-0.037135	0.028290	0.000000	0.000000
59	-0.037112	0.028276	0.000000	0.000000
60	-0.037089	0.028263	0.000000	0.000000
61	-0.037066	0.028245	0.000000	0.000000
62	-0.037042	0.028227	0.000000	0.000000
63	-0.037018	0.028208	0.000000	0.000000
64	-0.036994	0.028189	0.000000	0.000000
65	-0.036970	0.028171	0.000000	0.000000
66	-0.036947	0.028152	0.000000	0.000000
67	-0.036923	0.028133	0.000000	0.000000
68	-0.036899	0.028115	0.000000	0.000000
69	-0.036875	0.028096	0.000000	0.000000
70	-0.036852	0.028077	0.000000	0.000000
71	-0.036824	0.028057	0.000000	0.000000
72	-0.036796	0.028037	0.000000	0.000000
73	-0.036767	0.028016	0.000000	0.000000
74	-0.036739	0.027996	0.000000	0.000000
75	-0.036711	0.027976	0.000000	0.000000
76	-0.036682	0.027955	0.000000	0.000000
77	-0.036654	0.027935	0.000000	0.000000
78	-0.036626	0.027914	0.000000	0.000000
79	-0.036597	0.027894	0.000000	0.000000
80	-0.036569	0.027874	0.000000	0.000000
81	-0.036537	0.027851	0.000000	0.000000
82	-0.036505	0.027828	0.000000	0.000000
83	-0.036473	0.027805	0.000000	0.000000
84	-0.036441	0.027782	0.000000	0.000000
85	-0.036408	0.027759	0.000000	0.000000
86	-0.036376	0.027736	0.000000	0.000000
87	-0.036344	0.027713	0.000000	0.000000
88	-0.036312	0.027689	0.000000	0.000000
89	-0.036279	0.027666	0.000000	0.000000
90	-0.036247	0.027643	0.000000	0.000000
91	-0.036213	0.027618	0.000000	0.000000
92	-0.036178	0.027591	0.000000	0.000000
93	-0.036143	0.027565	0.000000	0.000000
94	-0.036108	0.027539	0.000000	0.000000
95	-0.036073	0.027512	0.000000	0.000000
96	-0.036038	0.027486	0.000000	0.000000
97	-0.036003	0.027460	0.000000	0.000000
98	-0.035968	0.027433	0.000000	0.000000
99	-0.035933	0.027407	0.000000	0.000000
100	-0.035898	0.027381	0.000000	0.000000
101	-0.035861	0.027352	0.000000	0.000000
102	-0.035823	0.027322	0.000000	0.000000
103	-0.035785	0.027292	0.000000	0.000000
104	-0.035748	0.027262	0.000000	0.000000
105	-0.035710	0.027232	0.000000	0.000000
106	-0.035672	0.027202	0.000000	0.000000
107	-0.035634	0.027172	0.000000	0.000000
108	-0.035597	0.027142	0.000000	0.000000
109	-0.035559	0.027112	0.000000	0.000000
110	-0.035521	0.027082	0.000000	0.000000
111	-0.035479	0.027051	0.000000	0.000000
112	-0.035435	0.027021	0.000000	0.000000
113	-0.035392	0.026990	0.000000	0.000000
