# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.821344	24.989073	-0.011819	-0.027591	2.617970	0.000000	0.000061	0.000000	0.000004	0.000001	0.000000	0.000000
0.601250	11.836143	25.009330	-0.037306	-0.039655	2.617989	0.000000	0.000061	0.000000	0.000005	0.000001	0.000000	0.000000
0.898573	11.865806	25.036451	-0.033364	-0.112956	2.618006	0.000000	-0.006359	0.000000	0.000005	0.000001	0.000000	0.000000
1.339533	12.047450	24.858363	-0.380127	0.515283	2.631495	0.000000	0.067596	0.000000	0.000005	0.000001	0.000000	0.000000
1.780493	12.541385	24.134480	-0.744258	1.120077	2.677733	0.000000	0.142320	0.000000	0.000006	0.000001	0.000000	0.000000
2.221453	13.370178	22.897737	-1.142392	1.673909	2.757247	0.000000	0.218666	0.000000	0.000006	0.000001	0.000000	0.000000
2.662413	14.571694	21.204406	-1.592718	2.151579	2.870943	0.000000	0.297502	0.000000	0.000007	0.000001	0.000000	0.000000
3.108373	16.221596	19.106697	-2.120105	2.532486	3.021977	0.000000	0.380216	0.000000	0.000007	0.000001	0.000000	0.000000
3.657433	18.337293	16.750705	-1.710391	1.783798	3.205467	0.000000	0.287178	0.000000	0.000008	0.000001	0.000000	0.000000
4.206493	19.933667	15.142685	-1.179864	1.162166	3.336397	0.000000	0.189047	0.000000	0.000009	0.000001	0.000000	0.000000
4.755553	20.897959	14.168102	-0.565997	0.623314	3.412446	0.000000	0.087562	0.000000	0.000009	0.000001	0.000000	0.000000
5.304613	21.162054	13.757538	0.087849	0.128858	3.432264	0.000000	-0.015476	0.000000	0.000009	0.000000	0.000000	0.000000
5.603185	21.146827	13.665784	0.018437	0.142509	3.430321	0.000000	-0.006509	0.000000	0.000010	0.000000	0.000000	0.000000
5.936519	21.139792	13.579074	0.002669	0.117622	3.428151	0.000000	-0.006509	0.000000	0.000010	0.000000	0.000000	0.000000
6.269852	21.143269	13.508955	-0.013099	0.092735	3.425981	0.000000	-0.006509	0.000000	0.000010	0.000000	0.000000	0.000000
6.604435	21.157330	13.455258	-0.028927	0.067754	3.423803	0.000000	-0.006509	0.000000	0.000010	0.000000	0.000000	0.000000
6.901758	21.178713	13.421569	-0.098323	0.080621	3.421868	0.000000	0.002431	0.000000	0.000010	0.000000	0.000000	0.000000
7.450818	20.925705	13.593728	0.556397	-0.396024	3.394999	0.000000	-0.100156	0.000000	0.000010	0.000000	0.000000	0.000000
7.999878	19.971163	14.301625	1.171815	-0.900876	3.312210	0.000000	-0.200966	0.000000	0.000010	-0.000000	0.000000	0.000000
8.548938	18.382510	15.595683	1.704461	-1.469896	3.174969	0.000000	-0.298212	0.000000	0.000010	-0.000001	0.000000	0.000000
9.097998	16.271962	17.568073	2.116714	-2.143613	2.985710	0.000000	-0.390169	0.000000	0.000010	-0.000001	0.000000	0.000000
9.543958	14.625306	19.325598	1.588798	-1.780722	2.830018	0.000000	-0.308456	0.000000	0.000009	-0.000001	0.000000	0.000000
9.984918	13.427546	20.706101	1.137762	-1.338041	2.711250	0.000000	-0.230740	0.000000	0.000009	-0.000000	0.000000	0.000000
10.425878	12.603224	21.667756	0.738708	-0.834481	2.626139	0.000000	-0.155652	0.000000	0.000009	-0.000000	0.000000	0.000000
10.866838	12.114682	22.166809	0.373403	-0.292952	2.573717	0.000000	-0.082338	0.000000	0.000009	0.000000	0.000000	0.000000
11.309048	11.939461	22.180033	0.054329	0.207458	2.553366	0.000000	-0.016222	0.000000	0.000009	0.000000	0.000000	0.000000
11.606371	11.914580	22.060826	0.029353	0.193476	2.548543	0.000000	-0.016222	0.000000	0.000009	0.000000	0.000000	0.000000
12.086371	11.905755	21.885924	-0.010968	0.170903	2.540756	0.000000	-0.016222	0.000000	0.000009	0.000000	0.000000	0.000000
12.566371	11.935639	21.732692	-0.051290	0.148331	2.532970	0.000000	-0.016222	0.000000	0.000009	0.000000	0.000000	0.000000
13.046371	12.004231	21.601129	-0.091611	0.125758	2.525183	0.000000	-0.016222	0.000000	0.000009	0.000000	0.000000	0.000000
13.526371	12.111533	21.491235	-0.131933	0.103186	2.517397	0.000000	-0.016222	0.000000	0.000010	0.000000	0.000000	0.000000
14.007621	12.257973	21.402810	-0.172359	0.080555	2.509590	0.000000	-0.016222	0.000000	0.000010	0.000000	0.000000	0.000000
14.304943	12.367892	21.359066	-0.167008	0.014199	2.504767	0.000000	-0.022363	0.000000	0.000010	0.000000	0.000000	0.000000
14.745903	12.673784	21.112755	-0.529320	0.542256	2.510540	0.000000	0.048573	0.000000	0.000010	0.000001	0.000000	0.000000
15.186863	13.308622	20.409881	-0.915814	1.045640	2.547685	0.000000	0.120062	0.000000	0.000010	0.000001	0.000000	0.000000
15.627823	14.301409	19.282426	-1.344149	1.501449	2.616625	0.000000	0.192919	0.000000	0.000011	0.000001	0.000000	0.000000
16.068783	15.697504	17.781688	-1.833895	1.888943	2.718145	0.000000	0.267973	0.000000	0.000011	0.000001	0.000000	0.000000
16.514743	17.584343	15.954444	-2.412184	2.191239	2.855097	0.000000	0.346541	0.000000	0.000012	0.000002	0.000000	0.000000
17.063803	20.007619	13.914093	-1.975189	1.546775	3.021632	0.000000	0.259185	0.000000	0.000013	0.000001	0.000000	0.000000
17.612863	21.871105	12.517151	-1.398676	1.012485	3.138868	0.000000	0.167231	0.000000	0.000013	0.000001	0.000000	0.000000
18.161923	23.043173	11.664116	-0.723368	0.550313	3.204726	0.000000	0.072312	0.000000	0.000013	0.000000	0.000000	0.000000
18.710983	23.441033	11.294229	0.003036	0.127337	3.218039	0.000000	-0.023890	0.000000	0.000013	-0.000000	0.000000	0.000000
19.009556	23.479606	11.208658	-0.070985	0.129758	3.213416	0.000000	-0.015483	0.000000	0.000013	-0.000000	0.000000	0.000000
19.342889	23.531685	11.132232	-0.085253	0.099518	3.208255	0.000000	-0.015483	0.000000	0.000013	-0.000000	0.000000	0.000000
19.676223	23.593276	11.075967	-0.099521	0.069278	3.203094	0.000000	-0.015483	0.000000	0.000013	-0.000000	0.000000	0.000000
20.010806	23.664957	11.039627	-0.231092	0.093622	3.197933	0.000000	0.000361	0.000000	0.000013	0.000000	0.000000	0.000000
20.308129	23.806310	10.992033	-0.306521	0.095171	3.198041	0.000000	0.008716	0.000000	0.000013	0.000000	0.000000	0.000000
20.857189	23.732314	11.109859	0.440493	-0.311034	3.176599	0.000000	-0.086706	0.000000	0.000013	-0.000000	0.000000	0.000000
21.406249	22.850306	11.683222	1.156393	-0.739393	3.103110	0.000000	-0.180591	0.000000	0.000013	-0.000001	0.000000	0.000000
21.955309	21.222589	12.752961	1.790611	-1.220417	2.978877	0.000000	-0.271272	0.000000	0.000013	-0.000001	0.000000	0.000000
22.504369	18.964134	14.395272	2.298349	-1.788369	2.806105	0.000000	-0.357142	0.000000	0.000012	-0.000002	0.000000	0.000000
22.950329	17.184326	15.869692	1.706698	-1.503854	2.664133	0.000000	-0.279910	0.000000	0.000011	-0.000001	0.000000	0.000000
23.391289	15.908434	17.045190	1.197718	-1.151771	2.557031	0.000000	-0.206320	0.000000	0.000011	-0.000001	0.000000	0.000000
23.832249	15.055687	17.885796	0.743459	-0.747283	2.481831	0.000000	-0.135081	0.000000	0.000010	-0.000001	0.000000	0.000000
24.273209	14.587126	18.353263	0.323166	-0.308795	2.437676	0.000000	-0.065379	0.000000	0.000010	-0.000000	0.000000	0.000000
24.715418	14.481460	18.426076	-0.046940	0.098493	2.424060	0.000000	-0.002367	0.000000	0.000010	-0.000000	0.000000	0.000000
25.012741	14.515490	18.372351	-0.067516	0.082200	2.423356	0.000000	-0.002367	0.000000	0.000010	-0.000000	0.000000	0.000000
25.346075	14.568191	18.323640	-0.090585	0.063935	2.422567	0.000000	-0.002367	0.000000	0.000010	-0.000000	0.000000	0.000000
25.679408	14.636270	18.287105	-0.113654	0.045669	2.421778	0.000000	-0.002367	0.000000	0.000009	-0.000000	0.000000	0.000000
26.013991	14.719772	18.263050	-0.017393	-0.120824	2.420962	0.000000	-0.022007	0.000000	0.000009	-0.000000	0.000000	0.000000
26.311314	14.736122	18.339809	-0.001463	-0.182313	2.414419	0.000000	-0.027928	0.000000	0.000009	-0.000000	0.000000	0.000000
26.752274	14.918981	18.301673	-0.414793	0.268466	2.417219	0.000000	0.040641	0.000000	0.000009	-0.000000	0.000000	0.000000
27.193234	15.473310	17.869876	-0.847072	0.707029	2.450329	0.000000	0.109672	0.000000	0.000009	0.000000	0.000000	0.000000
27.634194	16.424435	17.064063	-1.318053	1.113423	2.514125	0.000000	0.179953	0.000000	0.000009	0.000000	0.000000	0.000000
28.075154	17.815812	15.920897	-1.849251	1.469158	2.609333	0.000000	0.252283	0.000000	0.000009	0.000001	0.000000	0.000000
28.521114	19.735181	14.475175	-2.469899	1.758959	2.738643	0.000000	0.327930	0.000000	0.000010	0.000001	0.000000	0.000000
29.070174	22.174720	12.864292	-1.946917	1.192252	2.896023	0.000000	0.244496	0.000000	0.000010	0.000001	0.000000	0.000000
29.619234	23.960585	11.825716	-1.286415	0.710465	3.006332	0.000000	0.156724	0.000000	0.000010	0.000000	0.000000	0.000000
30.168294	24.966632	11.285473	-0.535046	0.279284	3.067614	0.000000	0.066173	0.000000	0.000010	-0.000000	0.000000	0.000000
30.717354	25.121798	11.205083	0.254115	-0.132005	3.078782	0.000000	-0.025552	0.000000	0.000010	-0.000000	0.000000	0.000000
31.015927	25.012921	11.274467	0.176175	-0.129658	3.073555	0.000000	-0.017508	0.000000	0.000010	-0.000000	0.000000	0.000000
