# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.037750	0.028794	0.000000	0.000000
2	-0.037749	0.028792	0.000000	0.000000
3	-0.037748	0.028791	0.000000	0.000000
4	-0.037746	0.028790	0.000000	0.000000
5	-0.037745	0.028788	0.000000	0.000000
6	-0.037743	0.028787	0.000000	0.000000
7	-0.037742	0.028785	0.000000	0.000000
8	-0.037741	0.028784	0.000000	0.000000
9	-0.037739	0.028782	0.000000	0.000000
10	-0.037738	0.028781	0.000000	0.000000
11	-0.037732	0.028778	0.000000	0.000000
12	-0.037726	0.028775	0.000000	0.000000
13	-0.037719	0.028772	0.000000	0.000000
14	-0.037712	0.028769	0.000000	0.000000
15	-0.037706	0.028766	0.000000	0.000000
16	-0.037699	0.028763	0.000000	0.000000
17	-0.037692	0.028760	0.000000	0.000000
18	-0.037685	0.028757	0.000000	0.000000
19	-0.037679	0.028754	0.000000	0.000000
20	-0.037672	0.028751	0.000000	0.000000
21	-0.037663	0.028745	0.000000	0.000000
22	-0.037654	0.028738	0.000000	0.000000
23	-0.037644	0.028731	0.000000	0.000000
24	-0.037635	0.028724	0.000000	0.000000
25	-0.037625	0.028718	0.000000	0.000000
26	-0.037616	0.028711	0.000000	0.000000
27	-0.037606	0.028704	0.000000	0.000000
28	-0.037597	0.028698	0.000000	0.000000
29	-0.037587	0.028691	0.000000	0.000000
30	-0.037578	0.028684	0.000000	0.000000
31	-0.037564	0.028676	0.000000	0.000000
32	-0.037550	0.028667	0.000000	0.000000
33	-0.037535	0.028659	0.000000	0.000000
34	-0.037520	0.028650	0.000000	0.000000
35	-0.037506	0.028642	0.000000	0.000000
36	-0.037491	0.028633	0.000000	0.000000
37	-0.037477	0.028625	0.000000	0.000000
38	-0.037462	0.028617	0.000000	0.000000
39	-0.037448	0.028608	0.000000	0.000000
40	-0.037433	0.028600	0.000000	0.000000
41	-0.037417	0.028588	0.000000	0.000000
42	-0.037401	0.028575	0.000000	0.000000
43	-0.037385	0.028562	0.000000	0.000000
44	-0.037368	0.028549	0.000000	0.000000
45	-0.037352	0.028536	0.000000	0.000000
46	-0.037336	0.028524	0.000000	0.000000
47	-0.037319	0.028511	0.000000	0.000000
48	-0.037303	0.028498	0.000000	0.000000
49	-0.037287	0.028485	0.000000	0.000000
50	-0.037270	0.028473	0.000000	0.000000
51	-0.037248	0.028460	0.000000	0.000000
52	-0.037225	0.028446	0.000000	0.000000
53	-0.037202	0.028433	0.000000	0.000000
54	-0.037179	0.028420	0.000000	0.000000
55	-0.037155	0.028407	0.000000	0.000000
56	-0.037132	0.028394	0.000000	0.000000
57	-0.037109	0.028381	0.000000	0.000000
58	-0.037086	0.028368	0.000000	0.000000
59	-0.037063	0.028355	0.000000	0.000000
60	-0.037039	0.028342	0.000000	0.000000
