# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.812780	25.482794	-0.001944	-0.022843	2.609676	0.000000	0.003021	0.000000	0.000002	0.000022	0.000000	0.000000
0.601250	11.821634	25.500120	-0.027447	-0.034671	2.610580	0.000000	0.003021	0.000000	0.000009	0.000022	0.000000	0.000000
0.898573	11.845439	25.524208	-0.023572	-0.108921	2.611471	0.000000	-0.003382	0.000000	0.000015	0.000021	0.000000	0.000000
1.339533	12.018171	25.336883	-0.369626	0.532115	2.626229	0.000000	0.070420	0.000000	0.000025	0.000022	0.000000	0.000000
1.780493	12.502361	24.592774	-0.732568	1.148939	2.673675	0.000000	0.145025	0.000000	0.000034	0.000023	0.000000	0.000000
2.221453	13.320130	23.325736	-1.128978	1.713488	2.754352	0.000000	0.221281	0.000000	0.000045	0.000024	0.000000	0.000000
2.662413	14.508840	21.593418	-1.576969	2.200074	2.869177	0.000000	0.300057	0.000000	0.000056	0.000025	0.000000	0.000000
3.108373	16.143384	19.449262	-2.101274	2.587708	3.021332	0.000000	0.382740	0.000000	0.000067	0.000027	0.000000	0.000000
3.657433	18.239051	17.040345	-1.692943	1.825531	3.206196	0.000000	0.289700	0.000000	0.000081	0.000024	0.000000	0.000000
4.206493	19.817603	15.392504	-1.165031	1.193383	3.338489	0.000000	0.191523	0.000000	0.000094	0.000021	0.000000	0.000000
4.755553	20.767538	14.388368	-0.554825	0.646237	3.415865	0.000000	0.089948	0.000000	0.000105	0.000018	0.000000	0.000000
5.304613	21.021757	13.956414	0.094570	0.145121	3.436951	0.000000	-0.013221	0.000000	0.000114	0.000015	0.000000	0.000000
5.603185	21.002299	13.854601	0.025471	0.159451	3.435678	0.000000	-0.004250	0.000000	0.000118	0.000015	0.000000	0.000000
5.936519	20.990613	13.756524	0.009590	0.134780	3.434256	0.000000	-0.004250	0.000000	0.000123	0.000015	0.000000	0.000000
6.269852	20.989513	13.674895	-0.006292	0.110109	3.432835	0.000000	-0.004250	0.000000	0.000128	0.000015	0.000000	0.000000
6.604435	20.999057	13.609499	-0.022233	0.085345	3.431408	0.000000	-0.004250	0.000000	0.000133	0.000015	0.000000	0.000000
6.901758	21.016490	13.565292	-0.091248	0.098745	3.430140	0.000000	0.004702	0.000000	0.000138	0.000015	0.000000	0.000000
7.450818	20.758763	13.719705	0.557872	-0.381635	3.404435	0.000000	-0.098172	0.000000	0.000145	0.000011	0.000000	0.000000
7.999878	19.805741	14.413376	1.167587	-0.889199	3.322643	0.000000	-0.199305	0.000000	0.000149	0.000006	0.000000	0.000000
8.548938	18.224742	15.695715	1.694829	-1.460098	3.186217	0.000000	-0.296902	0.000000	0.000151	0.000001	0.000000	0.000000
