# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.037774	0.028747	0.000000	0.000000
2	-0.037773	0.028746	0.000000	0.000000
3	-0.037771	0.028744	0.000000	0.000000
4	-0.037770	0.028743	0.000000	0.000000
5	-0.037769	0.028741	0.000000	0.000000
6	-0.037767	0.028740	0.000000	0.000000
7	-0.037766	0.028738	0.000000	0.000000
8	-0.037765	0.028737	0.000000	0.000000
9	-0.037763	0.028736	0.000000	0.000000
10	-0.037762	0.028734	0.000000	0.000000
11	-0.037756	0.028731	0.000000	0.000000
12	-0.037749	0.028728	0.000000	0.000000
13	-0.037743	0.028725	0.000000	0.000000
14	-0.037736	0.028722	0.000000	0.000000
15	-0.037729	0.028719	0.000000	0.000000
16	-0.037723	0.028716	0.000000	0.000000
17	-0.037716	0.028713	0.000000	0.000000
18	-0.037709	0.028710	0.000000	0.000000
19	-0.037702	0.028707	0.000000	0.000000
20	-0.037696	0.028704	0.000000	0.000000
21	-0.037687	0.028698	0.000000	0.000000
22	-0.037677	0.028692	0.000000	0.000000
23	-0.037668	0.028685	0.000000	0.000000
24	-0.037658	0.028678	0.000000	0.000000
25	-0.037649	0.028671	0.000000	0.000000
26	-0.037639	0.028665	0.000000	0.000000
27	-0.037630	0.028658	0.000000	0.000000
28	-0.037620	0.028651	0.000000	0.000000
29	-0.037611	0.028645	0.000000	0.000000
30	-0.037601	0.028638	0.000000	0.000000
31	-0.037587	0.028630	0.000000	0.000000
32	-0.037573	0.028622	0.000000	0.000000
33	-0.037558	0.028613	0.000000	0.000000
34	-0.037544	0.028605	0.000000	0.000000
35	-0.037529	0.028596	0.000000	0.000000
36	-0.037515	0.028588	0.000000	0.000000
37	-0.037500	0.028579	0.000000	0.000000
38	-0.037485	0.028571	0.000000	0.000000
39	-0.037471	0.028563	0.000000	0.000000
40	-0.037456	0.028554	0.000000	0.000000
41	-0.037440	0.028542	0.000000	0.000000
42	-0.037424	0.028530	0.000000	0.000000
43	-0.037407	0.028517	0.000000	0.000000
44	-0.037391	0.028504	0.000000	0.000000
45	-0.037375	0.028491	0.000000	0.000000
46	-0.037358	0.028479	0.000000	0.000000
47	-0.037342	0.028466	0.000000	0.000000
48	-0.037326	0.028453	0.000000	0.000000
49	-0.037309	0.028440	0.000000	0.000000
50	-0.037293	0.028428	0.000000	0.000000
51	-0.037271	0.028415	0.000000	0.000000
52	-0.037248	0.028402	0.000000	0.000000
53	-0.037224	0.028389	0.000000	0.000000
54	-0.037201	0.028376	0.000000	0.000000
55	-0.037178	0.028363	0.000000	0.000000
56	-0.037155	0.028350	0.000000	0.000000
57	-0.037131	0.028337	0.000000	0.000000
58	-0.037108	0.028324	0.000000	0.000000
59	-0.037085	0.028311	0.000000	0.000000
60	-0.037061	0.028298	0.000000	0.000000
61	-0.037037	0.028281	0.000000	0.000000
62	-0.037013	0.028263	0.000000	0.000000
63	-0.036989	0.028244	0.000000	0.000000
64	-0.036965	0.028226	0.000000	0.000000
65	-0.036941	0.028208	0.000000	0.000000
66	-0.036917	0.028190	0.000000	0.000000
67	-0.036892	0.028172	0.000000	0.000000
68	-0.036868	0.028154	0.000000	0.000000
69	-0.036844	0.028135	0.000000	0.000000
70	-0.036820	0.028117	0.000000	0.000000
71	-0.036792	0.028098	0.000000	0.000000
72	-0.036763	0.028078	0.000000	0.000000
73	-0.036734	0.028058	0.000000	0.000000
74	-0.036706	0.028038	0.000000	0.000000
75	-0.036677	0.028018	0.000000	0.000000
76	-0.036648	0.027998	0.000000	0.000000
77	-0.036620	0.027978	0.000000	0.000000
78	-0.036591	0.027958	0.000000	0.000000
79	-0.036562	0.027939	0.000000	0.000000
80	-0.036533	0.027919	0.000000	0.000000
81	-0.036501	0.027897	0.000000	0.000000
82	-0.036469	0.027874	0.000000	0.000000
83	-0.036436	0.027851	0.000000	0.000000
84	-0.036404	0.027829	0.000000	0.000000
85	-0.036371	0.027806	0.000000	0.000000
86	-0.036338	0.027783	0.000000	0.000000
87	-0.036306	0.027761	0.000000	0.000000
88	-0.036273	0.027738	0.000000	0.000000
89	-0.036241	0.027715	0.000000	0.000000
90	-0.036208	0.027693	0.000000	0.000000
91	-0.036173	0.027668	0.000000	0.000000
92	-0.036138	0.027642	0.000000	0.000000
93	-0.036103	0.027616	0.000000	0.000000
94	-0.036067	0.027590	0.000000	0.000000
95	-0.036032	0.027564	0.000000	0.000000
96	-0.035997	0.027538	0.000000	0.000000
97	-0.035961	0.027512	0.000000	0.000000
98	-0.035926	0.027486	0.000000	0.000000
99	-0.035891	0.027461	0.000000	0.000000
100	-0.035856	0.027435	0.000000	0.000000
101	-0.035818	0.027406	0.000000	0.000000
102	-0.035780	0.027376	0.000000	0.000000
103	-0.035742	0.027347	0.000000	0.000000
104	-0.035704	0.027317	0.000000	0.000000
105	-0.035666	0.027287	0.000000	0.000000
106	-0.035628	0.027258	0.000000	0.000000
107	-0.035590	0.027228	0.000000	0.000000
108	-0.035552	0.027199	0.000000	0.000000
109	-0.035514	0.027169	0.000000	0.000000
110	-0.035476	0.027140	0.000000	0.000000
111	-0.035433	0.027109	0.000000	0.000000
112	-0.035389	0.027079	0.000000	0.000000
113	-0.035345	0.027049	0.000000	0.000000
114	-0.035302	0.027018	0.000000	0.000000
115	-0.035258	0.026988	0.000000	0.000000
116	-0.035214	0.026957	0.000000	0.000000
117	-0.035171	0.026927	0.000000	0.000000
118	-0.035127	0.026897	0.000000	0.000000
119	-0.035083	0.026866	0.000000	0.000000
120	-0.035040	0.026836	0.000000	0.000000
121	-0.034994	0.026803	0.000000	0.000000
122	-0.034948	0.026769	0.000000	0.000000
123	-0.034901	0.026735	0.000000	0.000000
124	-0.034855	0.026702	0.000000	0.000000
125	-0.034809	0.026668	0.000000	0.000000
126	-0.034762	0.026634	0.000000	0.000000
127	-0.034716	0.026601	0.000000	0.000000
128	-0.034670	0.026567	0.000000	0.000000
129	-0.034623	0.026533	0.000000	0.000000
130	-0.034577	0.026500	0.000000	0.000000
131	-0.034527	0.026464	0.000000	0.000000
132	-0.034477	0.026428	0.000000	0.000000
133	-0.034426	0.026393	0.000000	0.000000
134	-0.034376	0.026357	0.000000	0.000000
135	-0.034326	0.026321	0.000000	0.000000
136	-0.034275	0.026285	0.000000	0.000000
137	-0.034225	0.026249	0.000000	0.000000
138	-0.034174	0.026213	0.000000	0.000000
139	-0.034124	0.026177	0.000000	0.000000
140	-0.034074	0.026141	0.000000	0.000000
141	-0.034021	0.026103	0.000000	0.000000
142	-0.033968	0.026065	0.000000	0.000000
143	-0.033914	0.026026	0.000000	0.000000
144	-0.033861	0.025987	0.000000	0.000000
145	-0.033808	0.025949	0.000000	0.000000
146	-0.033755	0.025910	0.000000	0.000000
147	-0.033701	0.025872	0.000000	0.000000
148	-0.033648	0.025833	0.000000	0.000000
149	-0.033595	0.025794	0.000000	0.000000
150	-0.033542	0.025756	0.000000	0.000000
151	-0.033487	0.025714	0.000000	0.000000
152	-0.033432	0.025671	0.000000	0.000000
153	-0.033378	0.025628	0.000000	0.000000
154	-0.033323	0.025585	0.000000	0.000000
155	-0.033268	0.025542	0.000000	0.000000
156	-0.033213	0.025499	0.000000	0.000000
157	-0.033159	0.025457	0.000000	0.000000
158	-0.033104	0.025414	0.000000	0.000000
159	-0.033049	0.025371	0.000000	0.000000
160	-0.032994	0.025328	0.000000	0.000000
161	-0.032935	0.025284	0.000000	0.000000
162	-0.032875	0.025241	0.000000	0.000000
163	-0.032815	0.025197	0.000000	0.000000
164	-0.032755	0.025153	0.000000	0.000000
165	-0.032695	0.025109	0.000000	0.000000
166	-0.032635	0.025065	0.000000	0.000000
167	-0.032575	0.025022	0.000000	0.000000
168	-0.032514	0.024978	0.000000	0.000000
169	-0.032454	0.024934	0.000000	0.000000
170	-0.032394	0.024890	0.000000	0.000000
171	-0.032333	0.024843	0.000000	0.000000
172	-0.032271	0.024796	0.000000	0.000000
173	-0.032209	0.024749	0.000000	0.000000
174	-0.032147	0.024702	0.000000	0.000000
175	-0.032085	0.024654	0.000000	0.000000
176	-0.032023	0.024607	0.000000	0.000000
177	-0.031962	0.024560	0.000000	0.000000
178	-0.031900	0.024513	0.000000	0.000000
179	-0.031838	0.024465	0.000000	0.000000
180	-0.031776	0.024418	0.000000	0.000000
181	-0.031710	0.024370	0.000000	0.000000
182	-0.031642	0.024322	0.000000	0.000000
183	-0.031575	0.024275	0.000000	0.000000
184	-0.031508	0.024227	0.000000	0.000000
185	-0.031440	0.024179	0.000000	0.000000
186	-0.031373	0.024131	0.000000	0.000000
187	-0.031306	0.024083	0.000000	0.000000
188	-0.031239	0.024035	0.000000	0.000000
189	-0.031171	0.023987	0.000000	0.000000
190	-0.031104	0.023939	0.000000	0.000000
191	-0.031035	0.023888	0.000000	0.000000
192	-0.030967	0.023837	0.000000	0.000000
193	-0.030898	0.023786	0.000000	0.000000
194	-0.030829	0.023734	0.000000	0.000000
195	-0.030760	0.023683	0.000000	0.000000
196	-0.030691	0.023632	0.000000	0.000000
197	-0.030623	0.023581	0.000000	0.000000
198	-0.030554	0.023529	0.000000	0.000000
199	-0.030485	0.023478	0.000000	0.000000
