# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.037774	0.028748	0.000000	0.000000
2	-0.037772	0.028747	0.000000	0.000000
3	-0.037770	0.028746	0.000000	0.000000
4	-0.037768	0.028746	0.000000	0.000000
5	-0.037766	0.028745	0.000000	0.000000
6	-0.037764	0.028744	0.000000	0.000000
7	-0.037762	0.028744	0.000000	0.000000
8	-0.037760	0.028743	0.000000	0.000000
9	-0.037758	0.028742	0.000000	0.000000
10	-0.037756	0.028742	0.000000	0.000000
11	-0.037750	0.028740	0.000000	0.000000
12	-0.037742	0.028737	0.000000	0.000000
13	-0.037735	0.028735	0.000000	0.000000
14	-0.037728	0.028733	0.000000	0.000000
15	-0.037720	0.028731	0.000000	0.000000
16	-0.037713	0.028728	0.000000	0.000000
17	-0.037706	0.028726	0.000000	0.000000
18	-0.037698	0.028724	0.000000	0.000000
19	-0.037691	0.028721	0.000000	0.000000
20	-0.037684	0.028719	0.000000	0.000000
21	-0.037674	0.028714	0.000000	0.000000
22	-0.037664	0.028708	0.000000	0.000000
23	-0.037654	0.028702	0.000000	0.000000
24	-0.037644	0.028696	0.000000	0.000000
25	-0.037634	0.028690	0.000000	0.000000
26	-0.037624	0.028684	0.000000	0.000000
27	-0.037613	0.028678	0.000000	0.000000
28	-0.037603	0.028672	0.000000	0.000000
29	-0.037593	0.028666	0.000000	0.000000
30	-0.037583	0.028660	0.000000	0.000000
31	-0.037569	0.028653	0.000000	0.000000
32	-0.037554	0.028645	0.000000	0.000000
33	-0.037539	0.028638	0.000000	0.000000
34	-0.037524	0.028630	0.000000	0.000000
35	-0.037508	0.028622	0.000000	0.000000
36	-0.037493	0.028615	0.000000	0.000000
37	-0.037478	0.028607	0.000000	0.000000
38	-0.037463	0.028599	0.000000	0.000000
39	-0.037448	0.028591	0.000000	0.000000
40	-0.037433	0.028584	0.000000	0.000000
41	-0.037416	0.028573	0.000000	0.000000
42	-0.037399	0.028561	0.000000	0.000000
43	-0.037382	0.028549	0.000000	0.000000
44	-0.037365	0.028537	0.000000	0.000000
45	-0.037348	0.028525	0.000000	0.000000
46	-0.037331	0.028512	0.000000	0.000000
47	-0.037315	0.028500	0.000000	0.000000
48	-0.037298	0.028488	0.000000	0.000000
49	-0.037281	0.028476	0.000000	0.000000
50	-0.037264	0.028464	0.000000	0.000000
51	-0.037241	0.028452	0.000000	0.000000
52	-0.037218	0.028440	0.000000	0.000000
