# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.726041	25.872053	0.003565	-0.016023	2.614435	0.000000	0.001293	0.000000	-0.000024	0.000033	0.000000	0.000000
0.601250	11.731632	25.885216	-0.022126	-0.027670	2.614815	0.000000	0.001293	0.000000	-0.000014	0.000033	0.000000	0.000000
0.898573	11.752329	25.905087	-0.018661	-0.102682	2.615189	0.000000	-0.005120	0.000000	-0.000004	0.000033	0.000000	0.000000
1.339533	11.919763	25.707848	-0.362472	0.548276	2.629195	0.000000	0.068768	0.000000	0.000011	0.000033	0.000000	0.000000
1.780493	12.396540	24.945364	-0.722843	1.174288	2.675924	0.000000	0.143440	0.000000	0.000025	0.000034	0.000000	0.000000
2.221453	13.204442	23.652329	-1.116239	1.746871	2.755909	0.000000	0.219745	0.000000	0.000040	0.000034	0.000000	0.000000
2.662413	14.380381	21.887573	-1.560633	2.239973	2.870060	0.000000	0.298553	0.000000	0.000056	0.000036	0.000000	0.000000
3.108373	15.998463	19.705575	-2.080560	2.632315	3.021543	0.000000	0.381250	0.000000	0.000072	0.000037	0.000000	0.000000
3.657433	18.073502	17.253681	-1.676305	1.859660	3.205584	0.000000	0.288217	0.000000	0.000092	0.000035	0.000000	0.000000
4.206493	19.636578	15.572975	-1.153643	1.219464	3.337065	0.000000	0.190072	0.000000	0.000110	0.000031	0.000000	0.000000
4.755553	20.577281	14.543745	-0.549493	0.666128	3.413655	0.000000	0.088556	0.000000	0.000126	0.000028	0.000000	0.000000
5.304613	20.829163	14.092682	0.093472	0.160239	3.433994	0.000000	-0.014530	0.000000	0.000140	0.000023	0.000000	0.000000
5.603185	20.810094	13.981608	0.024757	0.175004	3.432325	0.000000	-0.005568	0.000000	0.000147	0.000024	0.000000	0.000000
5.936519	20.798932	13.873129	0.008729	0.150433	3.430461	0.000000	-0.005568	0.000000	0.000155	0.000024	0.000000	0.000000
6.269852	20.798455	13.781030	-0.007299	0.125862	3.428597	0.000000	-0.005568	0.000000	0.000163	0.000024	0.000000	0.000000
6.604435	20.808722	13.705059	-0.023386	0.101199	3.426726	0.000000	-0.005568	0.000000	0.000171	0.000024	0.000000	0.000000
6.901758	20.826879	13.651398	-0.092018	0.114903	3.425064	0.000000	0.003368	0.000000	0.000178	0.000024	0.000000	0.000000
7.450818	20.573472	13.789325	0.550827	-0.367591	3.398669	0.000000	-0.099331	0.000000	0.000189	0.000018	0.000000	0.000000
7.999878	19.631425	14.468273	1.154765	-0.876268	3.316291	0.000000	-0.200267	0.000000	0.000197	0.000012	0.000000	0.000000
8.548938	18.067281	15.736601	1.677135	-1.447360	3.179391	0.000000	-0.297651	0.000000	0.000202	0.000005	0.000000	0.000000
9.097998	15.991523	17.684650	2.081041	-2.121544	2.990398	0.000000	-0.389756	0.000000	0.000203	-0.000001	0.000000	0.000000
9.543958	14.372990	19.419828	1.561181	-1.752860	2.834917	0.000000	-0.307918	0.000000	0.000204	0.000004	0.000000	0.000000
9.984918	13.196531	20.773693	1.116883	-1.305714	2.716411	0.000000	-0.230072	0.000000	0.000207	0.000009	0.000000	0.000000
10.425878	12.388014	21.705405	0.723612	-0.799158	2.631619	0.000000	-0.154847	0.000000	0.000212	0.000015	0.000000	0.000000
