# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.037750	0.028794	0.000000	0.000000
2	-0.037748	0.028794	0.000000	0.000000
3	-0.037746	0.028793	0.000000	0.000000
4	-0.037744	0.028792	0.000000	0.000000
5	-0.037742	0.028792	0.000000	0.000000
6	-0.037740	0.028791	0.000000	0.000000
7	-0.037738	0.028790	0.000000	0.000000
8	-0.037736	0.028790	0.000000	0.000000
9	-0.037734	0.028789	0.000000	0.000000
10	-0.037732	0.028788	0.000000	0.000000
11	-0.037726	0.028786	0.000000	0.000000
12	-0.037719	0.028784	0.000000	0.000000
13	-0.037711	0.028782	0.000000	0.000000
14	-0.037704	0.028779	0.000000	0.000000
15	-0.037697	0.028777	0.000000	0.000000
16	-0.037689	0.028775	0.000000	0.000000
17	-0.037682	0.028772	0.000000	0.000000
18	-0.037675	0.028770	0.000000	0.000000
19	-0.037667	0.028768	0.000000	0.000000
20	-0.037660	0.028765	0.000000	0.000000
21	-0.037651	0.028760	0.000000	0.000000
22	-0.037641	0.028754	0.000000	0.000000
23	-0.037630	0.028748	0.000000	0.000000
24	-0.037620	0.028742	0.000000	0.000000
25	-0.037610	0.028736	0.000000	0.000000
26	-0.037600	0.028730	0.000000	0.000000
27	-0.037590	0.028724	0.000000	0.000000
28	-0.037580	0.028718	0.000000	0.000000
29	-0.037570	0.028712	0.000000	0.000000
30	-0.037560	0.028706	0.000000	0.000000
31	-0.037546	0.028699	0.000000	0.000000
32	-0.037531	0.028691	0.000000	0.000000
33	-0.037516	0.028683	0.000000	0.000000
34	-0.037501	0.028676	0.000000	0.000000
35	-0.037485	0.028668	0.000000	0.000000
36	-0.037470	0.028660	0.000000	0.000000
37	-0.037455	0.028652	0.000000	0.000000
38	-0.037440	0.028645	0.000000	0.000000
39	-0.037425	0.028637	0.000000	0.000000
40	-0.037410	0.028629	0.000000	0.000000
41	-0.037393	0.028618	0.000000	0.000000
42	-0.037377	0.028606	0.000000	0.000000
43	-0.037360	0.028594	0.000000	0.000000
44	-0.037343	0.028582	0.000000	0.000000
45	-0.037326	0.028569	0.000000	0.000000
46	-0.037309	0.028557	0.000000	0.000000
47	-0.037292	0.028545	0.000000	0.000000
48	-0.037275	0.028533	0.000000	0.000000
49	-0.037258	0.028521	0.000000	0.000000
50	-0.037242	0.028509	0.000000	0.000000
51	-0.037219	0.028497	0.000000	0.000000
52	-0.037195	0.028484	0.000000	0.000000
53	-0.037172	0.028472	0.000000	0.000000
54	-0.037148	0.028459	0.000000	0.000000
55	-0.037124	0.028447	0.000000	0.000000
56	-0.037101	0.028434	0.000000	0.000000
57	-0.037077	0.028422	0.000000	0.000000
58	-0.037053	0.028410	0.000000	0.000000
59	-0.037029	0.028397	0.000000	0.000000
60	-0.037006	0.028385	0.000000	0.000000
