# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	13.019897	21.441537	-0.053583	-0.110001	2.540452	0.000000	0.028691	0.000000	0.000333	-0.000022	0.000000	0.000000
0.601250	13.059171	21.512097	-0.076787	-0.124221	2.549102	0.000000	0.028691	0.000000	0.000326	-0.000022	0.000000	0.000000
0.898573	13.111641	21.590137	-0.067633	-0.191047	2.557639	0.000000	0.022438	0.000000	0.000320	-0.000023	0.000000	0.000000
1.339533	13.336453	21.521059	-0.444130	0.347103	2.583514	0.000000	0.094997	0.000000	0.000312	-0.000014	0.000000	0.000000
1.780493	13.900967	20.982552	-0.840919	0.869460	2.641590	0.000000	0.168638	0.000000	0.000307	-0.000006	0.000000	0.000000
2.221453	14.830975	19.999118	-1.276127	1.352256	2.732527	0.000000	0.244199	0.000000	0.000306	0.000002	0.000000	0.000000
2.662413	16.168967	18.615501	-1.769638	1.773526	2.857361	0.000000	0.322542	0.000000	0.000308	0.000009	0.000000	0.000000
3.108373	17.999082	16.873937	-2.348703	2.115198	3.019501	0.000000	0.405050	0.000000	0.000314	0.000018	0.000000	0.000000
3.657433	20.338449	14.922549	-1.886726	1.459817	3.216602	0.000000	0.311870	0.000000	0.000321	0.000007	0.000000	0.000000
4.206493	22.093875	13.629871	-1.291479	0.908417	3.360950	0.000000	0.213160	0.000000	0.000322	-0.000003	0.000000	0.000000
4.755553	23.141362	12.903828	-0.605007	0.421721	3.449987	0.000000	0.110668	0.000000	0.000318	-0.000014	0.000000	0.000000
5.304613	23.406919	12.692705	0.124201	-0.034936	3.482131	0.000000	0.006213	0.000000	0.000307	-0.000024	0.000000	0.000000
5.603185	23.373003	12.700835	0.050394	-0.025377	3.486702	0.000000	0.015288	0.000000	0.000301	-0.000023	0.000000	0.000000
5.936519	23.344173	12.726507	0.036096	-0.051638	3.491806	0.000000	0.015288	0.000000	0.000293	-0.000023	0.000000	0.000000
6.269852	23.324875	12.769686	0.021798	-0.077900	3.496909	0.000000	0.015288	0.000000	0.000285	-0.000023	0.000000	0.000000
6.604435	23.315090	12.830634	0.007447	-0.104261	3.502032	0.000000	0.015288	0.000000	0.000278	-0.000023	0.000000	0.000000
6.901758	23.314453	12.899597	-0.066084	-0.094062	3.506584	0.000000	0.024429	0.000000	0.000271	-0.000022	0.000000	0.000000
7.450818	22.987356	13.257532	0.658277	-0.561688	3.491021	0.000000	-0.081087	0.000000	0.000256	-0.000031	0.000000	0.000000
7.999878	21.885765	14.147802	1.336140	-1.069322	3.417837	0.000000	-0.185165	0.000000	0.000237	-0.000039	0.000000	0.000000
8.548938	20.087491	15.633819	1.919622	-1.653121	3.288330	0.000000	-0.285959	0.000000	0.000214	-0.000046	0.000000	0.000000
9.097998	17.719560	17.821430	2.367510	-2.354669	3.104798	0.000000	-0.381682	0.000000	0.000187	-0.000053	0.000000	0.000000
9.543958	15.871434	19.772482	1.791385	-2.001907	2.953608	0.000000	-0.296821	0.000000	0.000164	-0.000048	0.000000	0.000000
9.984918	14.512602	21.348742	1.301811	-1.559092	2.840702	0.000000	-0.215843	0.000000	0.000144	-0.000044	0.000000	0.000000
10.425878	13.557776	22.501582	0.871715	-1.045340	2.762928	0.000000	-0.137323	0.000000	0.000126	-0.000041	0.000000	0.000000
10.866838	12.963334	23.178548	0.481446	-0.484026	2.719399	0.000000	-0.060367	0.000000	0.000108	-0.000038	0.000000	0.000000
11.309048	12.701755	23.348735	0.144194	0.042061	2.709631	0.000000	0.009263	0.000000	0.000092	-0.000035	0.000000	0.000000
11.606371	12.623116	23.327516	0.120299	0.029305	2.712396	0.000000	0.009263	0.000000	0.000082	-0.000035	0.000000	0.000000
12.086371	12.526145	23.309269	0.081724	0.008710	2.716859	0.000000	0.009263	0.000000	0.000065	-0.000035	0.000000	0.000000
12.566371	12.466206	23.310792	0.043148	-0.011884	2.721322	0.000000	0.009263	0.000000	0.000048	-0.000035	0.000000	0.000000
13.046371	12.443301	23.332086	0.004572	-0.032478	2.725785	0.000000	0.009263	0.000000	0.000031	-0.000035	0.000000	0.000000
13.526371	12.457428	23.373150	-0.034004	-0.053072	2.730248	0.000000	0.009263	0.000000	0.000014	-0.000035	0.000000	0.000000
14.007621	12.508769	23.434169	-0.072680	-0.073720	2.734722	0.000000	0.009263	0.000000	-0.000003	-0.000035	0.000000	0.000000
14.304943	12.559093	23.481799	-0.065772	-0.144080	2.737487	0.000000	0.002549	0.000000	-0.000013	-0.000035	0.000000	0.000000
14.745903	12.776589	23.349220	-0.429346	0.443596	2.755606	0.000000	0.079643	0.000000	-0.000029	-0.000036	0.000000	0.000000
15.186863	13.322133	22.705313	-0.812535	1.011088	2.807889	0.000000	0.157645	0.000000	-0.000045	-0.000037	0.000000	0.000000
15.627823	14.220649	21.579375	-1.232846	1.532576	2.894931	0.000000	0.237443	0.000000	-0.000061	-0.000038	0.000000	0.000000
