# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.853859	25.214382	-0.005648	-0.027197	2.608629	0.000000	0.003456	0.000000	0.000009	0.000014	0.000000	0.000000
0.601250	11.864918	25.234371	-0.031062	-0.039154	2.609666	0.000000	0.003456	0.000000	0.000014	0.000014	0.000000	0.000000
0.898573	11.890847	25.261162	-0.026991	-0.112887	2.610689	0.000000	-0.002945	0.000000	0.000018	0.000014	0.000000	0.000000
1.339533	12.067075	25.080387	-0.374167	0.521283	2.625638	0.000000	0.070840	0.000000	0.000024	0.000014	0.000000	0.000000
1.780493	12.555837	24.348688	-0.738438	1.131735	2.673270	0.000000	0.145431	0.000000	0.000030	0.000015	0.000000	0.000000
2.221453	13.379464	23.099355	-1.136446	1.690694	2.754127	0.000000	0.221679	0.000000	0.000037	0.000016	0.000000	0.000000
2.662413	14.575584	21.389231	-1.586375	2.172728	2.869130	0.000000	0.300452	0.000000	0.000044	0.000017	0.000000	0.000000
3.108373	16.219546	19.271051	-2.113067	2.557047	3.021465	0.000000	0.383136	0.000000	0.000052	0.000018	0.000000	0.000000
3.657433	18.327109	16.891657	-1.702693	1.802107	3.206549	0.000000	0.290089	0.000000	0.000062	0.000016	0.000000	0.000000
4.206493	19.914920	15.266349	-1.172049	1.175527	3.339056	0.000000	0.191896	0.000000	0.000070	0.000014	0.000000	0.000000
4.755553	20.870823	14.279362	-0.558616	0.632677	3.416634	0.000000	0.090300	0.000000	0.000077	0.000012	0.000000	0.000000
5.304613	21.127297	13.860394	0.094274	0.134891	3.437910	0.000000	-0.012898	0.000000	0.000083	0.000009	0.000000	0.000000
5.603185	21.108168	13.764855	0.024957	0.148907	3.436736	0.000000	-0.003921	0.000000	0.000086	0.000009	0.000000	0.000000
5.936519	21.096797	13.673835	0.009156	0.124154	3.435426	0.000000	-0.003921	0.000000	0.000089	0.000009	0.000000	0.000000
6.269852	21.095961	13.599316	-0.006646	0.099400	3.434116	0.000000	-0.003921	0.000000	0.000092	0.000009	0.000000	0.000000
6.604435	21.105715	13.541114	-0.022507	0.074554	3.432801	0.000000	-0.003921	0.000000	0.000095	0.000009	0.000000	0.000000
6.901758	21.123289	13.503345	-0.091747	0.087730	3.431632	0.000000	0.005038	0.000000	0.000098	0.000010	0.000000	0.000000
7.450818	20.864145	13.668951	0.560934	-0.391126	3.406100	0.000000	-0.097888	0.000000	0.000102	0.000006	0.000000	0.000000
