# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.037772	0.028750	0.000000	0.000000
2	-0.037768	0.028751	0.000000	0.000000
3	-0.037765	0.028753	0.000000	0.000000
4	-0.037761	0.028754	0.000000	0.000000
5	-0.037757	0.028756	0.000000	0.000000
6	-0.037753	0.028758	0.000000	0.000000
7	-0.037749	0.028759	0.000000	0.000000
8	-0.037746	0.028761	0.000000	0.000000
9	-0.037742	0.028762	0.000000	0.000000
10	-0.037738	0.028764	0.000000	0.000000
11	-0.037730	0.028764	0.000000	0.000000
12	-0.037721	0.028764	0.000000	0.000000
13	-0.037712	0.028764	0.000000	0.000000
14	-0.037703	0.028764	0.000000	0.000000
15	-0.037694	0.028764	0.000000	0.000000
16	-0.037684	0.028764	0.000000	0.000000
17	-0.037675	0.028764	0.000000	0.000000
18	-0.037666	0.028764	0.000000	0.000000
19	-0.037657	0.028764	0.000000	0.000000
20	-0.037648	0.028764	0.000000	0.000000
21	-0.037637	0.028761	0.000000	0.000000
22	-0.037625	0.028757	0.000000	0.000000
23	-0.037613	0.028754	0.000000	0.000000
24	-0.037601	0.028750	0.000000	0.000000
25	-0.037590	0.028746	0.000000	0.000000
26	-0.037578	0.028742	0.000000	0.000000
27	-0.037566	0.028739	0.000000	0.000000
28	-0.037554	0.028735	0.000000	0.000000
29	-0.037542	0.028731	0.000000	0.000000
30	-0.037531	0.028727	0.000000	0.000000
31	-0.037515	0.028722	0.000000	0.000000
32	-0.037498	0.028716	0.000000	0.000000
33	-0.037481	0.028711	0.000000	0.000000
34	-0.037464	0.028705	0.000000	0.000000
35	-0.037448	0.028700	0.000000	0.000000
36	-0.037431	0.028694	0.000000	0.000000
37	-0.037414	0.028688	0.000000	0.000000
38	-0.037397	0.028683	0.000000	0.000000
39	-0.037381	0.028677	0.000000	0.000000
40	-0.037364	0.028671	0.000000	0.000000
41	-0.037346	0.028662	0.000000	0.000000
42	-0.037327	0.028652	0.000000	0.000000
43	-0.037309	0.028642	0.000000	0.000000
44	-0.037290	0.028632	0.000000	0.000000
45	-0.037272	0.028623	0.000000	0.000000
46	-0.037253	0.028613	0.000000	0.000000
47	-0.037235	0.028603	0.000000	0.000000
48	-0.037216	0.028593	0.000000	0.000000
49	-0.037198	0.028582	0.000000	0.000000
50	-0.037179	0.028572	0.000000	0.000000
51	-0.037155	0.028562	0.000000	0.000000
52	-0.037130	0.028552	0.000000	0.000000
53	-0.037105	0.028541	0.000000	0.000000
54	-0.037079	0.028531	0.000000	0.000000
55	-0.037054	0.028521	0.000000	0.000000
56	-0.037029	0.028510	0.000000	0.000000
57	-0.037004	0.028500	0.000000	0.000000
58	-0.036979	0.028489	0.000000	0.000000
59	-0.036954	0.028479	0.000000	0.000000
60	-0.036928	0.028468	0.000000	0.000000
61	-0.036902	0.028454	0.000000	0.000000
62	-0.036876	0.028438	0.000000	0.000000
63	-0.036850	0.028422	0.000000	0.000000
64	-0.036824	0.028407	0.000000	0.000000
65	-0.036798	0.028391	0.000000	0.000000
66	-0.036772	0.028375	0.000000	0.000000
67	-0.036746	0.028360	0.000000	0.000000
68	-0.036720	0.028344	0.000000	0.000000
69	-0.036694	0.028328	0.000000	0.000000
70	-0.036668	0.028312	0.000000	0.000000
71	-0.036638	0.028295	0.000000	0.000000
72	-0.036608	0.028278	0.000000	0.000000
73	-0.036577	0.028260	0.000000	0.000000
74	-0.036547	0.028242	0.000000	0.000000
75	-0.036516	0.028225	0.000000	0.000000
76	-0.036486	0.028207	0.000000	0.000000
77	-0.036456	0.028190	0.000000	0.000000
78	-0.036425	0.028172	0.000000	0.000000
79	-0.036395	0.028154	0.000000	0.000000
80	-0.036364	0.028137	0.000000	0.000000
81	-0.036331	0.028117	0.000000	0.000000
82	-0.036297	0.028096	0.000000	0.000000
83	-0.036262	0.028076	0.000000	0.000000
84	-0.036228	0.028055	0.000000	0.000000
85	-0.036194	0.028035	0.000000	0.000000
86	-0.036160	0.028014	0.000000	0.000000
87	-0.036126	0.027994	0.000000	0.000000
88	-0.036091	0.027973	0.000000	0.000000
89	-0.036057	0.027953	0.000000	0.000000
90	-0.036023	0.027932	0.000000	0.000000
91	-0.035987	0.027909	0.000000	0.000000
92	-0.035950	0.027885	0.000000	0.000000
93	-0.035913	0.027861	0.000000	0.000000
94	-0.035877	0.027837	0.000000	0.000000
95	-0.035840	0.027813	0.000000	0.000000
96	-0.035803	0.027789	0.000000	0.000000
97	-0.035766	0.027765	0.000000	0.000000
98	-0.035730	0.027741	0.000000	0.000000
99	-0.035693	0.027717	0.000000	0.000000
100	-0.035656	0.027693	0.000000	0.000000
101	-0.035617	0.027666	0.000000	0.000000
